DIA,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1,0.26,0.22,0.21,0.2,0.2,0.18,0.18,0.17,0.16,0.16,0.15,0.15,0.13,0.13,0.11,0.13,0.13,0.39,0.54,0.34,0.34,0.52,0.52,0.42,0.41,0.44,0.38,0.65,0.39,0.39,0.35
2,0.32,0.29,0.26,0.25,0.23,0.23,0.3,0.99,1.2,0.69,0.54,0.47,0.44,0.4,0.37,1.26,0.79,0.59,0.5,0.46,0.44,0.42,0.4,0.71,0.87,0.75,0.5,0.45,,,
3,0.44,0.4,0.37,0.37,0.35,1.01,0.88,0.62,0.49,0.44,0.4,0.37,0.85,0.99,0.98,1.47,1.46,2.27,1.82,1.49,1.11,0.83,1.28,1.21,1.31,1.98,1.98,2.78,1.85,1.97,1.44
4,1.36,1.19,1.08,1.03,0.97,1.09,1.19,1.04,0.98,0.92,0.86,0.84,0.86,1.54,0.98,2.6,2.5,1.95,1.78,1.73,1.69,2,1.69,1.57,1.51,1.47,1.4,1.38,1.56,1.44,
5,1.44,1.38,1.33,1.58,1.63,1.69,1.45,1.32,1.27,1.22,1.2,1.14,1.11,1.52,1.98,1.55,1.9,1.84,1.62,1.52,1.47,1.41,1.37,1.4,1.41,1.3,1.55,1.39,1.31,1.25,1.24
6,1.24,1.22,1.19,1.16,1.14,1.1,1.08,1.05,1.03,1.03,1,1.01,0.99,0.97,0.96,0.96,0.94,0.94,0.94,0.93,0.92,0.91,0.89,0.89,0.87,0.86,0.84,0.84,0.84,0.84,
7,0.83,0.83,0.82,0.82,0.8,0.81,0.83,0.84,0.83,0.81,0.81,0.82,0.81,0.79,0.8,0.76,0.75,0.75,0.78,0.77,0.74,0.73,0.73,0.74,0.73,0.73,0.72,0.72,0.72,0.72,0.72
8,0.72,0.72,0.71,0.7,0.7,0.7,0.69,0.66,0.7,0.68,0.68,0.67,0.67,0.66,0.67,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.68,0.65,0.65,0.65,0.66,0.65,0.66,0.64
9,0.64,0.65,0.64,0.63,0.62,0.63,0.62,0.63,0.64,0.63,0.62,0.63,0.62,0.62,0.62,0.61,0.61,0.61,0.62,0.61,0.61,0.6,0.6,0.59,0.59,0.6,0.59,0.59,0.59,0.58,
10,0.58,0.58,0.59,0.54,0.59,0.58,0.59,0.58,0.58,0.57,0.59,0.59,0.61,0.63,0.61,0.61,0.63,0.62,0.61,0.61,0.6,0.59,0.59,0.59,0.59,0.59,0.58,0.58,0.59,0.59,
11,0.59,0.59,0.59,0.58,0.58,0.57,0.57,0.58,0.57,0.56,0.56,0.56,0.56,0.56,0.55,0.56,0.55,0.55,0.55,0.55,0.56,0.56,0.55,0.65,0.65,0.62,0.6,0.6,0.59,0.58,
12,0.57,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.57,0.57,0.57,0.56,0.57,0.56,0.57,0.57,0.57,0.55,0.56,0.57,0.56,0.56,0.56,0.56,0.56,0.56,0.55,0.55,0.56,0.55,0.55
