FECHA / HORA;HUMEDAD RELATIVA DEL AIRE (%) MAX DE 1 HORAS;HUMEDAD RELATIVA DEL AIRE (%) INST DE 1 HORAS;HUMEDAD RELATIVA DEL AIRE (%) MIN DE 1 HORAS;HUMEDAD RELATIVA DEL AIRE (%) PROM DE 1 HORAS;PRECIPITACION (mm) SUM DE 1 HORAS;PRESION ATMOSFERICA (hPa) INST DE 1 HORAS;RADIACION SOLAR GLOBAL (W/m²) SUM DE 1 HORAS;RADIACION SOLAR GLOBAL (W/m²) MAX DE 1 HORAS;RADIACION SOLAR GLOBAL (W/m²) PROM DE 1 HORAS;RADIACION SOLAR REFLEJADA (W/m²) PROM DE 1 HORAS;TEMPERATURA AIRE (°C) PROM DE 1 HORAS;TEMPERATURA AIRE (°C) MAX DE 1 HORAS;TEMPERATURA AIRE (°C) MIN DE 1 HORAS;TEMPERATURA AIRE (°C) INST DE 1 HORAS;VIENTO DIRECCION (°) INST DE 1 HORAS;VIENTO VELOCIDAD (m/s) INST DE 1 HORAS
1/4/2015 1:00;94;93;88;90,1;0;960,7;60;2;1;2;24,6;25,5;23,8;24,6;229;1,2
1/4/2015 2:00;96;90;88;91,1;0;960;59;3;1;1,7;24,4;24,9;23,7;24,4;59;0,7
1/4/2015 3:00;97;96;87;92,7;0;959,8;59;3;1;1,6;24,3;25,4;23,6;24,3;40;1,1
1/4/2015 4:00;98;94;92;95,4;0;959,4;15;2;0,3;1;24,1;25;23,7;24,1;47;0,9
1/4/2015 5:00;98;96;94;96,3;0;959,3;0;0;0;1,9;23,8;24,7;23,3;23,8;69;0,5
1/4/2015 6:00;98;98;94;96,1;0;959,4;0;0;0;1,1;23,7;24,4;23,1;23,7;61;1,1
1/4/2015 7:00;99;97;96;97,8;0;960,1;650;36;10,8;2,8;23,6;24,4;23;23,6;150;0,4
1/4/2015 8:00;99;99;92;95,9;0;960,4;5136;141;85,6;11,6;24,3;25,4;23,2;24,3;66;0,8
1/4/2015 9:00;94;92;81;88,7;0;959,7;12702;384;211,7;24,4;26;27,2;25,1;26;272;0,8
1/4/2015 10:00;85;84;72;78,6;0;958,5;25799;866;430;45;28,4;30,1;26,6;28,4;315;1,3
1/4/2015 11:00;82;75;68;75,3;0;956,8;38894;1190;648,2;70,6;30,1;32,1;29,1;30,1;323;1
1/4/2015 12:00;80;68;66;74,4;0;957;24743;1163;441,8;54,8;30,8;32,1;29,7;30,8;352;1,9
1/4/2015 13:00;83;75;72;77,9;0;957;17051;486;284,2;33,2;29,8;30,9;28,4;29,8;9;3,5
1/4/2015 14:00;84;78;78;80,7;0;;15199;434;292,3;33,8;29,2;33,2;27,3;29,2;;
1/4/2015 19:00;;99;;;;959;;;;;;;;24,7;150,8;0,6
1/4/2015 20:00;100;98;98;99,3;0;960;0;0;0;1;25;25,5;24,4;25;185;1,3
1/4/2015 21:00;100;98;96;98,9;5,2;961;0;0;0;1;24,8;25,4;24,2;24,8;102;0,7
1/4/2015 22:00;100;100;100;100;2,6;961,3;0;0;0;1;24,5;28,2;23,1;24,5;79;0,6
1/4/2015 23:00;100;;100;100;0,1;961,6;0;0;0;1;24,6;25,3;24,1;24,6;218;2
2/4/2015 0:00;;;;;0;961;0;0;0;1;24,6;25,1;24;24,6;222;1,2
2/4/2015 1:00;100;99;97;98,9;0,1;960,2;2;1;0;1,2;24,5;28,2;23,1;24,5;354;0,4
2/4/2015 2:00;100;99;99;99,5;0;959,8;0;0;0;1,1;24,4;25;23,8;24,4;182;1,1
2/4/2015 3:00;100;99;94;97,6;0;959,6;0;0;0;1,7;24,2;24,9;23,5;24,2;157;0,8
2/4/2015 4:00;100;99;98;99;0;959,2;0;0;0;2;23,6;24,6;22,9;23,6;342;0,7
2/4/2015 5:00;100;100;99;100;0;959,3;0;0;0;1,5;23,2;23,9;22,7;23,2;211;1,6
