FECHA / HORA;HUMEDAD RELATIVA DEL AIRE (%) MAX DE 1 HORAS;HUMEDAD RELATIVA DEL AIRE (%) INST DE 1 HORAS;HUMEDAD RELATIVA DEL AIRE (%) MIN DE 1 HORAS;HUMEDAD RELATIVA DEL AIRE (%) PROM DE 1 HORAS;PRECIPITACION (mm) SUM DE 1 HORAS;PRESION ATMOSFERICA (hPa) INST DE 1 HORAS;RADIACION SOLAR GLOBAL (W/m²) SUM DE 1 HORAS;RADIACION SOLAR GLOBAL (W/m²) MAX DE 1 HORAS;RADIACION SOLAR GLOBAL (W/m²) PROM DE 1 HORAS;RADIACION SOLAR REFLEJADA (W/m²) PROM DE 1 HORAS;TEMPERATURA AIRE (°C) PROM DE 1 HORAS;TEMPERATURA AIRE (°C) MAX DE 1 HORAS;TEMPERATURA AIRE (°C) MIN DE 1 HORAS;TEMPERATURA AIRE (°C) INST DE 1 HORAS;VIENTO DIRECCION (°) INST DE 1 HORAS;VIENTO VELOCIDAD (m/s) INST DE 1 HORAS
1/8/2015 1:00;100;100;100;100;0;961,8;0;0;0;1;23,1;26,6;21,7;23,1;207;1
1/8/2015 2:00;100;100;100;100;0;961,5;0;0;0;1;23,1;26,6;21,6;23,1;268;0,8
1/8/2015 3:00;100;99;99;99,6;0,1;961;0;0;0;1;22,5;26,5;20,9;22,5;231;0,8
1/8/2015 4:00;100;99;97;98,3;0;960,9;0;0;0;1;22;25,7;20,5;22;231;1,5
1/8/2015 5:00;99;96;96;98,1;0;960,6;0;0;0;1,3;21,7;25,3;20,3;21,7;159;0,8
1/8/2015 6:00;100;99;96;98,7;0;960,5;0;0;0;2,1;21;24,9;19,2;21;356;0,4
1/8/2015 7:00;100;100;99;99,5;0;960,9;434;33;7,2;2,9;20,4;23,9;18,8;20,4;81;1,1
1/8/2015 8:00;100;88;87;96,8;0;961,3;6073;316;101,2;11,5;21,2;25,7;18,8;21,2;119;0,3
1/8/2015 9:00;90;79;79;84,5;0;961,3;20467;538;341,1;26,1;24,2;28,7;21,8;24,2;38;0,5
1/8/2015 10:00;82;70;68;76,3;0;961,2;23017;827;383,6;36,4;26,2;31,1;23,9;26,2;332;0,8
1/8/2015 11:00;78;72;62;72,2;0;960,9;26025;1203;433,8;41,7;27,8;32,1;25,7;27,8;344;3
1/8/2015 12:00;74;68;65;69,2;0;960,4;26596;1214;443,3;67,6;29,3;34;27;29,3;322;2,4
1/8/2015 13:00;70;55;54;62,2;0;959,7;44489;1343;741,5;82,9;30,6;36;27,4;30,6;353;3,4
1/8/2015 14:00;61;60;53;57,4;0;959,3;43665;1318;727,8;76,2;31,8;36,2;29,5;31,8;339;3,2
1/8/2015 15:00;64;59;54;58,8;0;958,8;34001;1125;566,7;59,9;31,4;35,8;29;31,4;309;2,4
1/8/2015 16:00;65;64;51;57,5;0;958,3;29242;959;487,4;49,7;31,8;36,6;28,9;31,8;3;2,3
1/8/2015 17:00;70;70;56;63,4;0;958,4;16898;630;281,6;29,9;30,4;34,4;27,6;30,4;334;2,1
1/8/2015 18:00;82;81;68;75,2;0;958,9;5241;325;87,4;8,3;28,4;33,3;25,7;28,4;339;1,9
1/8/2015 19:00;88;82;81;85,1;0;959,5;253;25;4,6;1;26,2;30,4;24,6;26,2;313;1,8
1/8/2015 20:00;91;90;87;88,8;0;960;0;0;0;0,5;25,4;29,3;23,5;25,4;308;1,6
1/8/2015 21:00;94;94;90;91,3;0;960,6;0;0;0;0,8;24,6;28,3;23,2;24,6;198;0,7
1/8/2015 22:00;95;94;93;93,4;0;960,7;0;0;0;1;24,4;28;23;24,4;190;0,5
1/8/2015 23:00;97;96;94;95,5;0;960,8;0;0;0;1;24,4;27,9;22,9;24,4;173;0,1
2/8/2015 0:00;96;86;83;87,4;0;960,5;0;0;0;0,9;24,1;28;22,3;24,1;225;2,5
2/8/2015 1:00;92;91;85;89;0;960,2;0;0;0;1,8;22,8;27;20,8;22,8;225;2,1
2/8/2015 2:00;96;93;91;93,5;0;959,9;0;0;0;2,8;21,6;25,3;20;21,6;340;0,5
2/8/2015 3:00;98;98;91;94,7;0;959,8;0;0;0;2,8;21,3;25,1;19,5;21,3;266;0,5
2/8/2015 4:00;98;94;93;96,6;0;959,3;2;1;0;1,6;21,4;25,3;19,6;21,4;59;0,8
2/8/2015 5:00;96;93;91;93,3;0;959,3;0;0;0;1;21,9;25,5;20,4;21,9;296;0,9
2/8/2015 6:00;96;95;91;94,6;0;959,6;0;0;0;1;22,1;25,4;20,5;22,1;329;0,4
2/8/2015 7:00;96;95;91;93,6;0;960;203;16;3,4;1,2;21,9;25,4;20,5;21,9;341;0,4
2/8/2015 8:00;96;88;88;91,8;0;960,2;3612;129;60,2;7,1;22,4;26,4;20,6;22,4;101;0,5
2/8/2015 9:00;89;76;76;82,1;0;960,7;13653;396;227,6;23,6;24,3;29,4;21,6;24,3;63;0,1
2/8/2015 10:00;80;65;64;71,2;0;960,1;25303;788;421,7;41,6;27,3;32,1;24,3;27,3;242;0,4
2/8/2015 11:00;68;60;58;62,3;0;959,6;42765;1102;712,8;67,5;29,9;34;27,6;29,9;333;0,4
2/8/2015 12:00;65;61;54;59,3;0;959,1;26962;1065;449,4;81,8;31,4;35,7;28,7;31,4;321;4,9
