FECHA / HORA;HUMEDAD RELATIVA DEL AIRE (%) MAX DE 1 HORAS;HUMEDAD RELATIVA DEL AIRE (%) INST DE 1 HORAS;HUMEDAD RELATIVA DEL AIRE (%) MIN DE 1 HORAS;HUMEDAD RELATIVA DEL AIRE (%) PROM DE 1 HORAS;PRECIPITACION (mm) SUM DE 1 HORAS;PRESION ATMOSFERICA (hPa) INST DE 1 HORAS;RADIACION SOLAR GLOBAL (W/m²) SUM DE 1 HORAS;RADIACION SOLAR GLOBAL (W/m²) MAX DE 1 HORAS;RADIACION SOLAR GLOBAL (W/m²) PROM DE 1 HORAS;RADIACION SOLAR REFLEJADA (W/m²) PROM DE 1 HORAS;TEMPERATURA AIRE (°C) PROM DE 1 HORAS;TEMPERATURA AIRE (°C) MAX DE 1 HORAS;TEMPERATURA AIRE (°C) MIN DE 1 HORAS;TEMPERATURA AIRE (°C) INST DE 1 HORAS;VIENTO DIRECCION (°) INST DE 1 HORAS;VIENTO VELOCIDAD (m/s) INST DE 1 HORAS
1/12/2015 1:00;90;89;79;84,8;0;958,1;0;0;0;1,5;25;29,4;22,7;23,9;138;1
1/12/2015 2:00;94;93;88;91,2;0;957,6;0;0;0;2;23,8;28;22;23,2;170;0,5
1/12/2015 3:00;97;96;93;95;0;957,2;0;0;0;2,2;23;27,1;21,3;23,5;8;0,4
1/12/2015 4:00;97;96;95;96;0;957,4;0;0;0;2,4;22,7;26,6;21,1;23,1;230;1,2
1/12/2015 5:00;98;96;96;97,2;0;957,9;0;0;0;1,9;22,6;26,7;21;23,2;79;0,9
1/12/2015 6:00;97;96;95;95,7;0;958,4;0;0;0;1;23,2;27,1;21,4;23,3;125;0,6
1/12/2015 7:00;97;92;91;93,7;0;959;918;51;15,3;3,1;23,5;27,5;21,7;23,7;150;0,3
1/12/2015 8:00;93;85;81;87,2;0;959,5;5071;113;84,5;12,1;24,6;28,9;22,4;24,7;314;0,5
1/12/2015 9:00;85;75;72;78,6;0;959,6;11795;383;196,6;26,8;26,4;31,6;23,8;27,1;121;0,6
1/12/2015 10:00;77;68;68;73,2;0;959,5;20027;653;333,8;46,2;28,1;33,7;25,6;31;284;1
1/12/2015 11:00;71;62;59;65,6;0;958,5;35281;1116;588;86,1;30,7;35,3;27,9;31,4;326;1,1
1/12/2015 12:00;65;55;54;60;0;957,8;35855;1218;597,6;88,7;32,3;37,8;29,4;34,4;284;0,6
1/12/2015 13:00;64;59;56;59,9;0;957,1;26114;777;435,2;63,2;32,9;37,4;30,8;33,4;344;1,8
1/12/2015 14:00;66;65;58;61,7;0;956,7;14014;447;233,6;31,6;32,5;36,9;30,4;31,6;336;2,2
1/12/2015 15:00;70;67;62;66,6;0;956,7;10114;221;168,6;23,8;31,8;35,9;30,1;32;296;2,7
