FECHA / HORA;HUMEDAD RELATIVA DEL AIRE (%) MAX DE 1 HORAS;HUMEDAD RELATIVA DEL AIRE (%) INST DE 1 HORAS;HUMEDAD RELATIVA DEL AIRE (%) MIN DE 1 HORAS;HUMEDAD RELATIVA DEL AIRE (%) PROM DE 1 HORAS;PRECIPITACION (mm) SUM DE 1 HORAS;PRESION ATMOSFERICA (hPa) INST DE 1 HORAS;RADIACION SOLAR GLOBAL (W/m²) SUM DE 1 HORAS;RADIACION SOLAR GLOBAL (W/m²) MAX DE 1 HORAS;RADIACION SOLAR GLOBAL (W/m²) PROM DE 1 HORAS;RADIACION SOLAR REFLEJADA (W/m²) PROM DE 1 HORAS;TEMPERATURA AIRE (°C) PROM DE 1 HORAS;TEMPERATURA AIRE (°C) MAX DE 1 HORAS;TEMPERATURA AIRE (°C) MIN DE 1 HORAS;TEMPERATURA AIRE (°C) INST DE 1 HORAS;VIENTO DIRECCION (°) INST DE 1 HORAS;VIENTO VELOCIDAD (m/s) INST DE 1 HORAS
1/1/2015 1:00;;;;97,8;0,6;;0;;0;;24,5;;;;228;0,8
1/1/2015 2:00;;;;99;0,6;;0;;0;;24,2;;;;152;0,7
1/1/2015 3:00;;;;99;0,5;;0;;0;;24,2;;;;130;0,1
1/1/2015 4:00;;;;99,1;0,5;;0;;0;;24,1;;;;234;0,9
1/1/2015 5:00;;;;94,8;0,5;;30;;0,5;;23,3;;;;193;2,1
1/1/2015 6:00;;;;88,3;0,5;;101;;1,7;;23,4;;;;155;1,6
1/1/2015 7:00;;;;88;0,4;;612;;10,2;;23,4;;;;250;1,2
1/1/2015 8:00;;;;87,5;0,5;;4160;;69,3;;23,6;;;;33;0,3
1/1/2015 9:00;;;;79,4;0,4;;19285;;321,4;;25,5;;;;222;2,9
1/1/2015 10:00;;;;73,7;0,4;;31341;;522,4;;27,1;;;;267;1,4
1/1/2015 11:00;;;;68,6;0,5;;30101;;501,7;;28,8;;;;292;2
1/1/2015 12:00;;;;66,1;0,3;;24832;;413,9;;29,2;;;;357;0,3
1/1/2015 13:00;;;;63,3;0,3;;21588;;359,8;;30;;;;260;1,4
1/1/2015 14:00;;;;66,5;0,3;;15763;;262,7;;29,7;;;;321;1,7
1/1/2015 15:00;;;;74,2;0,3;;12549;;209,1;;29;;;;327;3,3
1/1/2015 16:00;;;;84,2;0,4;;2628;;43,8;;27,1;;;;275;1,8
1/1/2015 17:00;;;;95,5;0,5;;2006;;33,4;;25;;;;137;0,9
1/1/2015 18:00;;;;96,6;0,4;;1358;;22,6;;24,7;;;;80;0,8
1/1/2015 19:00;;;;97,9;0,4;;204;;3,7;;24,2;;;;36;1,2
1/1/2015 20:00;;;;99;0,4;;0;;0;;24,1;;;;68;0,5
1/1/2015 21:00;;;;99;0,4;;0;;0;;24,1;;;;61;1,4
1/1/2015 22:00;;;;99;0,4;;0;;0;;24,1;;;;34;0,4
