FECHA / HORA;HUMEDAD RELATIVA DEL AIRE (%) MAX DE 1 HORAS;HUMEDAD RELATIVA DEL AIRE (%) INST DE 1 HORAS;HUMEDAD RELATIVA DEL AIRE (%) MIN DE 1 HORAS;HUMEDAD RELATIVA DEL AIRE (%) PROM DE 1 HORAS;PRECIPITACION (mm) SUM DE 1 HORAS;PRESION ATMOSFERICA (hPa) INST DE 1 HORAS;RADIACION SOLAR GLOBAL (W/m²) SUM DE 1 HORAS;RADIACION SOLAR GLOBAL (W/m²) MAX DE 1 HORAS;RADIACION SOLAR GLOBAL (W/m²) PROM DE 1 HORAS;RADIACION SOLAR REFLEJADA (W/m²) PROM DE 1 HORAS;TEMPERATURA AIRE (°C) PROM DE 1 HORAS;TEMPERATURA AIRE (°C) MAX DE 1 HORAS;TEMPERATURA AIRE (°C) MIN DE 1 HORAS;TEMPERATURA AIRE (°C) INST DE 1 HORAS;VIENTO DIRECCION (°) INST DE 1 HORAS;VIENTO VELOCIDAD (m/s) INST DE 1 HORAS
1/2/2015 1:00;;;;96;0;;0;;;1,4;24,4;;;;;
1/2/2015 2:00;;;;96;0;;0;;;1;24,4;;;;;
1/2/2015 3:00;;;;97;0;;0;;;1,8;23,7;;;;;
1/2/2015 9:00;;;;82;0;;765;;;29;26,4;;;;;
1/2/2015 10:00;;;;74,5;0;;800;;;50;27,4;;;;;
1/2/2015 11:00;;;;70,8;0;;1954;;;75,3;28,9;;;;;
1/2/2015 13:00;;;;72;0;;266;;;19;28,7;;;;;
1/2/2015 14:00;;;;69,5;0;962,4;733;;;59;29,9;;;;20;3,2
1/2/2015 15:00;;;;78,8;0;;1327;;;51,3;28,8;;;;;
1/2/2015 17:00;;;;96,6;0;;368;;;12,8;24;;;;;
1/2/2015 18:00;;;;;;962,2;;;;;;;;;163;0,5
1/2/2015 19:00;;;;96;0;;35;;;5;24,7;;;;;
1/2/2015 20:00;;;;96,5;0;;0;;;2;23,8;;;;;
1/2/2015 22:00;;;;97;0;;0;;;2;23,3;;;;;
2/2/2015 5:00;;;;98,4;0,1;;0;;;1,8;22,8;;;;;
2/2/2015 9:00;;;;76,1;0,1;;7732;;;57,3;27,6;;;;;
2/2/2015 10:00;;;;68,4;0;963,5;14049;;;78;29,1;;;;223;1,7
2/2/2015 11:00;;;;64,2;0,1;;18609;;;94,7;30,9;;;;;
2/2/2015 12:00;;;;61,4;0,1;962,2;17536;;;159,2;31,6;;;;264;2
2/2/2015 13:00;;;;58,2;0,1;;29137;;;120,3;32,6;;;;;
2/2/2015 14:00;;;;56,4;0,2;960,9;17405;;;100,1;32,9;;;;328;4,7
2/2/2015 15:00;;;;68,3;0,1;;8157;;;39,3;30,7;;;;;
2/2/2015 16:00;;;;76,3;0,1;961,6;1643;;;9;28,4;;;;325;0,7
2/2/2015 17:00;;;;90,9;0,2;961,8;1340;;;7,5;25,9;;;;297;0,7
2/2/2015 18:00;;;;96;0;;380;;;4,9;25,4;;;;;
2/2/2015 19:00;;;;98,1;0;;78;;;2,3;24,9;;;;;
2/2/2015 20:00;;;;99;0;963,3;0;;;2;24,5;;;;147;1,1
2/2/2015 21:00;;;;99;0;964;0;;;2,1;24;;;;31;0,4
2/2/2015 22:00;;;;99;0,1;964,4;0;;;1,9;24,2;;;;355;0,4
2/2/2015 23:00;;;;99;0;;0;;;1,9;24,5;;;;;
3/2/2015 0:00;;;;99,1;0;964,1;0;;;2;24,3;;;;152;0,8
3/2/2015 1:00;;;;96,3;0;963,2;0;;;3,1;24;;;;325;0,7
3/2/2015 2:00;;;;90,9;0;962,4;0;;;4,2;24,2;;;;268;0,8
3/2/2015 3:00;;;;89,4;0;;15;;;3,9;23,7;;;;;
3/2/2015 4:00;;;;91,6;0;962;0;;;3,6;23;;;;157;1,4
3/2/2015 5:00;;;;95,3;0,1;962;0;;;3,1;22,2;;;;53;0,7
3/2/2015 6:00;;;;96,3;0;962,1;0;;;2,6;22,1;;;;113;0,6
3/2/2015 7:00;;;;97,1;0;;149;;;3,1;21,7;;;;;
3/2/2015 8:00;;;;95,9;0;963,3;1702;;;8,4;22,1;;;;94;0,4
3/2/2015 9:00;;;;77,6;0;963,2;12720;;;50,1;26,7;;;;95;0,7
3/2/2015 10:00;;;;68,8;0;;15173;;;93,7;29,3;;;;;
3/2/2015 11:00;;;;68,2;0;;11982;;;134,3;30,6;;;;;
3/2/2015 12:00;;;;66,8;0,1;;26430;;;154,8;31,7;;;;;
3/2/2015 13:00;;;;65,4;0,1;960,6;26727;;;197,4;32,4;;;;318;3,4
3/2/2015 14:00;;;;63,4;0;959,9;18472;;;129,5;32,4;;;;292;1,3
3/2/2015 15:00;;;;66,3;0,1;;15929;;;67,6;31,7;;;;;
3/2/2015 16:00;;;;66,8;0,1;;5024;;;31,4;31;;;;;
3/2/2015 17:00;;;;68,5;0;960,1;2482;;;15,4;29,6;;;;280;3,5
3/2/2015 18:00;;;;76,9;0,1;;752;;;8,9;28,2;;;;;
3/2/2015 19:00;;;;78,3;0;;33;;;1,3;27,5;;;;;
3/2/2015 20:00;;;;83,9;0,1;;0;;;1,1;26,7;;;;;
3/2/2015 21:00;;;;89,2;0;962,6;0;;;0,9;25,8;;;;137;0,6
3/2/2015 22:00;;;;91;0;963,3;0;;;1;25,6;;;;225;0,6
3/2/2015 23:00;;;;93,6;0;;0;;;1,5;25,6;;;;;
4/2/2015 0:00;;;;92,6;0;963,5;0;;;1,2;25,6;;;;73;0,8
4/2/2015 1:00;;;;94;0,1;;0;;;1,3;25,3;;;;;
4/2/2015 2:00;;;;94,4;0;962,4;0;;;1,7;24,9;;;;173;0,5
