FECHA / HORA;HUMEDAD RELATIVA DEL AIRE (%) MAX DE 1 HORAS;HUMEDAD RELATIVA DEL AIRE (%) INST DE 1 HORAS;HUMEDAD RELATIVA DEL AIRE (%) MIN DE 1 HORAS;HUMEDAD RELATIVA DEL AIRE (%) PROM DE 1 HORAS;PRECIPITACION (mm) SUM DE 1 HORAS;PRESION ATMOSFERICA (hPa) INST DE 1 HORAS;RADIACION SOLAR GLOBAL (W/m²) SUM DE 1 HORAS;RADIACION SOLAR GLOBAL (W/m²) MAX DE 1 HORAS;RADIACION SOLAR GLOBAL (W/m²) PROM DE 1 HORAS;RADIACION SOLAR REFLEJADA (W/m²) PROM DE 1 HORAS;TEMPERATURA AIRE (°C) PROM DE 1 HORAS;TEMPERATURA AIRE (°C) MAX DE 1 HORAS;TEMPERATURA AIRE (°C) MIN DE 1 HORAS;TEMPERATURA AIRE (°C) INST DE 1 HORAS;VIENTO DIRECCION (°) INST DE 1 HORAS;VIENTO VELOCIDAD (m/s) INST DE 1 HORAS
1/7/2015 1:00;100;100;99;100;0;960,3;12;1;0,2;1,7;22,2;25,9;20,6;22,2;167;0,5
1/7/2015 2:00;100;100;99;99,6;0;960,1;0;0;0;1,8;22,8;26,5;21,3;22,8;355;0,9
1/7/2015 3:00;100;99;98;98,9;0;959,7;0;0;0;1,9;23;26,7;21,6;23;82;0,7
1/7/2015 4:00;100;99;98;98,8;0;959,4;0;0;0;2,1;22,7;26,5;21,1;22,7;331;1,7
1/7/2015 5:00;99;98;97;98,4;0;959,8;0;0;0;2,4;22,2;26;20,6;22,2;121;1
1/7/2015 6:00;100;99;98;98,7;0;960;0;0;0;2,1;21,7;25,4;20,1;21,7;127;0,7
1/7/2015 7:00;100;100;99;99,9;0;960,3;477;32;8;3,2;21,2;24,9;19,8;21,2;11;1,5
1/7/2015 8:00;100;89;89;97,1;0;960,7;2932;77;48,9;11,9;22,2;27,3;19,9;22,2;59;0,3
1/7/2015 9:00;90;77;77;81,7;0;960,8;15856;495;264,3;29;25,6;30,1;22,7;25,6;249;0,7
1/7/2015 10:00;79;70;67;73,2;0;960,4;34229;697;570,5;55,4;28,1;32,9;25,2;28,1;275;0,9
1/7/2015 11:00;74;66;61;66,7;0;959,8;46454;842;774,2;83,8;30,6;34,6;28;30,6;236;1,8
1/7/2015 12:00;71;65;57;63,9;0;959;37236;1096;620,6;82,8;31,4;35,8;29;31,4;203;1,9
1/7/2015 13:00;72;58;55;60,8;0;958,2;43111;1129;718,5;91,8;32,4;36,9;28,7;32,4;218;2,2
1/7/2015 14:00;67;64;58;63,1;0;957,7;15984;336;266,4;29,7;31;34,9;29,1;31;322;2,3
