FECHA / HORA;HUMEDAD RELATIVA DEL AIRE (%) MAX DE 1 HORAS;HUMEDAD RELATIVA DEL AIRE (%) INST DE 1 HORAS;HUMEDAD RELATIVA DEL AIRE (%) MIN DE 1 HORAS;HUMEDAD RELATIVA DEL AIRE (%) PROM DE 1 HORAS;PRECIPITACION (mm) SUM DE 1 HORAS;PRESION ATMOSFERICA (hPa) INST DE 1 HORAS;RADIACION SOLAR GLOBAL (W/m²) SUM DE 1 HORAS;RADIACION SOLAR GLOBAL (W/m²) MAX DE 1 HORAS;RADIACION SOLAR GLOBAL (W/m²) PROM DE 1 HORAS;RADIACION SOLAR REFLEJADA (W/m²) PROM DE 1 HORAS;TEMPERATURA AIRE (°C) PROM DE 1 HORAS;TEMPERATURA AIRE (°C) MAX DE 1 HORAS;TEMPERATURA AIRE (°C) MIN DE 1 HORAS;TEMPERATURA AIRE (°C) INST DE 1 HORAS;VIENTO DIRECCION (°) INST DE 1 HORAS;VIENTO VELOCIDAD (m/s) INST DE 1 HORAS
1/6/2015 1:00;100;99;99;99,3;0;960,3;0;0;0;1,9;23,5;24,4;22,9;23,5;80;0,9
1/6/2015 2:00;100;100;100;100;0;960,2;0;0;0;1,1;23,7;25,3;22,9;23,7;142;1
1/6/2015 3:00;100;100;100;100;0;959,9;0;0;0;1,6;23,7;24,5;23,3;23,7;309;0,2
1/6/2015 4:00;100;100;100;100;0;959,9;0;0;0;2;23,3;24,2;22,6;23,3;190;0,6
1/6/2015 5:00;100;100;100;100;0;959,7;0;0;0;2;22,8;23,7;22,1;22,8;358;0,9
1/6/2015 6:00;100;100;100;100;0;960;0;0;0;2;22,6;23,5;22;22,6;143;0,1
1/6/2015 7:00;100;100;100;100;0;960,8;467;22;7,8;2,1;22,5;23,3;21,8;22,5;229;1
1/6/2015 8:00;100;100;98;99,9;0;961,6;4231;117;70,5;8,1;23,5;24,5;22,6;23,5;80;0,2
1/6/2015 9:00;98;98;90;94,7;0;961,9;8399;189;152,7;18,7;24,9;26,2;23,7;24,9;355;0,4
1/6/2015 10:00;91;91;82;86,8;0;961,4;20338;941;339;36,5;26,7;28,3;25,3;26,7;255;1
1/6/2015 11:00;86;83;68;76,3;0;960,7;43303;924;787,3;73,3;29,7;33,6;27;29,7;293;1,2
1/6/2015 12:00;75;72;63;68,3;0;960;41636;1143;705,7;97,5;32,1;36,6;29,4;32,1;339;3,4
1/6/2015 13:00;75;68;65;69,9;0;959,4;39861;1227;664,4;69,2;31,8;33,3;30,5;31,8;343;1,4
