FECHA / HORA;HUMEDAD RELATIVA DEL AIRE (%) MAX DE 1 HORAS;HUMEDAD RELATIVA DEL AIRE (%) INST DE 1 HORAS;HUMEDAD RELATIVA DEL AIRE (%) MIN DE 1 HORAS;HUMEDAD RELATIVA DEL AIRE (%) PROM DE 1 HORAS;PRECIPITACION (mm) SUM DE 1 HORAS;PRESION ATMOSFERICA (hPa) INST DE 1 HORAS;RADIACION SOLAR GLOBAL (W/m²) SUM DE 1 HORAS;RADIACION SOLAR GLOBAL (W/m²) MAX DE 1 HORAS;RADIACION SOLAR GLOBAL (W/m²) PROM DE 1 HORAS;RADIACION SOLAR REFLEJADA (W/m²) PROM DE 1 HORAS;TEMPERATURA AIRE (°C) PROM DE 1 HORAS;TEMPERATURA AIRE (°C) MAX DE 1 HORAS;TEMPERATURA AIRE (°C) MIN DE 1 HORAS;TEMPERATURA AIRE (°C) INST DE 1 HORAS;VIENTO DIRECCION (°) INST DE 1 HORAS;VIENTO VELOCIDAD (m/s) INST DE 1 HORAS
1/3/2015 1:00;100;100;99;100;0;964,9;0;0;0;1,3;23,9;24,4;23,5;23,9;92;0,5
1/3/2015 2:00;100;100;100;100;0;964,7;1;1;0;1,4;24,1;25;23,5;24,1;74;0,2
1/3/2015 3:00;100;100;100;100;0;963,6;0;0;0;1,5;24,1;24,9;23,4;24,1;11;0,7
1/3/2015 4:00;100;100;100;100;0;963,6;0;0;0;1,4;23,9;24,5;23,3;23,9;43;0,5
1/3/2015 5:00;;;;;0,1;963,8;0;0;0;1;23,9;24,5;23,3;23,9;237;1,1
1/3/2015 6:00;100;98;98;99;0;964,3;0;0;0;1,3;23,3;24,4;22,4;23,3;151;0,3
1/3/2015 7:00;100;98;98;98,5;0;965,1;156;14;2,6;2,1;23,1;23,8;22,4;23,1;253;0,7
1/3/2015 8:00;100;99;95;98,7;0;965,8;4843;155;80,7;12,7;23,7;24,8;23;23,7;342;0,5
1/3/2015 9:00;96;96;89;91,5;0;966,2;8006;281;135,7;21,5;24,8;26;23,9;24,8;68;1,6
1/3/2015 10:00;89;88;76;82,2;0;965,6;17908;475;298,5;43,1;27,2;28,7;25,6;27,2;7;1,4
1/3/2015 11:00;81;78;71;75,9;0;964,8;28523;945;475,4;62,7;28,9;29,8;27,8;28,9;3;0,5
1/3/2015 12:00;80;74;68;73;0;964,1;31229;958;520,5;62,9;30;31,2;29;30;334;0,6
1/3/2015 13:00;79;78;60;66,7;0;962,8;37380;1500;623;79,1;30,8;32,7;29,6;30,8;341;1,4
1/3/2015 14:00;73;65;61;66,3;0;961,8;42674;1327;748,7;94,4;31,7;33,2;30,3;31,7;357;1,5
1/3/2015 15:00;81;69;69;74,4;0;961,7;13465;383;228,2;28,7;29,6;30,7;28,3;29,6;360;3,8
1/3/2015 16:00;81;78;75;77,3;0;961,1;9489;214;166,5;22,1;28,7;29,5;28,1;28,7;42;2,5
1/3/2015 17:00;83;79;77;79,5;0,1;961,5;4715;116;79,9;9,9;28,2;29,4;27,4;28,2;22;2,7
1/3/2015 18:00;92;81;80;82,6;0;962,2;1310;39;21,8;3,4;27,5;28,7;26,7;27,5;135;0,8
1/3/2015 19:00;97;92;92;94,6;0;;73;10;1,4;2,5;25,5;27,2;24,7;25,5;;
1/3/2015 20:00;97;96;95;96;0;964,4;0;0;0;2;25;26;24,3;25;130;3,2
1/3/2015 21:00;98;96;95;96,7;0;965,3;0;0;0;2;24,3;25,3;23,7;24,3;113;0,4
1/3/2015 22:00;99;98;97;98;0;966,1;0;0;0;2;24,2;25,1;23,5;24,2;267;0,5
1/3/2015 23:00;99;98;97;98;0;966,2;0;0;0;2;23,8;24,9;22,6;23,8;141;1,2
2/3/2015 0:00;98;97;93;96,2;0;965,8;0;0;0;2,3;23,3;24,2;22,7;23,3;159;0,9
2/3/2015 1:00;98;97;91;96,5;0;964,7;3;2;0,1;2,3;23,4;24,2;22,6;23,4;224;1,5
2/3/2015 2:00;96;91;87;92,3;0;963,6;33;2;0,5;3;24,2;25,2;23,6;24,2;48;0,8
2/3/2015 3:00;97;96;94;95,8;0;963,3;0;0;0;2,1;23,8;24,7;23,2;23,8;135;0,6
2/3/2015 4:00;98;96;95;96,7;0;963,3;0;0;0;2;23,7;24,5;23,2;23,7;349;0,3
2/3/2015 5:00;99;98;95;97,5;0;963,5;0;0;0;1,5;23,6;24,5;23;23,6;274;0,1
2/3/2015 6:00;98;97;95;96,8;0,1;963,7;0;0;0;1,8;23,6;24,2;23,1;23,6;37;0,4
2/3/2015 7:00;98;96;96;97,2;0;964;432;34;7,2;2,9;23,6;24,4;23;23,6;74;0,3
2/3/2015 8:00;97;96;91;94,9;0;964,7;4269;148;71,2;11,6;24,5;25,7;23,4;24,5;305;0,5
2/3/2015 9:00;92;91;80;85,1;0;965;12548;365;220,1;29,3;26,5;27,7;25,1;26,5;245;0,2
2/3/2015 10:00;87;85;68;79,3;0;964;29018;877;483,6;65,4;28,4;30,6;26,9;28,4;287;1,3
2/3/2015 11:00;78;70;63;68,9;0;963,5;45757;1132;762,6;96;30,6;32,1;29,3;30,6;354;1,7
2/3/2015 12:00;73;67;59;65,9;0;962,7;48299;1326;805;104;31,6;32,6;30,7;31,6;238;2
2/3/2015 13:00;74;63;56;64;0;961,4;58522;1098;975,4;141,9;32,3;33,4;31,3;32,3;270;1,1
2/3/2015 14:00;72;65;56;62,8;0;960,1;52044;1091;867,4;140,4;33,3;34,5;32;33,3;301;0,6
2/3/2015 15:00;68;58;53;58,6;0,1;958,5;52418;972;873,6;147,7;33,7;34,6;32,5;33,7;319;3,8
2/3/2015 16:00;76;55;54;66,1;0;959,4;20488;1064;341,5;49,9;31,6;35;28,4;31,6;350;3,3
2/3/2015 17:00;86;75;73;79,4;0;959,5;5477;209;91,3;16;28,4;29,6;27,5;28,4;1;0,6
2/3/2015 18:00;77;74;63;69;0;960,2;7229;322;120,5;19,2;29,6;31,2;28,3;29,6;321;2,4
2/3/2015 19:00;80;69;68;72,2;0;;874;37;15,9;3,2;27,9;28,9;26,7;27,9;;
2/3/2015 20:00;89;86;77;85,4;0;962,1;0;0;0;0,9;25,8;27,1;24,9;25,8;155;0,8
2/3/2015 21:00;92;86;84;88,8;0;963,1;0;0;0;2;25;26,1;24,1;25;79;0,5
2/3/2015 22:00;93;88;87;90,2;0;964,4;0;0;0;1,7;24,7;25,3;24,1;24,7;148;1,2
2/3/2015 23:00;91;88;85;88,6;0;964,7;0;0;0;2;24,3;25,1;23,7;24,3;158;0,7
3/3/2015 0:00;96;91;90;93,3;0;964,4;0;0;0;1,9;24,1;25,1;23,2;24,1;126;0,6
