FECHA / HORA;HUMEDAD RELATIVA DEL AIRE (%) MAX DE 1 HORAS;HUMEDAD RELATIVA DEL AIRE (%) INST DE 1 HORAS;HUMEDAD RELATIVA DEL AIRE (%) MIN DE 1 HORAS;HUMEDAD RELATIVA DEL AIRE (%) PROM DE 1 HORAS;PRECIPITACION (mm) SUM DE 1 HORAS;PRESION ATMOSFERICA (hPa) INST DE 1 HORAS;RADIACION SOLAR GLOBAL (W/m²) SUM DE 1 HORAS;RADIACION SOLAR GLOBAL (W/m²) MAX DE 1 HORAS;RADIACION SOLAR GLOBAL (W/m²) PROM DE 1 HORAS;RADIACION SOLAR REFLEJADA (W/m²) PROM DE 1 HORAS;TEMPERATURA AIRE (°C) PROM DE 1 HORAS;TEMPERATURA AIRE (°C) MAX DE 1 HORAS;TEMPERATURA AIRE (°C) MIN DE 1 HORAS;TEMPERATURA AIRE (°C) INST DE 1 HORAS;VIENTO DIRECCION (°) INST DE 1 HORAS;VIENTO VELOCIDAD (m/s) INST DE 1 HORAS
5/5/2015 1:00;;;;;0;960,6;0;0;0;1,1;24,6;25;24,2;24,6;168;0,7
5/5/2015 2:00;;;;;0;;0;0;0;0,9;24,7;25,2;24,1;24,7;;
5/5/2015 3:00;;;;;0,1;;0;0;0;0,8;24,7;25,2;24,4;24,7;;
5/5/2015 4:00;;;;;0;;0;0;0;0,9;24,8;25,5;24,2;24,8;;
5/5/2015 5:00;;;;;0;;0;0;0;0,9;24,8;25,3;24,5;24,8;;
5/5/2015 6:00;;;;;0;960,1;0;0;0;1,1;24,2;24,7;23,8;24,2;347;0
5/5/2015 7:00;;;;;0;960,3;391;41;9,1;2,3;23,8;24,3;23,2;23,8;334;1,6
5/5/2015 8:00;100;96;96;98,7;0;960,6;2105;128;84,2;11,6;24,1;25;23,3;24,1;11;0,8
5/5/2015 9:00;96;96;88;91,9;0;960,6;10825;292;196,8;25,4;25,7;26,7;24,9;25,7;327;0,7
5/5/2015 10:00;91;88;75;81,7;0,1;959,4;20308;638;414,4;50,5;28,3;30,1;26,5;28,3;40;1,1
5/5/2015 11:00;85;76;74;78,2;0;;10459;840;402,3;43,1;29,7;30,4;28,8;29,7;;
5/5/2015 12:00;82;75;68;75,8;0;957,1;11170;1111;372,3;116,2;30,9;32,8;29,2;30,9;297;2,9
5/5/2015 13:00;77;75;67;71,2;0,1;956,5;32070;1156;763,6;93,3;32,5;36,6;30,4;32,5;332;3,7
5/5/2015 14:00;76;71;63;69,3;0;;39710;1129;735,4;90,9;32,7;37,1;30,2;32,7;;
5/5/2015 19:00;;;;;;958,9;;;;;;;;25,5;300,8;3
5/5/2015 20:00;;;;;0,1;959,9;0;0;0;0,7;24,8;25,7;23,9;24,8;314;2
5/5/2015 21:00;;;;;0;;0;0;0;0,7;24,5;25,1;23,9;24,5;;
5/5/2015 22:00;;;;;0;;0;0;0;1;24,6;25,1;24,2;24,6;;
5/5/2015 23:00;;;;;0;961,2;0;0;0;0,6;24,7;25,3;24,3;24,7;282;1,2
6/5/2015 0:00;;;;;0,1;961,2;0;0;0;0,9;25;25,5;24,5;25;142;2,3
6/5/2015 1:00;;;;;0;;0;0;0;0,9;24,9;25,5;24,3;24,9;;
6/5/2015 2:00;;;;;0,1;960,4;0;0;0;0,9;24,9;25,3;24,5;24,9;360;0,3
6/5/2015 3:00;;;;;0,1;960,2;0;0;0;1;24,8;28,4;23,4;24,8;232;0,8
6/5/2015 4:00;;;;;0;959,9;0;0;0;1;24,7;25,4;24,1;24,7;140;0,8
6/5/2015 5:00;;;;;0,1;960,2;0;0;0;0,8;24,6;25;24,1;24,6;215;0,5
6/5/2015 6:00;;;;;0;;0;0;0;0,9;24,7;25,5;23,9;24,7;;
6/5/2015 7:00;;;;;0;960,4;103;34;5,2;1,6;24,4;24,9;24;24,4;25;0,6
6/5/2015 8:00;;;;;0;960,7;3512;307;140,5;17,5;24,8;25,4;23,9;24,8;161;2
6/5/2015 9:00;99;98;98;98,7;0;960,3;14802;544;361;34,3;26;27,2;24,9;26;254;0,6
6/5/2015 10:00;98;98;77;89,3;0,1;959,6;12106;736;378,3;44,1;27,9;30,2;26,1;27,9;355;1,4
6/5/2015 11:00;78;77;70;74,7;0;958,3;28916;1107;826,2;92,5;31,1;32,3;29,3;31,1;3;2,5
6/5/2015 12:00;80;73;69;73,8;0,1;957,8;10675;1095;381,3;73;31,8;32,9;30,6;31,8;326;3
6/5/2015 13:00;79;75;73;76,4;0;957,4;15838;1146;527,9;63,7;30,9;31,8;30,1;30,9;345;2,4
6/5/2015 14:00;82;78;70;75,6;0;;15775;1205;631;80,7;31,2;36,1;28,6;31,2;;
6/5/2015 19:00;;92,5;;;;958,6;;;;;;;;26,8;247,8;0,7
6/5/2015 20:00;96;96;90;92,8;0;958,8;0;0;0;0,6;26,6;27,3;26,1;26,6;310;1,2
6/5/2015 21:00;99;96;96;98,1;0;;0;0;0;1,9;25,8;26,5;25,2;25,8;;
6/5/2015 22:00;100;;99;99,1;0;;0;0;0;1,7;25,5;25,9;25,1;25,5;;
6/5/2015 23:00;100;100;100;100;0;960;0;0;0;1,1;25,5;26;25,2;25,5;124;1,2
7/5/2015 0:00;100;100;86;94,1;0;959,7;0;0;0;1,4;25,7;26,4;24,9;25,7;196;2
7/5/2015 1:00;95;87;87;90,5;0;;0;0;0;2,4;24,5;25,4;23,8;24,5;;
7/5/2015 2:00;95;90;88;92,6;0;958,7;0;0;0;2,7;24;24,7;23,4;24;216;2,6
7/5/2015 3:00;94;90;90;92,4;0;958,3;1;1;0;1,2;24,1;24,7;23,6;24,1;196;0,9
7/5/2015 4:00;94;93;89;91,5;0;958,6;0;0;0;1,3;24,2;25;23,6;24,2;205;1,9
7/5/2015 5:00;94;91;90;91,9;0;958,6;0;0;0;1,1;24,2;24,9;23,5;24,2;310;0,8
7/5/2015 6:00;98;91;90;94,3;0;958,8;0;0;0;2;23,7;27,5;21,9;23,7;354;1,4
7/5/2015 7:00;98;95;95;96,1;0;959,5;402;27;8;3,6;23,1;26,8;21,6;23,1;169;0,6
7/5/2015 8:00;97;94;88;92,2;0;;1871;130;72;10,6;24,1;25,2;22,8;24,1;;
7/5/2015 9:00;90;77;76;82,4;0;959,9;6259;493;231,8;25,9;26,6;28,7;24,9;26,6;58;0,9
7/5/2015 10:00;79;77;70;74,5;0;959,1;17875;780;350,5;42,1;28,7;30;27,4;28,7;194;0,7
7/5/2015 11:00;76;70;66;71,3;0;;19302;1027;584,9;68,6;30;31,2;29,2;30;;
7/5/2015 12:00;71;66;66;68,1;0;957,6;7661;522;403,2;59,8;30,9;31,7;30,3;30,9;266;0,7
7/5/2015 13:00;72;66;61;67,7;0;;20839;1252;744,3;92,3;31,8;33,2;30,6;31,8;;
7/5/2015 14:00;71;;60;65,4;0;;9270;1049;487,9;58,1;32,4;36,8;30,2;32,4;;
7/5/2015 19:00;;94;;;;958,6;;;;;;;;26,4;88,3;1,3
7/5/2015 20:00;99;99;94;96,6;0;959,3;0;0;0;1,7;25,9;27;25,3;25,9;96;0,3
7/5/2015 21:00;100;99;99;99,7;0;960;0;0;0;1,2;25,7;26,4;25,2;25,7;215;0,8
7/5/2015 22:00;100;100;100;100;0;960,4;0;0;0;1,1;25,7;26,5;25,3;25,7;40;0,3
7/5/2015 23:00;100;100;100;100;0;960,2;0;0;0;1,6;25,4;26;24,8;25,4;146;0,7
8/5/2015 0:00;;;;;0;960,2;0;0;0;1,3;25,1;25,6;24,5;25,1;110;0,2
8/5/2015 1:00;;;;;0;959,9;0;0;0;1,3;25;25,6;24,3;25;242;0,7
8/5/2015 2:00;;;;;0;959,6;0;0;0;1;25;25,5;24,5;25;94;0,4
8/5/2015 3:00;100;100;100;100;0;959,4;0;0;0;1,6;24,8;25,4;24,3;24,8;140;1
8/5/2015 4:00;100;100;100;100;0;959;0;0;0;2;24,2;25,2;23,6;24,2;139;1,2
8/5/2015 5:00;100;100;100;100;0;958,9;0;0;0;1,7;23,5;24,2;22,9;23,5;231;1,4
8/5/2015 6:00;100;99;100;100;0;959,1;0;0;0;1,3;23,6;24,3;23,1;23,6;327;1,1
8/5/2015 7:00;100;99;99;99,9;0;959,9;536;44;14,5;3,2;23,4;24,2;22,8;23,4;140;0,4
8/5/2015 8:00;100;100;99;99,4;0;960,6;2874;202;102,6;13,5;24,2;25,1;23,4;24,2;225;1,4
8/5/2015 9:00;98;98;79;87,3;0;960,1;8368;461;298,9;28,6;26,7;28,4;24,9;26,7;341;0,7
8/5/2015 10:00;85;82;72;77,6;0;958,7;16020;696;390,7;50,2;28,9;30,3;27,3;28,9;359;0,6
8/5/2015 11:00;74;69;64;68,3;0;957,1;26548;879;780,8;85,4;31;32,7;29,8;31;214;0,6
8/5/2015 12:00;74;66;61;68,2;0;956,3;7147;847;285,9;93,3;32,2;33,2;31;32,2;303;2,3
8/5/2015 13:00;76;73;66;71,4;0;956,1;16439;1117;513,7;65,2;32;33,7;30,2;32;343;2,5
