FECHA / HORA;HUMEDAD RELATIVA DEL AIRE (%) MAX DE 1 HORAS;HUMEDAD RELATIVA DEL AIRE (%) INST DE 1 HORAS;HUMEDAD RELATIVA DEL AIRE (%) MIN DE 1 HORAS;HUMEDAD RELATIVA DEL AIRE (%) PROM DE 1 HORAS;PRECIPITACION (mm) SUM DE 1 HORAS;PRESION ATMOSFERICA (hPa) INST DE 1 HORAS;RADIACION SOLAR GLOBAL (W/m²) SUM DE 1 HORAS;RADIACION SOLAR GLOBAL (W/m²) MAX DE 1 HORAS;RADIACION SOLAR GLOBAL (W/m²) PROM DE 1 HORAS;RADIACION SOLAR REFLEJADA (W/m²) PROM DE 1 HORAS;TEMPERATURA AIRE (°C) PROM DE 1 HORAS;TEMPERATURA AIRE (°C) MAX DE 1 HORAS;TEMPERATURA AIRE (°C) MIN DE 1 HORAS;TEMPERATURA AIRE (°C) INST DE 1 HORAS;VIENTO DIRECCION (°) INST DE 1 HORAS;VIENTO VELOCIDAD (m/s) INST DE 1 HORAS
1/11/2015 1:00;99;98;98;98,3;0;963,2;0;0;0;1;23,9;28;22,2;23,9;348;0,9
1/11/2015 2:00;99;99;97;98,2;0,3;962,3;0;0;0;1;23,6;27,5;21,9;23,8;130;0,6
1/11/2015 3:00;100;100;99;99,5;0,7;962,2;0;0;0;1;23,4;27,2;21,9;23;119;0,6
1/11/2015 4:00;100;100;99;100;0,1;962,2;0;0;0;1;23,3;27,2;21,8;23;163;0,5
1/11/2015 5:00;100;100;99;100;0,1;962,2;0;0;0;0,8;23,3;27,3;21,7;22,9;69;0,8
1/11/2015 6:00;100;100;100;100;0,2;962,8;0;0;0;0,8;23,2;27,1;21,4;23,4;234;1,5
1/11/2015 7:00;100;100;100;100;0,3;963,7;234;11;3,9;1;22,6;26,6;21;22,9;244;1,3
1/11/2015 8:00;100;100;100;100;0,4;964,4;1953;76;32,5;3,7;22,5;26,4;21;22,5;244;2
1/11/2015 9:00;100;100;100;100;0,2;964,6;8376;331;139,6;14,3;22,9;27,3;21,1;23,4;224;1,4
1/11/2015 10:00;100;95;94;97,5;0;964,3;14626;340;243,8;25,5;24,1;28,5;22,2;25,4;240;0,5
