FECHA / HORA;HUMEDAD RELATIVA DEL AIRE (%) MAX DE 1 HORAS;HUMEDAD RELATIVA DEL AIRE (%) INST DE 1 HORAS;HUMEDAD RELATIVA DEL AIRE (%) MIN DE 1 HORAS;HUMEDAD RELATIVA DEL AIRE (%) PROM DE 1 HORAS;PRECIPITACION (mm) SUM DE 1 HORAS;PRESION ATMOSFERICA (hPa) INST DE 1 HORAS;RADIACION SOLAR GLOBAL (W/m²) SUM DE 1 HORAS;RADIACION SOLAR GLOBAL (W/m²) MAX DE 1 HORAS;RADIACION SOLAR GLOBAL (W/m²) PROM DE 1 HORAS;RADIACION SOLAR REFLEJADA (W/m²) PROM DE 1 HORAS;TEMPERATURA AIRE (°C) PROM DE 1 HORAS;TEMPERATURA AIRE (°C) MAX DE 1 HORAS;TEMPERATURA AIRE (°C) MIN DE 1 HORAS;TEMPERATURA AIRE (°C) INST DE 1 HORAS;VIENTO DIRECCION (°) INST DE 1 HORAS;VIENTO VELOCIDAD (m/s) INST DE 1 HORAS
1/10/2015 1:00;100;99;99;99,1;0;960,6;0;0;0;1,9;23;26,8;21,5;22,8;236;0,3
1/10/2015 2:00;100;97;94;96,6;0;960,3;0;0;0;2,5;22,4;26,6;20,8;22,2;31;0,1
1/10/2015 3:00;99;98;96;97,6;0;960;0;0;0;2;22,5;26,4;20,7;22,1;321;1,4
1/10/2015 4:00;99;96;95;96,4;0;959,7;0;0;0;2,9;21,6;25,9;19,9;21,6;67;0,5
1/10/2015 5:00;99;99;96;98;0;960;0;0;0;2,7;20,9;25,1;19,1;20,5;210;1
1/10/2015 6:00;100;99;99;99;0;960,4;0;0;0;2,4;20,7;24,6;19,1;20,5;9;0,6
1/10/2015 7:00;100;100;99;99,8;0;960,9;1494;76;24,9;6,1;20,5;24,5;18,7;20,4;70;0,1
1/10/2015 8:00;100;83;83;95,7;0;961,4;12303;372;205;27,6;22,2;28;19,4;24,3;341;0,6
1/10/2015 9:00;85;73;75;79,6;0,1;961;26453;579;481;71;26,2;30,9;23,4;27,2;325;1,5
1/10/2015 10:00;75;61;60;67,8;0;960,9;42583;826;709,7;109;29,2;34;26,1;31,1;229;1,9
1/10/2015 11:00;65;55;55;59,2;0;960,6;52360;1051;872,7;131,2;32,2;36,6;29,8;33,8;324;4,5
1/10/2015 12:00;58;57;49;53;0;959,9;54143;1210;902,4;139,2;33,8;37,9;30,8;32,3;311;3,3
1/10/2015 13:00;58;52;47;51,5;0;959,3;59062;1258;984,4;159,9;34,9;39,6;30,7;34,9;314;3,6
1/10/2015 14:00;69;68;51;62,5;0;959,2;32896;1220;548,3;85,5;31,8;37,7;28,7;30;329;6,2
1/10/2015 15:00;78;78;67;71,4;0;959,3;13682;769;228;35,2;29,1;34,1;26;27,2;334;5,4
1/10/2015 16:00;85;84;78;81,4;0;959,6;1592;43;26,5;4,4;26,6;30,9;24,4;26,1;320;4,5
1/10/2015 17:00;96;95;84;90,3;0;959,8;1031;45;17,2;5;24,9;29,4;22,9;24,1;329;1
1/10/2015 18:00;98;98;95;96,8;0,1;960,2;328;10;5,5;3,4;24;28,1;22,4;24,5;322;1
1/10/2015 19:00;98;97;97;97,5;0;960,5;14;3;0,3;2,3;23,6;27,6;22,1;23,8;168;0,3
1/10/2015 20:00;98;97;96;96,9;0;961,1;0;0;0;2;23,6;27,6;22,1;23,5;163;0,4
1/10/2015 21:00;98;97;96;97,1;0;961,5;0;0;0;2,3;23,6;27,5;22,1;23,4;295;0,2
1/10/2015 22:00;98;97;97;97,6;0;962,1;0;0;0;2;23,6;27,5;22,1;23,7;119;0,7
1/10/2015 23:00;98;97;96;97;0;962;0;0;0;2;23,7;27,6;22,1;23,3;14;1,2
2/10/2015 0:00;98;97;96;97;0;961,8;0;0;0;1,9;23,7;27,4;22;24,2;298;1,6
2/10/2015 1:00;98;97;96;96,6;0;960,9;0;0;0;2;23,4;27,2;21,8;23,1;261;0,6
2/10/2015 2:00;99;99;97;97,7;0;960,1;0;0;0;1,8;23,1;27,1;21,1;22,7;231;1,5
2/10/2015 3:00;99;97;97;98,3;0,1;959,9;0;0;0;2;22,3;26,2;20,7;22,1;204;0,4
2/10/2015 4:00;98;97;96;97;0;960;0;0;0;2;22,5;26,3;20,8;22,9;111;0,4
2/10/2015 5:00;98;97;97;97,5;0;960;0;0;0;2;22,5;26,4;20,9;22,7;13;0,9
2/10/2015 6:00;97;94;94;96;0;960,5;0;0;0;2;22,7;26,5;20,9;22,7;215;0,8
2/10/2015 7:00;96;92;91;94,1;0;961;1391;69;23,2;5,6;22,6;26,9;20,9;23,3;253;0,7
2/10/2015 8:00;92;81;80;86,2;0;961,4;9192;310;153,2;24,7;24,2;29,1;21,7;24,9;156;0,2
2/10/2015 9:00;81;71;67;75,5;0;961,6;24560;677;409,3;61;26,9;32,2;24;28,4;307;1,5
