FECHA / HORA;HUMEDAD RELATIVA DEL AIRE (%) MAX DE 1 HORAS;HUMEDAD RELATIVA DEL AIRE (%) INST DE 1 HORAS;HUMEDAD RELATIVA DEL AIRE (%) MIN DE 1 HORAS;HUMEDAD RELATIVA DEL AIRE (%) PROM DE 1 HORAS;PRECIPITACION (mm) SUM DE 1 HORAS;PRESION ATMOSFERICA (hPa) INST DE 1 HORAS;RADIACION SOLAR GLOBAL (W/m²) SUM DE 1 HORAS;RADIACION SOLAR GLOBAL (W/m²) MAX DE 1 HORAS;RADIACION SOLAR GLOBAL (W/m²) PROM DE 1 HORAS;RADIACION SOLAR REFLEJADA (W/m²) PROM DE 1 HORAS;TEMPERATURA AIRE (°C) PROM DE 1 HORAS;TEMPERATURA AIRE (°C) MAX DE 1 HORAS;TEMPERATURA AIRE (°C) MIN DE 1 HORAS;TEMPERATURA AIRE (°C) INST DE 1 HORAS;VIENTO DIRECCION (°) INST DE 1 HORAS;VIENTO VELOCIDAD (m/s) INST DE 1 HORAS
1/9/2015 1:00;100;100;100;100;0;963,8;0;0;0;1;22;25,9;20,6;22;144;0,6
1/9/2015 2:00;100;100;100;100;0;963,5;0;0;0;1;22,2;26;20,6;22,2;140;0,8
1/9/2015 3:00;100;98;98;99,4;0;962,7;0;0;0;1;22;25,9;20,3;22;333;0,7
1/9/2015 4:00;98;94;94;96,1;0;962,4;18;1;0,3;1,1;22,2;26;20,5;22,2;340;0,6
1/9/2015 5:00;97;94;93;95,2;0;962,2;16;1;0,3;1;22,2;26;20,6;22,2;355;1,4
1/9/2015 6:00;98;96;94;95,5;0;962,2;1;1;0;1;22,1;26;20,4;22,1;124;0,4
1/9/2015 7:00;99;98;96;97,6;0;962,6;844;51;14,1;3,2;21,9;25,8;20,2;21,9;81;0,1
1/9/2015 8:00;98;90;82;92,1;0;963,2;9438;439;157,3;17,2;23,2;28,3;20,5;23,2;317;2,5
1/9/2015 9:00;93;92;87;90,2;0;963,8;11357;421;189,3;22,1;24,2;28,3;22,1;24,2;318;1,4
1/9/2015 10:00;94;91;90;91,8;0;963,6;9557;227;159,3;19,4;23,7;27,9;22,1;23,7;351;1,6
1/9/2015 11:00;92;85;83;88,5;0;963,2;13837;382;238,6;30,6;24,4;29,3;22,5;24,4;341;1,9
1/9/2015 12:00;88;81;80;84,5;0;962,7;16587;372;281,1;36,1;25,5;29,7;23,4;25,5;16;1,3
1/9/2015 13:00;85;75;72;78,3;0;961,8;23560;627;392,7;56,2;26,9;31,5;24,1;26,9;22;2,3
1/9/2015 14:00;76;74;70;73,5;0;960,9;18447;407;307,5;43,3;28,1;32,8;26,1;28,1;293;1,1
1/9/2015 15:00;82;80;72;77,3;0;960,7;11711;347;195,2;26,7;27,3;31,9;25;27,3;325;4,1
1/9/2015 16:00;89;89;80;84,6;0;960,8;3172;129;52,9;6,4;25,4;30,1;23,1;25,4;347;2,5
1/9/2015 17:00;94;93;89;91,2;0;961,2;1179;35;19,7;3;24;28,4;22,2;24;343;1
1/9/2015 18:00;98;98;93;95,6;0,2;961,7;372;12;6,2;2,2;23,4;27,5;21,6;23,4;328;0,8
1/9/2015 19:00;100;98;98;98,7;0,6;962,3;10;2;0,2;1;22,9;26,8;21,5;22,9;278;0,8
1/9/2015 20:00;100;100;99;99,4;0;963,2;0;0;0;1;22,7;26,6;21,1;22,7;252;0,7
1/9/2015 21:00;100;99;99;99,7;0;964,1;0;0;0;1;22,6;26,5;21;22,6;149;1,8
1/9/2015 22:00;100;99;99;99;0;964,4;0;0;0;1;22,6;26,5;21;22,6;9;1,4
1/9/2015 23:00;100;100;99;99,2;0,1;964,6;0;0;0;1,4;22,5;26,4;20,8;22,5;340;0,3
2/9/2015 0:00;100;100;99;100;0;964,3;0;0;0;1;22,3;26,2;20,7;22,3;223;0,5
2/9/2015 1:00;100;100;100;100;0;963,8;0;0;0;1;22,2;26;20,6;22,2;210;0,4
2/9/2015 2:00;100;96;95;99,1;0;963,2;0;0;0;1,1;22,2;26;20,5;22,2;202;2,7
2/9/2015 3:00;96;91;91;93;0;962,6;0;0;0;1,8;22;26;20,5;22;210;2,1
2/9/2015 4:00;97;95;91;94;0;962,4;0;0;0;2,3;21,6;25,8;19,8;21,6;58;1,6
2/9/2015 5:00;98;97;93;95,5;0;962,4;0;0;0;2,3;21,2;25,3;19,3;21,2;107;1
2/9/2015 6:00;100;99;97;98,2;0;962,6;0;0;0;2;20,4;24,5;18,7;20,4;106;1
2/9/2015 7:00;100;99;98;98,9;0;962,6;891;63;14,8;4,1;20,2;24,2;18,6;20,2;267;0,5
2/9/2015 8:00;100;88;84;93,3;0;963,1;9268;331;154,5;16,1;22,3;27,9;19,1;22,3;203;1,1
2/9/2015 9:00;86;74;72;78,6;0;963,3;26761;559;446;47,7;25,6;30,4;22,3;25,6;334;1,1
2/9/2015 10:00;77;66;63;69,1;0;963,1;39430;1003;657,2;79,9;28,3;33,8;25,1;28,3;326;1,9
2/9/2015 11:00;72;67;63;67,7;0;962,7;27586;1074;459,8;65;29,1;33,6;27,2;29,1;294;1,9
2/9/2015 12:00;70;67;59;64,7;0;962,3;36112;1268;601,9;87,7;30,4;34,8;27,9;30,4;19;3,4
2/9/2015 13:00;71;53;52;61,8;0;961,4;35599;1188;593,3;91,7;31,2;37,5;27,8;31,2;34;1
2/9/2015 14:00;63;59;50;58;0;960,7;35757;1202;606,1;92;32,4;37,9;29,7;32,4;338;3,3
2/9/2015 15:00;64;62;57;60,4;0;960,1;23844;1038;397,4;59,4;31,7;36,2;29,5;31,7;326;3,9
2/9/2015 16:00;67;66;57;63;0;960;15779;902;263;39,3;31;36,1;28,4;31;319;3,1
2/9/2015 17:00;75;74;66;69,7;0;960;4659;181;77,6;10,9;29,1;33,8;26,5;29,1;316;3,8
2/9/2015 18:00;80;79;74;76,5;0;960,3;1347;35;22,4;4;27,6;31,6;25,9;27,6;283;2,2
2/9/2015 19:00;88;79;78;81,9;0;960,8;146;15;2,9;1,4;26,7;31,1;24,2;26,7;143;1,3
2/9/2015 20:00;92;89;89;90,3;0;961,2;0;0;0;2;25,1;29,2;23,5;25,1;122;0,7
2/9/2015 21:00;92;91;87;90,6;0;961,9;0;0;0;1,6;24,7;28,8;23;24,7;259;0,1
2/9/2015 22:00;94;94;90;92,7;0;962,3;0;0;0;1,6;24,4;28,4;22,2;24,4;81;1,3
2/9/2015 23:00;97;97;93;95,4;0;962,4;0;0;0;2,5;23,1;27,5;21,4;23,1;191;1,1
3/9/2015 0:00;99;99;97;98,1;0;962,7;0;0;0;2,1;22,3;26,4;20,8;22,3;218;1,4
3/9/2015 1:00;99;94;93;95,4;0;962,3;0;0;0;2,9;22,2;26,2;20,5;22,2;229;1,3
3/9/2015 2:00;96;96;92;94,7;0;962,1;0;0;0;3,1;21,7;25,6;19,9;21,7;86;1,3
3/9/2015 3:00;98;97;95;96,7;0;961,6;0;0;0;2,6;21,2;25,3;19,4;21,2;142;1,6
3/9/2015 4:00;99;98;96;97,3;0;961,6;0;0;0;2,5;20,9;25;19;20,9;150;0,9
3/9/2015 5:00;99;99;97;98,2;0;961,8;0;0;0;2;20,7;24,4;18,9;20,7;13;0,3
3/9/2015 6:00;99;99;98;98,8;0;962,1;0;0;0;1,8;20,9;24,8;19,2;20,9;132;1,2
3/9/2015 7:00;99;99;97;98,4;0;962,4;1043;67;17,4;4,9;20,9;24,9;19,3;20,9;347;0,3
3/9/2015 8:00;99;83;82;91,1;0;962,7;9368;297;156,1;20,5;22,6;28,1;19,8;22,6;341;0,8
3/9/2015 9:00;84;70;68;76,1;0;962,6;25385;542;423,1;56,3;26,1;31,6;22,8;26,1;226;1
3/9/2015 10:00;72;69;59;64,6;0;962,2;35222;792;597;81;29,2;33,8;26,3;29,2;131;1,1
3/9/2015 11:00;66;65;53;58,2;0;961,9;37035;1082;617,3;97,4;30,8;36,4;27,4;30,8;324;2,3
3/9/2015 12:00;60;56;52;56,5;0;961,1;53181;1154;886,4;133,3;32,2;37;28,9;32,2;346;3,9
3/9/2015 13:00;58;52;47;52,1;0;960;52678;1200;878;146,2;33,3;37,9;30,4;33,3;285;4,3
3/9/2015 14:00;54;47;45;49,5;0;959,3;50363;1146;839,4;135;34,2;39,3;31,1;34,2;352;3,4
3/9/2015 15:00;56;51;46;51,1;0;958,7;29794;987;541,7;85,4;34;38,8;30,7;34;318;6
3/9/2015 16:00;68;66;50;57,7;0;958,7;25875;833;431,3;67,6;32,5;37,9;28,5;32,5;312;5,8
3/9/2015 17:00;70;69;65;68,4;0;959,4;3994;183;71,3;10,7;29,2;34;27;29,2;335;2,4
3/9/2015 18:00;80;80;68;72,4;0;960,2;1822;48;30,4;5,9;28;32,4;25,5;28;291;2,4
3/9/2015 19:00;85;79;79;81,9;0;961,1;101;14;1,8;1,3;26,4;30,7;24,3;26,4;331;1,7
3/9/2015 20:00;88;87;85;86,1;0;961,7;0;0;0;1,2;25,5;29,4;23,8;25,5;42;0,4
3/9/2015 21:00;90;89;87;88,6;0;962;0;0;0;1,5;25;29,1;23,4;25;360;1,2
3/9/2015 22:00;92;92;89;90,7;0;962,3;0;0;0;1,6;24,6;28,6;22,8;24,6;5;1
3/9/2015 23:00;98;97;92;94,7;0;962,2;0;0;0;2,4;23,6;27,7;21,7;23,6;327;0,4
4/9/2015 0:00;98;98;96;97,4;0;961,8;0;0;0;3;22,8;27,1;21;22,8;138;0,5
4/9/2015 1:00;99;99;97;98,5;0;961,6;0;0;0;2,9;22,2;26,2;20,5;22,2;74;0,6
4/9/2015 2:00;100;99;98;98,9;0;961,1;0;0;0;2,8;21,8;26,1;20,1;21,8;278;0,5
4/9/2015 3:00;100;100;99;99,2;0;960,5;0;0;0;2,3;21,4;25,5;19,5;21,4;251;0,8
4/9/2015 4:00;100;100;99;100;0;960,2;0;0;0;2,4;21,1;25;19,2;21,1;60;1,1
4/9/2015 5:00;100;100;100;100;0;960,9;10;1;0,2;1,1;21,6;25,6;19,5;21,6;112;0,6
4/9/2015 6:00;100;100;100;100;0;961,1;0;0;0;1;22,1;26,1;20,4;22,1;236;0,6
4/9/2015 7:00;100;100;100;100;0,1;961,4;541;31;9;2,2;22,3;26,2;20,8;22,3;359;0,9
4/9/2015 8:00;100;100;100;100;0;961,9;5476;169;91,3;15,3;22,7;26,7;21;22,7;65;0,6
4/9/2015 9:00;100;84;83;91,7;0;961,9;14501;540;241,7;38,9;24,6;29,8;21,7;24,6;7;1,4
4/9/2015 10:00;85;83;73;78,4;0;961,7;24713;975;475,3;72,8;27,2;31,7;24,5;27,2;321;1,3
4/9/2015 11:00;76;65;64;70;0;961,2;29153;1073;485,9;82;29,2;34,4;26,1;29,2;323;2,4
4/9/2015 12:00;71;65;60;65;0;961;43122;1142;730,9;108,2;31,1;35,9;28,2;31,1;344;3,2
4/9/2015 13:00;66;62;54;59,1;0;960,2;49559;1175;826;136;32,2;37;29,6;32,2;282;2,5
4/9/2015 14:00;58;53;52;54,9;0;959,3;48237;1163;804;128,3;33,1;37,5;30,5;33,1;341;3,2
4/9/2015 15:00;67;64;55;63,1;0;959,3;13736;330;228,9;33,1;30,9;36,6;28,4;30,9;8;1,5
4/9/2015 16:00;70;70;63;66,3;0;959,1;7644;206;127,4;19,3;29,8;34,3;27,5;29,8;340;2,3
4/9/2015 17:00;76;76;70;73,7;0;959,8;2868;71;47,8;7,8;28;32,5;26,1;28;325;2,6
4/9/2015 18:00;83;83;75;79,7;0;960,6;474;43;7,9;2,1;26,6;31,1;24,4;26,6;306;2,5
4/9/2015 19:00;86;83;83;84;0;960,8;1;1;0;1,1;25,6;29,7;24,1;25,6;66;0,2
4/9/2015 20:00;90;90;85;87,5;0;961,4;0;0;0;1,7;25,2;29,3;23,4;25,2;188;0,4
4/9/2015 21:00;92;92;89;90,6;0;961,8;0;0;0;1,9;24,5;28,6;22,9;24,5;37;0,8
4/9/2015 22:00;97;97;92;94,2;0;961,9;0;0;0;2,4;23,8;28;21,9;23,8;133;0,9
4/9/2015 23:00;98;98;95;96,6;0;962,3;0;0;0;2,9;23;27,1;21,3;23;73;0,6
5/9/2015 0:00;99;99;97;98,3;0;962,3;0;0;0;2,8;22,4;26,6;20,7;22,4;120;0,6
5/9/2015 1:00;100;99;99;99;0;961,9;0;0;0;2,5;22;26;20,1;22;259;0,3
5/9/2015 2:00;100;100;99;99,5;0;961,4;0;0;0;2,2;21,5;25,6;19,9;21,5;37;0,8
5/9/2015 3:00;100;100;100;100;0;961,3;0;0;0;1,1;22,1;26,1;20,4;22,1;28;0,2
5/9/2015 4:00;100;100;100;100;0;961,2;0;0;0;1,3;22,4;26,2;20,7;22,4;348;0,9
5/9/2015 5:00;100;100;100;100;0;961,2;0;0;0;1;22,1;26,1;20,6;22,1;337;0,6
5/9/2015 6:00;100;100;100;100;0;961,4;0;0;0;1,9;22,1;25,9;20,5;22,1;241;0,8
5/9/2015 7:00;100;100;100;100;0,1;962,2;198;12;3,3;1,9;22,2;26,1;20,7;22,2;275;1,2
5/9/2015 8:00;100;100;100;100;0,1;963;2250;84;37,5;6;22,5;26,4;20,9;22,5;168;0,4
5/9/2015 9:00;100;99;99;99,7;0,1;963,3;5997;156;99,9;14,3;23,3;27,3;21,4;23,3;237;1,4
5/9/2015 10:00;100;95;91;95,8;0;963,1;11117;271;185,3;26,5;24,1;28,6;22,1;24,1;292;1,2
5/9/2015 11:00;95;88;87;91,4;0;963,1;11454;352;190,9;28,6;24,9;29,2;22,8;24,9;330;1,6
5/9/2015 12:00;88;75;74;80,6;0;962,4;22674;530;377,9;58,4;26,9;31,6;23,9;26,9;346;2,3
5/9/2015 13:00;77;75;66;71,2;0;961,7;33349;737;555,8;85,7;28,9;33,1;26,5;28,9;343;2,5
5/9/2015 14:00;75;67;59;67,2;0;960,4;46459;1369;774,3;120,7;29,9;35,5;26,6;29,9;293;2,7
5/9/2015 15:00;72;70;65;68,9;0;959,9;19347;928;322,5;48,2;29,5;33,9;27,5;29,5;302;1,9
5/9/2015 16:00;70;70;56;63,4;0;959,6;29663;930;494,4;78,1;30,9;36,5;27,8;30,9;341;3
5/9/2015 17:00;80;79;69;75,8;0;960,1;3128;107;52,1;6,2;27,6;32,5;25,3;27,6;323;3,5
5/9/2015 18:00;87;86;79;83,7;0;960,9;404;23;6,7;1,6;25,8;30,4;23,9;25,8;345;2,5
5/9/2015 19:00;94;86;85;88,4;0;961,6;0;0;0;1,2;24,9;29,1;22,9;24,9;318;3,1
5/9/2015 20:00;99;99;94;97,6;0,7;962,3;0;0;0;1,9;23,6;27,9;21,9;23,6;326;2,1
5/9/2015 21:00;100;100;99;99,1;0,2;963;0;0;0;1,6;23,1;27;21,4;23,1;277;0,8
5/9/2015 22:00;100;100;99;99,9;0,5;963,6;0;0;0;1;23,1;26,9;21,5;23,1;213;1,2
5/9/2015 23:00;100;100;100;100;0,3;963,7;0;0;0;1;23;26,9;21,6;23;187;0,4
6/9/2015 0:00;100;100;100;100;0;963,2;0;0;0;1;23,1;27;21,6;23,1;258;1,4
6/9/2015 1:00;100;100;100;100;0;962,8;0;0;0;1;23;26,9;21,5;23;126;1,7
6/9/2015 2:00;100;100;100;100;0;962;0;0;0;1;22,9;26,9;21,5;22,9;7;0,4
6/9/2015 3:00;100;100;100;100;0;961,6;0;0;0;1;23;26,8;21,5;23;102;1,6
6/9/2015 4:00;100;100;99;100;0;961;0;0;0;1,5;22,7;26,7;21,1;22,7;68;1,7
6/9/2015 5:00;100;100;99;99,9;0;961;0;0;0;1,7;22,4;26,3;20,8;22,4;185;1,7
6/9/2015 6:00;100;100;100;100;0;961,5;0;0;0;1,4;22,1;26;20,5;22,1;142;1,3
6/9/2015 7:00;100;100;100;100;0;962,4;613;31;10,2;2,5;22;26,2;20,4;22;116;0,8
6/9/2015 8:00;100;100;99;100;0;962,9;3960;101;66;9,4;23;27,2;20,9;23;299;0,8
6/9/2015 9:00;100;93;91;96,7;0;962,9;11190;300;186,5;25,3;24,2;29;22;24,2;231;1,4
6/9/2015 10:00;94;77;75;83,7;0;962,6;32717;798;545,3;72,9;26,6;31,5;23,9;26,6;341;0,8
6/9/2015 11:00;79;78;69;72,7;0;962;36805;1047;613,4;80,7;29,7;34,1;26,6;29,7;301;2,3
6/9/2015 12:00;75;73;50;61,7;0;960,9;44779;1217;861,1;123;32,1;37,4;28,4;32,1;344;2,5
6/9/2015 13:00;58;54;46;53,8;0;960,2;48572;1150;867,4;139,3;33,8;39,1;31,1;33,8;342;1,8
6/9/2015 14:00;56;48;42;49,3;0;959,5;38798;1255;646,6;97,4;34,4;40,8;30,9;34,4;348;2,7
6/9/2015 15:00;62;55;55;58,2;0;958,9;17444;651;290,7;42,9;32,4;36,8;30,4;32,4;15;1,8
6/9/2015 16:00;67;61;61;64,4;0;958,9;4894;211;81,6;10,5;30,7;35,4;28,5;30,7;302;3,7
6/9/2015 17:00;69;66;66;67,8;0;959,2;4230;106;70,5;11,3;29,3;33,5;27,5;29,3;350;2,3
6/9/2015 18:00;80;69;69;74,8;0;959,9;2254;92;38,2;6,1;28,1;32,8;25,6;28,1;332;1,1
6/9/2015 19:00;85;80;80;82,4;0;960,8;11;3;0,2;1;26,6;30,8;24,9;26,6;288;1,6
6/9/2015 20:00;90;85;84;87,3;0;961,5;0;0;0;1,3;25,9;30;24,1;25,9;75;0,2
6/9/2015 21:00;94;90;88;91,3;0;961,8;0;0;0;1,8;25,2;29,4;23,3;25,2;236;0,3
6/9/2015 22:00;96;95;93;94;0;962,5;0;0;0;2,2;24,4;28,6;22,7;24,4;46;1,2
6/9/2015 23:00;98;97;95;96,5;0;962,7;0;0;0;2,4;23,8;27,8;22;23,8;85;1,2
