FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MNIMA;PRECIPITACION;PRECIPITACION (ACUM);PRESIONA ATMOSFERICA;TEMPERATURA AIRE INSTANTANE;TEMPERATURA AIRE MAXIMA;TEMPERATURA AIRE MINIMA;DIRECCION DEL VIENTO;VELOCIDAD DEL VIENTO 
02/10/2016 9:00;84.0;91.0;81.0;0.0;;;14.0;14.1;12.8;349.0;1.1
02/10/2016 8:00;89.0;96.0;88.0;0.0;;;12.8;12.8;11.4;51.0;0.5
02/10/2016 7:00;95.0;96.0;94.0;0.0;0.1;;11.4;11.4;11.1;201.0;1.2
02/10/2016 6:00;95.0;98.0;94.0;0.0;;;11.2;11.3;10.9;168.0;0.5
02/10/2016 5:00;98.0;98.0;97.0;0.1;;;10.9;10.9;10.6;206.0;1.1
02/10/2016 4:00;98.0;98.0;96.0;0.0;;;10.8;10.9;10.5;140.0;0.6
02/10/2016 3:00;98.0;99.0;95.0;0.0;;;10.6;11.0;10.6;58.0;0.8
02/10/2016 2:00;99.0;99.0;94.0;0.0;;;10.9;11.3;10.9;74.0;0.4
02/10/2016 1:00;94.0;99.0;94.0;0.0;;;11.1;11.4;10.9;274.0;1.5
02/10/2016 0:00;98.0;99.0;94.0;0.0;;;10.9;11.1;10.1;203.0;1.2
01/10/2016 23:00;96.0;99.0;94.0;0.0;;;10.4;11.2;10.3;187.0;1.8
01/10/2016 22:00;95.0;97.0;93.0;0.0;;;10.8;12.0;10.8;174.0;0.9
01/10/2016 21:00;;99.0;95.0;0.0;;;;12.0;11.8;;
01/10/2016 19:00;;99.0;98.0;0.0;0.5;;;13.0;12.8;;
01/10/2016 18:00;99.0;99.0;94.0;0.0;;;12.9;13.4;12.7;200.0;0.2
01/10/2016 17:00;97.0;98.0;90.0;0.0;;;12.9;13.6;12.7;22.0;1.4
01/10/2016 16:00;98.0;98.0;90.0;0.1;;;12.9;13.8;12.7;27.0;2.2
01/10/2016 15:00;96.0;98.0;88.0;0.4;;;12.7;14.3;12.7;32.0;1.2
01/10/2016 14:00;;97.0;91.0;0.0;;;;15.2;13.8;;
01/10/2016 13:00;;97.0;88.0;0.0;0.0;;;16.8;15.2;;
01/10/2016 12:00;89.0;97.0;81.0;0.0;;;16.7;17.5;15.3;20.0;1.4
01/10/2016 11:00;;87.0;83.0;0.0;;;;16.0;15.8;;
01/10/2016 10:00;;88.0;70.0;0.0;;;;17.5;16.6;;
