;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRESION ATMOSFERICA;PRECIPITACION (ACUM);TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
02/11/2016 10:00;63.0;66.0;58.0;0.0;;;8.3;9.1;8.2;323.0;4.0
02/11/2016 9:00;66.0;73.0;55.0;0.0;;;8.1;8.7;7.5;305.0;3.2
02/11/2016 8:00;74.0;80.0;66.0;0.0;;;8.0;9.3;7.4;300.0;2.0
02/11/2016 7:00;79.0;88.0;78.0;0.0;;0.0;7.3;7.4;5.0;153.0;1.5
02/11/2016 6:00;88.0;91.0;82.0;0.0;;;5.0;5.8;4.4;136.0;1.0
02/11/2016 5:00;83.0;90.0;81.0;0.0;;;5.7;6.1;5.2;159.0;2.7
02/11/2016 4:00;89.0;89.0;83.0;0.0;;;5.2;6.2;5.2;62.0;0.2
02/11/2016 3:00;83.0;87.0;81.0;0.0;;;6.2;6.7;6.1;287.0;2.1
02/11/2016 2:00;87.0;93.0;86.0;0.0;;;6.2;6.2;4.7;134.0;1.1
02/11/2016 1:00;93.0;94.0;92.0;0.0;;;4.7;4.8;4.5;142.0;1.9
02/11/2016 0:00;92.0;92.0;88.0;0.0;;;4.5;5.4;4.5;295.0;2.1
01/11/2016 23:00;90.0;92.0;86.0;0.0;;;5.0;5.8;4.9;110.0;0.8
01/11/2016 22:00;92.0;96.0;87.0;0.0;;;4.8;5.6;4.3;176.0;1.4
01/11/2016 21:00;88.0;93.0;88.0;0.0;;;5.6;5.6;4.7;209.0;0.3
01/11/2016 20:00;93.0;93.0;88.0;0.0;;;5.0;5.7;4.8;252.0;0.9
01/11/2016 19:00;88.0;88.0;84.0;0.0;;0.0;5.7;6.6;5.7;311.0;1.4
01/11/2016 18:00;84.0;85.0;80.0;0.0;;;6.4;7.3;6.2;331.0;0.6
01/11/2016 17:00;82.0;82.0;77.0;0.0;;;6.9;8.3;6.9;309.0;0.8
01/11/2016 16:00;82.0;83.0;72.0;0.0;;;7.1;9.3;6.9;304.0;2.5
01/11/2016 15:00;73.0;75.0;65.0;0.0;;;9.0;10.4;8.3;328.0;2.6
01/11/2016 14:00;65.0;73.0;64.0;0.0;;;10.7;11.1;8.7;308.0;3.3
01/11/2016 13:00;68.0;77.0;68.0;0.0;;0.0;10.0;10.6;8.7;318.0;3.6
01/11/2016 12:00;75.0;76.0;66.0;0.0;;;8.7;10.9;8.7;327.0;2.7
01/11/2016 11:00;72.0;78.0;68.0;0.0;;;9.6;10.0;8.3;327.0;2.4
