FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINIMA ;PRECIPITACION;PRECIPITACION ACUMULADA;PRESION ATMOSFERICA;TEMPERATURA AIRE INSTANTANEA;TEMPERATURA AIRE MAXIMA;TEMPERATURA AIRE MINIMA;DIRECCION DEL VIENTO ;VELOCIDAD DEL VIENTO
4/10/2016 10:00;94.0;98.0;93.0;0.0;;;22.9;22.9;22.0;;
4/10/2016 9:00;98.0;98.0;96.0;0.0;;;22.1;22.5;22.0;;
4/10/2016 8:00;96.0;97.0;95.0;0.0;;;22.2;22.3;21.8;;
4/10/2016 7:00;96.0;96.0;92.0;0.0;0.0;;21.9;22.2;21.9;;
4/10/2016 6:00;92.0;96.0;91.0;0.0;;;22.2;22.2;22.0;;
4/10/2016 5:00;96.0;96.0;93.0;0.0;;;22.0;22.4;22.0;;
4/10/2016 4:00;93.0;93.0;90.0;0.0;;;22.4;22.7;22.4;;
4/10/2016 3:00;91.0;94.0;91.0;0.0;;;22.7;22.9;22.6;;
4/10/2016 2:00;93.0;94.0;92.0;0.0;;;22.9;23.0;22.9;;
4/10/2016 1:00;93.0;93.0;92.0;0.0;;;22.9;23.0;22.8;;
4/10/2016 0:00;93.0;94.0;92.0;0.0;;;22.8;23.1;22.8;;
3/10/2016 23:00;92.0;92.0;92.0;0.0;;;23.1;23.4;23.1;;
3/10/2016 22:00;92.0;92.0;91.0;0.0;;;23.4;23.5;23.3;;
3/10/2016 21:00;92.0;92.0;89.0;0.0;;;23.3;24.3;23.3;;
3/10/2016 20:00;89.0;93.0;86.0;0.0;;;24.3;24.3;23.3;;
3/10/2016 19:00;86.0;87.0;73.0;0.0;0.0;;24.3;26.9;24.3;;
3/10/2016 18:00;73.0;73.0;68.0;0.0;;;26.9;28.3;26.9;;
3/10/2016 17:00;69.0;69.0;63.0;0.0;;;28.3;29.8;28.3;;
3/10/2016 16:00;63.0;66.0;61.0;0.0;;;29.6;30.5;28.7;;
3/10/2016 15:00;62.0;70.0;62.0;0.0;;;29.9;30.2;28.0;;
3/10/2016 14:00;68.0;75.0;68.0;0.0;;;28.3;28.3;26.6;;
3/10/2016 13:00;75.0;81.0;74.0;0.0;0.1;;27.0;27.0;25.5;;
3/10/2016 12:00;75.0;82.0;75.0;0.0;;;26.1;26.3;25.2;;
3/10/2016 11:00;80.0;91.0;78.0;0.0;;;25.6;25.9;23.4;;
