FECHA;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
04/11/2016 07:00;;;;;0;;;;;;
04/11/2016 02:00;91;94;90;0;;1008.6;20.8;20.9;20.2;211;1.2
04/11/2016 01:00;94;94;93;0;;1009.2;20.1;20.4;19.8;194;1.5
04/11/2016 00:00;93;93;90;0;;1009.6;20.4;21;20.4;196;1.1
03/11/2016 23:00;90;90;89;0;;1010.1;21;21.5;20.7;199;1.8
03/11/2016 22:00;89;89;86;0;;1010.2;21.5;22.2;21.4;196;1.4
03/11/2016 21:00;86;86;83;0;;1009.9;22.2;23.3;22.2;194;1.7
03/11/2016 20:00;83;83;76;0;;1009.5;23.3;24.6;23.2;193;1.6
03/11/2016 19:00;76;76;72;0;0;1008.8;24.6;25.4;24.6;123;1.1
03/11/2016 18:00;72;72;68;0;;1008.4;25.4;26.1;25.4;144;1.3
03/11/2016 17:00;69;70;65;0;;1007.9;26.1;27;25.9;92;2.6
03/11/2016 16:00;68;71;68;0;;1007.5;26.4;26.5;26.2;111;2.6
