FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINAMA;PRECIPITACION;PRECIPITACION ACUMULADA;PRESION ATMOSFERICA;TEMPERATURA AIRE INSTANTANEA;TEMPERATURA AIRE MAXIMA;TEMPERATURA AIRE MINIMA;DIRECCION DEL VIENTO;VELOCIDAD DEL VIENTO
5/10/2016 10:00;77.0;88.0;74.0;0.0;;;26.2;27.0;24.0;;
5/10/2016 9:00;88.0;93.0;88.0;0.0;;;23.9;23.9;22.8;;
5/10/2016 8:00;93.0;96.0;92.0;0.0;;;22.6;22.8;22.0;;
5/10/2016 7:00;96.0;98.0;96.0;0.0;0.0;;22.0;22.0;21.7;;
5/10/2016 6:00;98.0;99.0;98.0;0.0;;;21.7;21.7;21.7;;
5/10/2016 5:00;99.0;99.0;99.0;0.0;;;21.7;21.7;21.6;;
5/10/2016 4:00;99.0;99.0;97.0;0.0;;;21.7;21.9;21.6;;
5/10/2016 3:00;97.0;97.0;94.0;0.0;;;21.9;22.2;21.9;;
5/10/2016 2:00;94.0;94.0;92.0;0.0;;;22.1;22.4;22.1;;
5/10/2016 1:00;92.0;94.0;91.0;0.0;;;22.3;22.4;22.3;;
5/10/2016 0:00;94.0;94.0;94.0;0.0;;;22.4;22.4;22.3;;
4/10/2016 23:00;94.0;94.0;94.0;0.0;;;22.3;22.5;22.3;;
4/10/2016 22:00;94.0;94.0;93.0;0.0;;;22.4;22.6;22.3;;
4/10/2016 21:00;93.0;93.0;91.0;0.0;;;22.6;22.9;22.5;;
4/10/2016 20:00;92.0;92.0;90.0;0.0;;;22.9;23.3;22.9;;
4/10/2016 19:00;90.0;90.0;88.0;0.0;0.0;;23.3;23.8;23.3;;
4/10/2016 18:00;88.0;88.0;81.0;0.0;;;23.9;25.6;23.8;;
4/10/2016 17:00;81.0;81.0;72.0;0.0;;;25.6;26.9;25.6;;
4/10/2016 16:00;74.0;77.0;73.0;0.0;;;26.8;27.0;26.5;;
4/10/2016 15:00;77.0;78.0;73.0;0.0;;;26.5;27.2;26.3;;
4/10/2016 14:00;74.0;80.0;72.0;0.0;;;26.8;27.5;25.5;;
4/10/2016 13:00;76.0;84.0;75.0;0.0;0.0;;26.3;26.4;24.9;;
4/10/2016 12:00;83.0;89.0;81.0;0.0;;;24.8;24.9;23.7;;
4/10/2016 11:00;86.0;93.0;85.0;0.0;;;23.9;24.0;22.9;;
