FECHA,HUMEDAD RELATIVA DEL AIRE,HUMEDAD RELATIVA DEL AIRE,HUMEDAD RELATIVA DEL AIRE,PRECIPITACION,PRECIPITACION (ACUM),PRESION ATMOSFERICA,TEMPERATURA AIRE,TEMPERATURA AIRE,TEMPERATURA AIRE,VIENTO DIRECCION,VIENTO VELOCIDAD
05/11/2016 07:00,,,,,0,,,,,,
05/11/2016 05:00,87,89,87,0,,1009.7,20.9,21,20.4,204,1
05/11/2016 04:00,89,91,89,0,,1009.3,20.6,20.6,20.3,199,1.3
05/11/2016 03:00,91,91,89,0,,1009.2,20.3,20.4,19.9,199,1.2
05/11/2016 02:00,89,89,88,0,,1009.3,20.4,20.9,20.4,198,1.5
05/11/2016 01:00,88,88,85,0,,1009.8,20.9,21.5,20.8,194,1.7
05/11/2016 00:00,85,85,81,0,,1010.1,21.5,22.2,21.5,199,1.7
04/11/2016 23:00,81,84,79,0,,1010,22.2,23.2,22.2,198,1.7
04/11/2016 22:00,83,84,82,0,,1009.8,23.1,23.6,22.9,178,2.2
04/11/2016 21:00,82,83,79,0,,1009.5,23.5,24.3,23.5,202,1.4
04/11/2016 20:00,79,79,66,0,,1008.6,24.2,26.3,24.1,204,1.4
04/11/2016 19:00,66,71,63,0,0,1007.6,26.3,26.8,25.1,100,1.6
04/11/2016 18:00,64,64,57,0,,1006.7,26.8,28.8,26.8,99,0.7
04/11/2016 17:00,58,59,55,0,,1006.2,28.8,29.4,28.5,61,1.2
04/11/2016 16:00,55,61,55,0,,1006.2,29.1,29.4,28.4,100,1.2
04/11/2016 15:00,58,62,55,0,,1007,28.7,29.4,27.5,86,1.9
04/11/2016 14:00,61,67,61,0,,1007.9,27.6,27.7,26.3,95,1.4
04/11/2016 13:00,64,70,63,0,0,1008.7,26.5,26.8,25.4,64,0.9
