FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINIMA;PRECIPITACION;PRECIPITACION ACUMULADA;PRESION ATMOSFERICA;TEMPERATURA AIRE INSTANTANEA;TEMPERATURA AIRE MAXIMA;TEMPERATURA AIRE MINIMA;DIRECCION DEL VIENTO;VELOCIDAD DEL VIENTO
6/10/2016 10:00;82.0;86.0;82.0;0.0;;;24.1;24.2;23.5;;
6/10/2016 9:00;85.0;91.0;83.0;0.0;;;23.7;24.0;22.7;;
6/10/2016 8:00;91.0;96.0;91.0;0.0;;;22.7;22.7;22.2;;
6/10/2016 7:00;94.0;96.0;94.0;0.0;0.0;;22.4;22.5;22.2;;
6/10/2016 6:00;94.0;94.0;93.0;0.0;;;22.3;22.4;22.3;;
6/10/2016 5:00;93.0;93.0;91.0;0.0;;;22.4;22.6;22.4;;
6/10/2016 4:00;91.0;91.0;89.0;0.0;;;22.6;22.8;22.6;;
6/10/2016 3:00;89.0;90.0;88.0;0.0;;;22.8;22.9;22.8;;
6/10/2016 2:00;90.0;91.0;89.0;0.0;;;22.9;23.1;22.9;;
6/10/2016 1:00;89.0;89.0;88.0;0.0;;;23.1;23.2;23.1;;
6/10/2016 0:00;88.0;88.0;87.0;0.0;;;23.1;23.3;23.1;;
5/10/2016 23:00;87.0;88.0;87.0;0.0;;;23.3;23.4;23.2;;
5/10/2016 22:00;87.0;87.0;85.0;0.0;;;23.4;23.9;23.4;;
5/10/2016 21:00;85.0;86.0;85.0;0.0;;;23.9;24.8;23.9;;
5/10/2016 20:00;85.0;85.0;78.0;0.0;;;24.8;26.0;24.7;;
5/10/2016 19:00;78.0;78.0;72.0;0.0;0.0;;26.0;27.6;26.0;;
5/10/2016 18:00;72.0;72.0;67.0;0.0;;;27.6;29.2;27.6;;
5/10/2016 17:00;68.0;68.0;63.0;0.0;;;29.1;29.8;28.8;;
5/10/2016 16:00;65.0;65.0;58.0;0.0;;;29.3;31.3;29.2;;
5/10/2016 15:00;63.0;64.0;56.0;0.0;;;29.5;32.0;29.5;;
5/10/2016 14:00;59.0;67.0;58.0;0.0;;;30.9;31.0;28.7;;
5/10/2016 13:00;64.0;72.0;63.0;0.0;0.0;;29.3;29.7;27.6;;
5/10/2016 12:00;68.0;76.0;68.0;0.0;;;28.5;28.5;26.4;;
5/10/2016 11:00;75.0;80.0;69.0;0.0;;;26.3;27.7;25.7;;
