FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINIMA;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE INSTANTANEA;TEMPERATURA AIRE MAXIMA;TEMPERATURA AIRE MINIMA; DIRECCION DEL VIENTO; VELOCIDAD DEL VIENTO
06/10/2016 10:00;75.0;82.0;66.0;0.0;;;17.6;17.7;15.1;20.0;2.8
06/10/2016 9:00;76.0;81.0;66.0;0.0;;;16.2;16.9;14.8;18.0;2.1
06/10/2016 8:00;78.0;81.0;71.0;0.0;;;14.9;14.9;13.5;7.0;0.9
06/10/2016 7:00;81.0;85.0;79.0;0.0;0.0;;13.5;13.5;11.7;184.0;0.5
06/10/2016 6:00;83.0;84.0;81.0;0.0;;;12.1;12.3;11.8;171.0;1.7
06/10/2016 5:00;83.0;84.0;81.0;0.0;;;11.8;12.1;11.2;181.0;1.7
06/10/2016 4:00;84.0;86.0;83.0;0.0;;;11.4;12.1;11.0;188.0;1.6
06/10/2016 3:00;85.0;85.0;80.0;0.0;;;12.1;13.1;12.1;171.0;1.3
06/10/2016 2:00;85.0;85.0;81.0;0.0;;;12.3;13.0;12.3;182.0;1.7
06/10/2016 1:00;85.0;85.0;81.0;0.0;;;12.5;12.9;12.0;172.0;1.6
06/10/2016 0:00;81.0;84.0;80.0;0.0;;;12.3;13.3;12.1;184.0;2.2
05/10/2016 23:00;84.0;85.0;79.0;0.0;;;12.7;13.3;12.4;173.0;2.6
05/10/2016 22:00;80.0;84.0;78.0;0.0;;;13.0;13.0;11.7;196.0;2.6
05/10/2016 21:00;;84.0;79.0;0.0;;;;13.4;11.8;;
05/10/2016 20:00;;85.0;79.0;0.0;;;;14.0;13.3;;
05/10/2016 19:00;80.0;85.0;71.0;0.0;0.0;;14.0;14.7;13.6;33.0;0.3
05/10/2016 18:00;74.0;91.0;68.0;0.0;;;14.7;15.1;14.2;60.0;1.0
05/10/2016 17:00;70.0;79.0;69.0;0.0;;;15.2;15.6;14.6;22.0;1.7
05/10/2016 15:00;;95.0;89.0;0.0;;;;15.4;14.7;;
05/10/2016 14:00;95.0;96.0;59.0;0.0;;;14.7;16.7;14.5;32.0;2.1
05/10/2016 13:00;78.0;90.0;72.0;0.0;0.0;;16.5;17.4;15.1;27.0;1.5
05/10/2016 12:00;;90.0;75.0;0.0;;;;17.8;16.1;;
05/10/2016 11:00;75.0;82.0;67.0;0.0;;;17.2;18.7;16.7;46.0;2.2
