FECHA;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
08/10/2016 10:00;64.0;69.0;57.0;0.0;;708.1;16.1;16.2;14.1;117.0;2.3
08/10/2016 9:00;62.0;79.0;59.0;0.0;;708.2;15.3;15.4;11.2;128.0;3.4
08/10/2016 8:00;77.0;83.0;74.0;0.0;;708.1;11.1;11.4;9.0;16.0;0.4
08/10/2016 7:00;79.0;90.0;78.0;0.0;0.2;707.4;8.9;9.0;5.7;136.0;0.8
08/10/2016 6:00;86.0;96.0;85.0;0.0;;706.7;6.4;7.2;6.0;167.0;1.6
08/10/2016 5:00;96.0;98.0;96.0;0.0;;706.6;7.3;8.0;7.2;223.0;0.7
08/10/2016 4:00;96.0;96.0;91.0;0.0;;706.4;7.9;8.4;7.4;333.0;0.4
08/10/2016 3:00;92.0;97.0;91.0;0.0;;706.2;7.6;8.3;6.8;190.0;1.9
08/10/2016 2:00;95.0;96.0;90.0;0.0;;706.4;8.3;9.0;8.0;195.0;1.1
08/10/2016 1:00;92.0;96.0;90.0;0.0;;706.8;9.0;9.4;8.8;187.0;1.8
08/10/2016 0:00;95.0;96.0;93.0;0.0;;707.4;9.0;9.3;8.9;299.0;0.3
07/10/2016 23:00;94.0;97.0;94.0;0.0;;707.8;9.2;9.3;8.4;234.0;0.7
07/10/2016 22:00;96.0;98.0;96.0;0.0;;707.9;9.0;9.1;8.4;63.0;0.4
07/10/2016 21:00;98.0;98.0;98.0;0.0;;707.5;8.5;8.7;8.2;20.0;0.9
07/10/2016 20:00;98.0;98.0;98.0;0.2;;707.0;8.5;8.7;8.3;22.0;0.6
07/10/2016 19:00;98.0;98.0;98.0;0.6;0.9;706.5;8.5;8.8;8.4;316.0;1.7
07/10/2016 18:00;98.0;98.0;91.0;0.3;;706.0;8.8;9.9;8.6;334.0;2.0
07/10/2016 17:00;91.0;92.0;86.0;0.0;;705.6;9.8;10.5;9.8;320.0;2.0
07/10/2016 16:00;89.0;92.0;85.0;0.0;;705.4;10.3;11.1;10.2;303.0;2.7
07/10/2016 15:00;89.0;91.0;73.0;0.0;;705.4;10.6;13.9;10.5;316.0;2.7
07/10/2016 14:00;77.0;83.0;72.0;0.0;;705.7;13.9;15.4;13.2;314.0;3.3
07/10/2016 13:00;74.0;81.0;65.0;0.0;0.0;706.2;14.9;16.7;14.8;309.0;3.9
07/10/2016 12:00;69.0;78.0;62.0;0.0;;706.7;16.3;16.4;14.3;305.0;2.5
07/10/2016 11:00;68.0;77.0;59.0;0.0;;707.4;14.9;16.5;13.3;330.0;3.6
