FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINIMA;PRECIPITACION;PRECIPITACION ACUMULADA;PRESION ATMOSFERICA;TEMPERATURA AIRE INSTANTANEA;TEMPERATURA AIRE MAXIMA;TEMPERATURA AIRE MINIMA;VIENTO DIRECCION;VIENTO VELOCIDAD
8/10/2016 10:00;;77.0;68.0;0.0;;;;16.6;15.8;;
8/10/2016 9:00;71.0;78.0;67.0;0.0;;;16.8;16.9;15.2;52.0;2.8
8/10/2016 8:00;68.0;85.0;66.0;0.0;;;16.4;16.6;10.5;47.0;1.9
8/10/2016 7:00;85.0;85.0;81.0;0.0;0.0;;10.5;10.7;10.0;185.0;2.5
8/10/2016 6:00;82.0;83.0;79.0;0.0;;;10.1;10.5;10.0;182.0;2.9
8/10/2016 5:00;82.0;90.0;82.0;0.0;;;10.4;10.4;9.7;186.0;3.3
8/10/2016 4:00;90.0;92.0;87.0;0.0;;;10.4;10.8;10.1;171.0;1.7
8/10/2016 3:00;;87.0;84.0;0.0;;;;10.6;10.0;;
7/10/2016 19:00;;;;;0.1;;;;;;
7/10/2016 18:00;;98.0;94.0;0.0;;;;13.1;12.6;;
7/10/2016 17:00;;97.0;90.0;0.0;;;;13.5;13.3;;
7/10/2016 15:00;;93.0;90.0;0.0;;;;13.4;13.2;;
7/10/2016 14:00;93.0;95.0;85.0;0.0;;;13.4;15.1;13.4;33.0;2.6
7/10/2016 13:00;88.0;89.0;78.0;0.0;0.0;;14.9;16.3;14.8;1.0;1.5
7/10/2016 12:00;83.0;89.0;80.0;0.0;;;15.3;16.1;15.0;37.0;3.2
7/10/2016 11:00;79.0;89.0;75.0;0.0;;;16.1;17.1;15.3;30.0;1.5
