;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
08/11/2016 10:00;90.0;91.0;82.0;0.0;;;8.3;8.7;7.5;320.0;2.9
08/11/2016 9:00;86.0;90.0;73.0;0.0;;;7.6;8.7;7.0;297.0;3.0
08/11/2016 8:00;83.0;85.0;69.0;0.0;;;7.8;8.1;7.0;298.0;2.1
08/11/2016 7:00;78.0;93.0;76.0;0.0;0.0;;7.0;7.0;5.4;349.0;0.5
08/11/2016 6:00;90.0;95.0;89.0;0.0;;;5.4;5.5;5.1;251.0;0.5
08/11/2016 5:00;92.0;93.0;83.0;0.0;;;5.4;5.7;5.2;290.0;1.3
08/11/2016 4:00;84.0;90.0;78.0;0.0;;;5.3;6.0;5.1;311.0;1.4
08/11/2016 3:00;89.0;96.0;86.0;0.0;;;5.5;5.7;4.7;295.0;1.0
08/11/2016 2:00;91.0;96.0;91.0;0.0;;;5.2;5.5;4.7;45.0;1.6
08/11/2016 1:00;95.0;99.0;93.0;0.0;;;5.1;5.6;4.9;127.0;1.3
08/11/2016 0:00;96.0;100.0;94.0;0.0;;;5.2;5.7;5.0;138.0;2.2
07/11/2016 23:00;100.0;100.0;99.0;0.0;;;5.8;5.9;5.3;268.0;0.9
07/11/2016 22:00;100.0;100.0;100.0;0.0;;;5.7;5.9;5.4;272.0;2.0
07/11/2016 21:00;100.0;100.0;100.0;0.0;;;5.8;6.2;5.8;178.0;2.0
07/11/2016 20:00;100.0;100.0;100.0;0.0;;;6.0;6.4;6.0;190.0;0.8
07/11/2016 19:00;100.0;100.0;100.0;0.0;0.0;;6.4;7.0;6.4;120.0;0.3
07/11/2016 18:00;100.0;100.0;100.0;0.0;;;7.0;7.5;6.9;315.0;1.6
07/11/2016 17:00;100.0;100.0;100.0;0.0;;;7.3;8.0;7.3;335.0;1.6
07/11/2016 16:00;100.0;100.0;95.0;0.0;;;7.6;8.4;7.5;293.0;2.0
07/11/2016 15:00;95.0;95.0;52.0;0.0;;;8.5;13.4;8.3;320.0;2.2
07/11/2016 14:00;56.0;94.0;52.0;0.0;;;12.4;14.8;8.6;167.0;7.3
07/11/2016 13:00;68.0;83.0;48.0;0.0;0.0;;12.2;15.5;11.1;100.0;3.1
07/11/2016 12:00;51.0;61.0;48.0;0.0;;;13.6;14.8;11.3;135.0;7.1
07/11/2016 11:00;49.0;59.0;48.0;0.0;;;14.7;14.7;11.8;130.0;8.9
