FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINIMA;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE INSTANTANEA;TEMPERATURA AIRE MAXIMA;TEMPERATURA AIRE MINIMA;DIRECCION DEL VIENTO ; VELOCIDAD DEL VIENTO 
09/10/2016 11:00;;85.0;77.0;0.0;;;;16.5;16.0;;
09/10/2016 10:00;;80.0;75.0;0.0;;;;16.4;15.7;;
09/10/2016 9:00;79.0;82.0;65.0;0.0;;;16.2;17.1;14.8;45.0;2.5
09/10/2016 8:00;77.0;87.0;67.0;0.0;;;14.8;17.3;10.8;51.0;1.5
09/10/2016 7:00;85.0;89.0;83.0;0.0;0.0;;10.8;10.9;9.3;180.0;2.5
09/10/2016 6:00;89.0;93.0;87.0;0.0;;;9.3;9.8;8.9;181.0;2.3
09/10/2016 5:00;91.0;94.0;90.0;0.0;;;8.9;9.7;8.7;176.0;1.6
09/10/2016 4:00;94.0;95.0;92.0;0.0;;;8.8;9.9;8.8;176.0;1.4
09/10/2016 3:00;93.0;93.0;89.0;0.0;;;9.9;10.2;9.3;204.0;0.3
09/10/2016 2:00;90.0;94.0;90.0;0.0;;;9.8;9.9;9.2;182.0;1.8
09/10/2016 1:00;93.0;95.0;91.0;0.0;;;9.6;10.4;9.5;175.0;1.1
09/10/2016 0:00;93.0;94.0;91.0;0.0;;;10.4;11.4;10.4;168.0;1.0
08/10/2016 23:00;93.0;94.0;90.0;0.0;;;11.4;11.9;11.4;235.0;0.3
08/10/2016 22:00;;93.0;90.0;0.0;;;;11.6;11.1;;
08/10/2016 20:00;;94.0;93.0;0.0;;;;11.4;11.2;;
08/10/2016 19:00;93.0;93.0;91.0;0.0;0.0;;11.2;12.3;11.2;179.0;0.9
08/10/2016 18:00;91.0;91.0;81.0;0.0;;;12.3;13.9;12.3;33.0;0.6
08/10/2016 17:00;84.0;85.0;74.0;0.0;;;13.3;15.1;13.3;43.0;2.0
08/10/2016 16:00;76.0;79.0;67.0;0.0;;;15.1;16.9;14.6;23.0;3.0
08/10/2016 15:00;68.0;74.0;64.0;0.0;;;16.8;17.3;15.7;18.0;2.8
08/10/2016 14:00;72.0;75.0;63.0;0.0;;;16.0;18.9;15.7;31.0;3.0
08/10/2016 13:00;;75.0;71.0;0.0;0.0;;;16.9;16.2;;
