;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
10/10/2016 7:00;;;;;0.0;;;;;;
10/10/2016 6:00;;91.0;90.0;0.0;;;;22.1;21.9;;
10/10/2016 5:00;90.0;92.0;89.0;0.0;;1008.9;22.1;22.2;21.6;200.0;0.9
10/10/2016 4:00;92.0;93.0;91.0;0.0;;1008.7;21.7;21.9;21.3;159.0;0.4
10/10/2016 3:00;91.0;93.0;91.0;0.0;;1008.6;21.7;21.8;21.4;206.0;1.0
10/10/2016 2:00;92.0;92.0;91.0;0.0;;1008.8;21.8;22.0;21.7;193.0;1.4
10/10/2016 1:00;90.0;91.0;88.0;0.0;;1009.1;22.0;22.5;21.9;201.0;1.2
10/10/2016 0:00;88.0;88.0;85.0;0.0;;1009.6;22.5;23.0;22.5;197.0;2.0
09/10/2016 23:00;85.0;85.0;84.0;0.0;;1009.9;23.0;23.3;23.0;199.0;1.8
09/10/2016 22:00;85.0;85.0;82.0;0.0;;1009.7;23.3;23.7;23.2;196.0;1.7
09/10/2016 21:00;82.0;82.0;80.0;0.0;;1009.3;23.7;24.0;23.6;199.0;1.3
09/10/2016 20:00;80.0;80.0;77.0;0.0;;1008.8;24.0;24.8;24.0;196.0;1.4
09/10/2016 19:00;77.0;78.0;70.0;0.0;0.0;1008.3;24.8;25.9;24.7;184.0;2.2
09/10/2016 18:00;70.0;71.0;69.0;0.0;;1007.9;25.9;26.4;25.9;195.0;1.6
09/10/2016 17:00;68.0;69.0;64.0;0.0;;1007.4;26.4;27.2;26.4;180.0;2.2
09/10/2016 16:00;64.0;68.0;64.0;0.0;;1007.3;27.3;27.5;26.6;200.0;1.7
09/10/2016 15:00;66.0;68.0;62.0;0.0;;1007.6;26.8;28.1;26.7;186.0;1.7
09/10/2016 14:00;62.0;69.0;59.0;0.0;;1008.4;28.1;28.9;26.5;177.0;4.3
09/10/2016 13:00;67.0;71.0;64.0;0.0;0.0;1009.5;26.8;27.5;26.2;180.0;3.8
09/10/2016 12:00;70.0;79.0;68.0;0.0;;1010.3;26.5;26.6;24.0;227.0;2.3
09/10/2016 11:00;80.0;82.0;76.0;0.0;;1011.1;24.0;24.8;23.6;192.0;1.5
