FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINIMA;PRECIPITACION;PRECIPITACION ACUMULADA;PRESION ATMOSFERICA;TEMPERATURA AIRE INSTANTANEA;TEMPERATURA AIRE MAXIMA;TEMPERATURA AIRE MINIMO;VIENTO DIRECCION;VIENTO VELOCIDAD
13/10/2016 10:00;;84.0;70.0;0.0;;;;17.9;16.2;;
13/10/2016 9:00;72.0;75.0;65.0;0.0;;;16.8;18.1;16.7;39.0;1.3
13/10/2016 8:00;73.0;83.0;66.0;0.0;;;17.2;18.5;14.6;28.0;2.3
13/10/2016 7:00;82.0;88.0;81.0;0.0;0.0;;14.6;14.6;12.6;263.0;0.4
13/10/2016 6:00;86.0;89.0;85.0;0.0;;;12.8;12.8;12.2;173.0;2.1
13/10/2016 5:00;87.0;89.0;85.0;0.0;;;12.6;13.0;12.6;173.0;1.3
13/10/2016 4:00;88.0;89.0;84.0;0.0;;;12.8;13.4;12.7;185.0;1.6
13/10/2016 3:00;;87.0;81.0;0.0;;;;14.0;13.3;;
13/10/2016 2:00;87.0;91.0;86.0;0.0;;;13.3;13.4;12.9;176.0;1.9
13/10/2016 1:00;90.0;92.0;88.0;0.0;;;13.0;13.3;12.5;4.0;0.1
13/10/2016 0:00;90.0;91.0;87.0;0.0;;;12.6;12.8;12.1;147.0;1.1
12/10/2016 23:00;89.0;92.0;88.0;0.0;;;12.0;12.4;11.7;166.0;2.2
12/10/2016 22:00;;93.0;91.0;0.0;;;;13.2;12.9;;
12/10/2016 20:00;;99.0;99.0;0.0;;;;12.6;12.3;;
12/10/2016 19:00;;99.0;91.0;0.0;0.0;;;13.8;12.9;;
12/10/2016 18:00;91.0;96.0;90.0;0.0;;;13.7;13.7;13.4;275.0;0.7
12/10/2016 17:00;90.0;98.0;90.0;0.0;;;13.6;13.8;12.7;341.0;0.7
12/10/2016 16:00;;98.0;84.0;0.0;;;;15.1;13.1;;
12/10/2016 15:00;;87.0;82.0;0.0;;;;14.2;14.0;;
12/10/2016 14:00;86.0;88.0;76.0;0.0;;;14.3;16.2;14.1;43.0;2.5
12/10/2016 13:00;82.0;84.0;73.0;0.0;0.0;;15.2;16.9;15.1;35.0;2.8
12/10/2016 12:00;;83.0;78.0;0.0;;;;16.6;16.1;;
12/10/2016 11:00;;83.0;68.0;0.0;;;;18.1;16.7;;
