FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINIMA;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE INSTANTANEA;TEMPERATURA AIRE MAXIMA;TEMPERATURA AIRE MINIMA;VIENTO DIRECCION;VIENTO VELOCIDAD
14/10/2016 9:00;;80.0;66.0;0.0;;;;17.9;15.7;;
14/10/2016 8:00;70.0;82.0;61.0;0.0;;;16.3;18.1;12.5;80.0;0.9
14/10/2016 7:00;78.0;87.0;78.0;0.0;0.0;;12.6;12.6;10.6;190.0;1.8
14/10/2016 6:00;80.0;86.0;80.0;0.0;;;11.6;12.2;10.9;178.0;1.6
14/10/2016 5:00;81.0;87.0;81.0;0.0;;;12.1;12.2;11.5;186.0;3.0
14/10/2016 4:00;85.0;88.0;84.0;0.0;;;12.2;12.6;11.8;183.0;1.6
14/10/2016 3:00;86.0;89.0;80.0;0.0;;;12.1;13.3;11.9;170.0;1.5
14/10/2016 2:00;82.0;94.0;81.0;0.0;;;13.0;13.3;12.3;184.0;2.8
14/10/2016 1:00;84.0;90.0;79.0;0.0;;;12.8;13.5;12.5;181.0;1.8
14/10/2016 0:00;79.0;83.0;77.0;0.0;;;13.6;13.9;12.8;118.0;0.0
13/10/2016 23:00;;90.0;79.0;0.0;;;13.0;12.6;11.9;184.0;1.8
13/10/2016 22:00;;78.0;75.0;0.0;;;;13.3;12.8;;
13/10/2016 21:00;;80.0;79.0;0.0;;;;13.6;13.3;;
13/10/2016 20:00;;98.0;97.0;0.0;;;;13.4;13.3;;
13/10/2016 19:00;;96.0;95.0;0.0;0.0;;;14.1;13.8;;
13/10/2016 18:00;95.0;97.0;92.0;0.0;;;14.0;14.4;13.8;182.0;1.1
13/10/2016 17:00;95.0;98.0;85.0;0.0;;;14.2;15.6;14.0;9.0;1.5
13/10/2016 16:00;89.0;94.0;82.0;0.0;;;15.1;17.4;14.3;16.0;1.2
13/10/2016 15:00;88.0;89.0;79.0;0.0;;;16.6;18.3;16.5;1.0;2.1
13/10/2016 13:00;;;;;0.0;;;;;;
13/10/2016 11:00;;86.0;75.0;0.0;;;;17.8;16.2;;
13/10/2016 10:00;;84.0;70.0;0.0;;;;17.9;16.2;;
13/10/2016 9:00;72.0;75.0;65.0;0.0;;;16.8;18.1;16.7;39.0;1.3
13/10/2016 8:00;73.0;83.0;66.0;0.0;;;17.2;18.5;14.6;28.0;2.3
