FECHA;HUMEDAD RELATIVA DEL AIRE INST;HUMEDAD RELATIVA DEL AIRE MAX;HUMEDAD RELATIVA DEL AIRE MIN;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE INST;TEMPERATURA AIRE MAX;TEMPERATURA AIRE MIN;VELOCIDAD VIENTO;DIRECCION VIENTO
20/10/2016 10:00;78.0;85.0;76.0;0.0;;;24.5;24.8;23.1;;
20/10/2016 9:00;86.0;90.0;85.0;0.0;;;23.0;23.1;21.6;;
20/10/2016 8:00;89.0;91.0;89.0;0.0;;;21.9;21.9;21.3;;
20/10/2016 7:00;91.0;92.0;91.0;0.0;0.0;;21.5;21.5;21.2;;
20/10/2016 6:00;92.0;92.0;90.0;0.0;;;21.2;21.5;21.2;;
20/10/2016 5:00;90.0;92.0;90.0;0.0;;;21.5;21.5;21.4;;
20/10/2016 4:00;91.0;92.0;90.0;0.0;;;21.4;21.6;21.3;;
20/10/2016 3:00;;88.0;88.0;0.0;;;;22.2;22.2;;
20/10/2016 2:00;;88.0;85.0;0.0;;;;22.4;22.2;;
20/10/2016 1:00;85.0;85.0;83.0;0.0;;;22.4;22.6;22.4;;
20/10/2016 0:00;;84.0;83.0;0.0;;;;22.8;22.6;;
19/10/2016 23:00;83.0;83.0;82.0;0.0;;;22.8;23.1;22.8;;
19/10/2016 22:00;82.0;84.0;82.0;0.0;;;23.1;23.2;23.1;;
19/10/2016 21:00;84.0;84.0;82.0;0.0;;;23.2;23.9;23.2;;
19/10/2016 20:00;82.0;82.0;80.0;0.0;;;23.9;25.0;23.9;;
19/10/2016 19:00;80.0;80.0;70.0;0.0;0.0;;25.0;27.1;25.0;;
19/10/2016 18:00;70.0;70.0;64.0;0.0;;;27.1;29.0;27.1;;
19/10/2016 17:00;64.0;70.0;62.0;0.0;;;28.8;29.6;28.7;;
19/10/2016 16:00;69.0;76.0;69.0;0.0;;;28.7;28.8;28.0;;
19/10/2016 15:00;;77.0;61.0;0.0;;;;29.9;27.4;;
19/10/2016 14:00;63.0;69.0;61.0;0.0;;;29.4;29.9;28.1;;
19/10/2016 13:00;65.0;73.0;64.0;0.0;0.0;;28.8;28.9;26.8;;
19/10/2016 12:00;73.0;79.0;72.0;0.0;;;27.0;27.0;25.5;;
19/10/2016 11:00;79.0;84.0;78.0;0.0;;;25.4;25.5;24.1;;
