FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINIMA;PRECIPITACION MINIMA;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE INSTANTANEA;TEMPERATURA AIRE MAXIMA;TEMPERATURA AIRE MINIMA;VIENTO DIRECCION;VIENTO VELOCIDAD
20/10/2016 12:00;;76.0;70.0;0.0;;;;16.8;16.3;;
20/10/2016 10:00;;86.0;51.0;0.0;;;;17.3;15.2;;
20/10/2016 9:00;64.0;72.0;53.0;0.0;;;16.7;17.5;12.7;40.0;3.4
20/10/2016 8:00;72.0;73.0;53.0;0.0;;;12.7;16.1;11.1;168.0;1.8
20/10/2016 7:00;67.0;68.0;56.0;0.0;0.0;;11.1;13.0;10.7;176.0;2.6
20/10/2016 6:00;60.0;78.0;60.0;0.0;;;10.7;10.7;9.2;187.0;3.7
20/10/2016 5:00;73.0;77.0;53.0;0.0;;;10.7;15.0;9.7;336.0;0.6
20/10/2016 4:00;49.0;53.0;40.0;0.0;;;15.6;16.0;12.9;16.0;2.6
20/10/2016 3:00;41.0;44.0;35.0;0.0;;;15.1;16.3;14.2;75.0;4.9
20/10/2016 2:00;40.0;51.0;34.0;0.0;;;14.3;16.1;13.0;124.0;3.4
20/10/2016 1:00;44.0;98.0;44.0;0.0;;;15.1;15.1;8.3;101.0;4.0
20/10/2016 0:00;80.0;92.0;64.0;0.0;;;8.3;9.8;8.3;201.0;2.5
19/10/2016 23:00;90.0;94.0;66.0;0.0;;;9.0;10.6;8.3;175.0;2.4
19/10/2016 22:00;76.0;99.0;76.0;0.0;;;10.6;10.6;8.8;186.0;3.4
19/10/2016 21:00;99.0;99.0;91.0;0.0;;;8.9;10.5;8.9;166.0;1.1
19/10/2016 20:00;;99.0;97.0;0.0;;;;12.3;10.7;;
19/10/2016 19:00;;99.0;99.0;0.0;0.0;;;12.6;12.6;;
19/10/2016 18:00;99.0;99.0;87.0;0.0;;;12.7;15.4;12.6;52.0;2.2
19/10/2016 17:00;92.0;99.0;91.0;0.0;;;14.7;14.8;12.8;154.0;1.1
19/10/2016 16:00;97.0;99.0;94.0;0.0;;;13.5;14.2;13.3;4.0;1.5
19/10/2016 15:00;98.0;98.0;87.0;0.0;;;13.7;14.6;13.5;32.0;3.3
19/10/2016 13:00;;91.0;84.0;0.0;0.0;;;15.6;14.3;;
