FECHA;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
21/10/2016 10:00;76.0;81.0;73.0;0.0;;1009.8;23.9;24.5;22.7;203.0;1.3
21/10/2016 9:00;82.0;83.0;80.0;0.0;;1010.3;22.8;22.8;22.4;207.0;0.7
21/10/2016 8:00;81.0;84.0;81.0;0.0;;1009.9;22.5;22.5;21.6;177.0;0.6
21/10/2016 7:00;83.0;85.0;82.0;0.0;0.0;1009.6;21.8;21.8;21.4;194.0;1.2
21/10/2016 6:00;85.0;88.0;85.0;0.0;;1009.1;21.4;21.4;20.9;189.0;0.8
21/10/2016 5:00;88.0;89.0;83.0;0.0;;1008.5;21.0;21.6;20.8;223.0;1.1
21/10/2016 4:00;83.0;84.0;83.0;0.0;;1008.0;21.5;21.7;21.4;197.0;1.5
21/10/2016 1:00;;82.0;82.0;0.0;;;;22.1;21.9;;
21/10/2016 0:00;82.0;82.0;79.0;0.0;;1009.1;22.0;22.8;21.9;201.0;1.8
20/10/2016 23:00;79.0;79.0;74.0;0.0;;1008.7;22.7;23.9;22.7;214.0;1.6
20/10/2016 22:00;75.0;79.0;74.0;0.0;;1007.8;23.9;24.9;23.9;205.0;3.1
20/10/2016 21:00;79.0;80.0;77.0;0.0;;1007.0;24.9;25.8;24.9;193.0;3.2
20/10/2016 20:00;78.0;78.0;69.0;0.0;;1006.5;25.9;27.1;25.8;211.0;1.9
20/10/2016 19:00;69.0;69.0;59.0;0.0;0.0;1005.8;27.1;29.7;27.1;203.0;2.1
20/10/2016 18:00;59.0;59.0;53.0;0.0;;1004.6;29.8;31.7;29.7;199.0;2.6
20/10/2016 17:00;52.0;54.0;49.0;0.0;;1004.3;32.0;32.9;31.9;193.0;2.3
20/10/2016 16:00;53.0;55.0;48.0;0.0;;1004.2;31.8;32.7;31.7;207.0;0.5
20/10/2016 15:00;51.0;53.0;48.0;0.0;;1004.2;32.4;33.0;31.2;200.0;1.1
20/10/2016 14:00;54.0;58.0;50.0;0.0;;1005.2;31.1;32.2;29.9;342.0;1.7
20/10/2016 13:00;57.0;61.0;53.0;0.0;0.0;1006.7;29.9;31.1;28.5;272.0;1.4
20/10/2016 12:00;56.0;66.0;56.0;0.0;;1008.2;29.8;29.8;27.2;175.0;3.0
20/10/2016 11:00;62.0;69.0;61.0;0.0;;1009.5;27.6;27.9;25.4;165.0;2.5
