FECHA;HUMEDAD RELATIVA DEL AIRE INS;HUMEDAD RELATIVA DEL AIRE MAX;HUMEDAD RELATIVA DEL AIRE MIN;PRECIPITACION;PRECIPITACION (ACUM) ;PRESION ATM;TEMPERATURA AIRE INST;TEMPERATURA AIRE MAX;TEMPERATURA AIRE MIN;VIENTO DIRECCION;VIENTO VELOCIDAD
21/10/2016 15:00;72.0;76.0;58.0;0.0;;;15.6;18.2;15.4;44.0;4.4
21/10/2016 13:00;;;;;0.0;;;;;;
21/10/2016 12:00;75.0;84.0;70.0;0.0;;;16.1;17.4;15.8;23.0;2.0
21/10/2016 11:00;77.0;90.0;75.0;0.0;;;16.7;16.8;15.3;14.0;2.6
21/10/2016 10:00;82.0;95.0;52.0;0.0;;;16.4;18.8;13.4;57.0;4.1
21/10/2016 9:00;90.0;90.0;61.0;0.0;;;14.4;16.0;14.3;12.0;2.4
21/10/2016 8:00;63.0;73.0;57.0;0.0;;;15.5;16.9;13.2;67.0;0.6
21/10/2016 7:00;62.0;77.0;61.0;0.0;0.0;;15.0;15.3;11.5;94.0;2.0
21/10/2016 6:00;76.0;77.0;68.0;0.0;;;11.6;11.9;10.7;189.0;1.7
21/10/2016 5:00;69.0;76.0;68.0;0.0;;;11.6;11.9;11.4;179.0;0.9
21/10/2016 4:00;72.0;79.0;68.0;0.0;;;11.8;11.9;10.8;181.0;0.6
21/10/2016 3:00;72.0;98.0;69.0;0.0;;;11.7;11.7;9.9;163.0;1.5
21/10/2016 1:00;;76.0;70.0;0.0;;;;10.3;9.3;;
21/10/2016 0:00;70.0;75.0;67.0;0.0;;;10.4;11.6;10.3;186.0;1.5
20/10/2016 23:00;73.0;77.0;66.0;0.0;;;11.5;11.9;10.3;181.0;1.8
20/10/2016 22:00;69.0;71.0;62.0;0.0;;;10.8;12.6;10.8;170.0;2.2
20/10/2016 21:00;62.0;68.0;59.0;0.0;;;12.6;13.1;12.0;180.0;1.7
20/10/2016 20:00;62.0;69.0;53.0;0.0;;;13.1;14.1;13.1;160.0;1.2
20/10/2016 19:00;;78.0;60.0;0.0;0.0;;;14.2;13.3;;
20/10/2016 18:00;77.0;94.0;74.0;0.0;;;14.1;14.2;13.5;206.0;0.5
20/10/2016 17:00;78.0;91.0;70.0;0.0;;;14.3;14.5;13.6;52.0;1.2
