FECHA;HUMEDAD RELATIVA DEL AIRE INST;HUMEDAD RELATIVA DEL AIRE MAX;HUMEDAD RELATIVA DEL AIRE MIN;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE INST;TEMPERATURA AIRE MAX;TEMPERATURA AIRE MIN;VIENTO DIRECCION;VIENTO VELOCIDAD
23/10/2016 9:00;;70.0;56.0;0.0;;;;17.2;15.5;;
23/10/2016 8:00;57.0;76.0;53.0;0.0;;;17.2;17.5;10.9;60.0;1.7
23/10/2016 7:00;;76.0;74.0;0.0;0.0;;;11.0;10.4;;
23/10/2016 6:00;;80.0;78.0;0.0;;;;10.6;10.0;;
23/10/2016 5:00;;80.0;73.0;0.0;;;;11.8;10.2;;
23/10/2016 4:00;;90.0;83.0;0.0;;;;11.5;10.0;;2.9
23/10/2016 3:00;;98.0;91.0;0.0;;;10.5;10.5;9.9;201.0;
23/10/2016 2:00;98.0;99.0;98.0;0.0;;;;11.0;10.1;;1.5
23/10/2016 1:00;99.0;99.0;98.0;0.0;;;10.9;11.0;10.5;204.0;0.8
23/10/2016 0:00;;99.0;98.0;0.0;;;;10.6;9.8;;
22/10/2016 23:00;;;;0.0;;;;;;;
22/10/2016 22:00;97.0;;;;;;;;;;
22/10/2016 21:00;;;;;;;;10.2;;;
22/10/2016 19:00;;;;;1.1;;;;;;
22/10/2016 18:00;;99.0;99.0;0.0;;;;13.1;12.4;;
22/10/2016 17:00;;99.0;99.0;0.0;;;;12.8;12.5;;
22/10/2016 16:00;;99.0;99.0;0.6;;;;13.1;12.3;;
22/10/2016 15:00;;99.0;96.0;0.4;;;;13.0;12.3;;
22/10/2016 14:00;;93.0;89.0;0.0;;;;13.9;13.4;;
22/10/2016 13:00;90.0;92.0;86.0;0.0;9.0;;13.6;14.7;13.1;23.0;1.6
22/10/2016 12:00;;97.0;79.0;0.1;;;;16.3;13.7;;
22/10/2016 11:00;;97.0;89.0;1.3;;;;14.6;13.2;;
