;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);Presio atmosferica;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
25/9/2016 10:00;78;89;74;0;;;9.4;9.4;7.8;120;10
25/9/2016 09:00;86;94;83;0;;;7.9;8;5.9;110;7.5
25/9/2016 08:00;90;91;83;0;;;6.1;6.3;5.7;117;2.6
25/9/2016 07:00;83;85;75;0;0;;6.1;6.8;5.8;113;6.3
25/9/2016 06:00;76;76;73;0;;;6.7;6.7;6.3;126;7.8
25/9/2016 05:00;74;78;74;0;;;6.3;6.3;5.9;127;8.3
25/9/2016 04:00;78;78;71;0;;;5.9;6.6;5.9;133;9.6
25/9/2016 03:00;73;76;72;0;;;6.3;6.5;6.1;128;9.4
25/9/2016 02:00;74;78;72;0;;;6.4;6.6;6.2;129;9.2
25/9/2016 01:00;76;76;71;0;;;6.4;6.7;6.4;128;9.4
25/9/2016 00:00;75;76;71;0;;;6.6;6.9;6.5;144;11.8
24/9/2016 23:00;73;78;73;0;;;6.8;6.9;6.7;130;10.6
24/9/2016 22:00;77;77;72;0;;;6.8;7;6.8;133;9.7
24/9/2016 21:00;72;76;71;0;;;7;7.3;6.9;116;8.4
24/9/2016 20:00;;77;72;0;;;;7.8;7.3;;
24/9/2016 19:00;72;78;72;0;0;;7.8;8;7.8;119;8.9
24/9/2016 18:00;77;83;75;0;;;8;8.3;7.6;122;9.5
24/9/2016 17:00;77;78;69;0;;;8.2;9.2;8.2;111;11.1
24/9/2016 16:00;69;72;67;0;;;9.1;9.5;8.7;115;12.1
24/9/2016 15:00;67;79;66;0;;;9.4;9.6;8.2;102;9
24/9/2016 14:00;78;79;68;0;;;8.3;9.9;8.1;139;7
24/9/2016 13:00;70;79;67;0;0;;9.2;9.7;7.8;135;11.8
24/9/2016 12:00;74;74;67;0;;;8.5;9.6;8.5;146;12.4
24/9/2016 11:00;69;73;65;0;;;9.2;9.9;8.4;141;13.5
