FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTÁNEA;HUMEDAD RELATIVA DEL AIRE MÁXIMA;HUMEDAD RELATIVA DEL AIRE MÍNIMA;PRECIPITACION;PRECIPITACION ACUMULADA;PRESIÓN ATMOSFÉRICA;TEMPERATURA DEL AIRE INSTANTÁNEA;TEMPERATURA DEL AIRE MÁXIMA ;TEMPERATURA DEL AIRE MÍNIMA;DIRECCION DEL VIENTO;VELOCIDAD DEL VIENTO
25/9/2016 10:00;79.0;88.0;79.0;0.0;;;25.9;25.9;24.1;;
25/9/2016 9:00;86.0;89.0;84.0;0.0;;;24.4;24.6;23.7;;
25/9/2016 8:00;88.0;95.0;88.0;0.0;;;23.7;23.7;22.6;;
25/9/2016 7:00;95.0;96.0;95.0;0.0;0.0;;22.6;22.6;22.2;;
25/9/2016 6:00;96.0;96.0;95.0;0.0;;;22.2;22.3;22.2;;
25/9/2016 5:00;96.0;96.0;96.0;0.0;;;22.3;22.3;22.2;;
25/9/2016 4:00;96.0;96.0;93.0;0.0;;;22.3;22.5;22.2;;
25/9/2016 3:00;92.0;93.0;90.0;0.0;;;22.5;22.8;22.5;;
25/9/2016 2:00;90.0;90.0;89.0;0.0;;;22.8;22.9;22.8;;
25/9/2016 1:00;89.0;90.0;89.0;0.0;;;22.9;23.0;22.9;;
25/9/2016 0:00;89.0;93.0;89.0;0.0;;;22.9;22.9;22.6;;
24/9/2016 23:00;93.0;93.0;91.0;0.0;;;22.8;23.2;22.8;;
24/9/2016 22:00;92.0;92.0;89.0;0.0;;;23.2;23.8;23.2;;
24/9/2016 21:00;89.0;89.0;87.0;0.0;;;23.8;24.4;23.8;;
24/9/2016 20:00;88.0;88.0;86.0;0.0;;;24.4;24.8;24.4;;
24/9/2016 19:00;86.0;87.0;83.0;0.0;0.0;;24.8;25.5;24.8;;
24/9/2016 18:00;83.0;83.0;80.0;0.0;;;25.5;26.3;25.5;;
24/9/2016 17:00;81.0;83.0;79.0;0.0;;;26.1;26.3;25.9;;
24/9/2016 16:00;80.0;80.0;75.0;0.0;;;26.3;27.3;26.3;;
24/9/2016 15:00;75.0;81.0;75.0;0.0;;;27.3;27.3;26.0;;
24/9/2016 14:00;81.0;83.0;79.0;0.0;;;26.0;26.6;25.5;;
24/9/2016 13:00;83.0;84.0;77.0;0.0;0.0;;25.5;26.3;25.0;;
24/9/2016 12:00;78.0;84.0;78.0;0.0;;;26.0;26.1;24.6;;
24/9/2016 11:00;83.0;86.0;80.0;0.0;;;24.6;25.5;24.2;;
