Fecha;HUMEDAD RELATIVA DEL AIRE INSTANTÁNEA;HUMEDAD RELATIVA DEL AIRE MÁXIMA;HUMEDAD RELATIVAD DEL AIRE MÍNIMA;PRECIPITACIÓN;PRECIPITACIÓN (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE INSTÁNTANEA;TEMPERATURA DEL AIRE MÁXIMA;TEMPERATURA DEL AIRE MÍNIMA; DIRECCION DEL VIENTO; VELOCIDAD DEL VIENTO
25/09/2016 10:00;92.0;97.0;86.0;0.0;;;14.9;15.2;13.6;36.0;0.6
25/09/2016 9:00;;97.0;85.0;0.0;;;;14.7;12.9;;
25/09/2016 8:00;97.0;97.0;84.0;0.0;;;12.9;13.5;11.5;52.0;1.1
25/09/2016 7:00;95.0;97.0;93.0;0.0;0.1;;11.6;11.7;10.9;354.0;0.8
25/09/2016 6:00;97.0;97.0;96.0;0.0;;;10.9;11.0;10.7;155.0;1.0
25/09/2016 5:00;97.0;99.0;95.0;0.0;;;10.7;10.8;9.3;175.0;1.8
25/09/2016 4:00;97.0;98.0;95.0;0.0;;;9.4;10.7;8.8;182.0;1.2
25/09/2016 3:00;98.0;99.0;95.0;0.0;;;10.8;10.8;10.1;175.0;0.5
25/09/2016 2:00;98.0;99.0;90.0;0.0;;;10.2;11.7;9.9;181.0;1.2
25/09/2016 1:00;95.0;98.0;93.0;0.0;;;10.2;11.4;10.2;200.0;1.7
25/09/2016 0:00;98.0;98.0;96.0;0.0;;;11.2;11.2;10.8;178.0;0.8
24/09/2016 23:00;96.0;99.0;95.0;0.0;;;10.9;11.1;10.5;168.0;1.1
24/09/2016 22:00;99.0;99.0;99.0;0.0;;;10.8;11.9;10.8;164.0;1.1
24/09/2016 21:00;99.0;99.0;99.0;0.1;;;11.9;12.2;11.9;202.0;0.9
24/09/2016 20:00;;99.0;99.0;0.0;;;;12.3;12.2;;
24/09/2016 19:00;;99.0;99.0;0.2;0.2;;;12.8;12.4;;
24/09/2016 18:00;;99.0;99.0;0.0;;;;13.3;12.8;;
24/09/2016 17:00;99.0;99.0;99.0;0.0;;;13.1;13.3;12.9;34.0;1.2
24/09/2016 16:00;;97.0;94.0;0.0;;;;13.6;13.4;;
24/09/2016 14:00;;97.0;93.0;0.0;;;;14.8;14.4;;
24/09/2016 13:00;;97.0;67.0;0.0;0.0;;;17.5;14.3;;
24/09/2016 12:00;;95.0;62.0;0.0;;;;18.1;14.7;;
24/09/2016 11:00;93.0;94.0;71.0;0.0;;;14.7;17.6;14.6;14.0;2.7
