;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);presion atm;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;Wind S;Wind D
26/09/2016 10:00;87;91;86;0;;;24.7;24.8;24;;
26/09/2016 09:00;88;99;88;0;;;24.4;24.4;22.7;;
26/09/2016 08:00;99;100;99;0;;;22.6;22.7;21.9;;
26/09/2016 07:00;100;100;100;0.2;1.1;;21.9;22.1;21.9;;
26/09/2016 06:00;100;100;100;0.1;;;22;22.1;22;;
26/09/2016 05:00;100;100;100;0.4;;;22;22.3;22;;
26/09/2016 04:00;100;100;100;0.4;;;22.2;22.5;22.2;;
26/09/2016 03:00;100;100;95;0;;;22.5;23.1;22.5;;
26/09/2016 02:00;95;95;91;0;;;23.1;23.8;23.1;;
26/09/2016 01:00;91;91;90;0;;;23.8;24;23.8;;
26/09/2016 00:00;90;91;90;0;;;24;24.1;24;;
25/09/2016 23:00;90;94;90;0;;;24.1;24.1;23.7;;
25/09/2016 22:00;94;94;91;0;;;23.7;24.2;23.7;;
25/09/2016 21:00;91;91;89;0;;;24.2;24.5;24.2;;
25/09/2016 20:00;91;93;87;0;;;24.2;25.1;24;;
25/09/2016 19:00;87;87;77;0;0;;25.1;27.6;25.1;;
25/09/2016 18:00;76;77;68;0;;;27.7;29.2;27.7;;
25/09/2016 17:00;68;68;63;0;;;29.2;30.7;29.2;;
25/09/2016 16:00;66;67;57;0;;;29.8;32.4;29.7;;
25/09/2016 15:00;62;67;59;0;;;30.9;31.8;29.7;;
25/09/2016 14:00;65;74;65;0;;;30.1;30.3;27.9;;
25/09/2016 13:00;74;75;70;0;0;;27.8;28.6;27.4;;
25/09/2016 12:00;74;78;71;0;;;27.8;27.9;26.5;;
25/09/2016 11:00;76;80;73;0;;;26.6;27.2;25.9;;
