FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINIMA;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA DELAIRE INSTANTANEA;TEMPERATURA DEL AIRE MAXIMA;TEMPERATURA DEL AIRE MINIMA;DIRECCION DEL VIENTO;VELOCIDAD DEL VIENTO
26/09/2016 8:00;;70.0;63.0;0.0;;;;13.3;12.7;;
26/09/2016 7:00;67.0;68.0;56.0;0.0;0.0;;12.6;13.2;11.1;174.0;2.4
26/09/2016 6:00;66.0;74.0;59.0;0.0;;;11.5;12.8;10.8;167.0;2.0
26/09/2016 5:00;72.0;79.0;66.0;0.0;;;11.1;11.4;9.8;157.0;1.6
26/09/2016 4:00;74.0;79.0;57.0;0.0;;;10.5;13.9;10.3;203.0;1.2
26/09/2016 3:00;61.0;74.0;61.0;0.0;;;13.6;13.8;12.3;70.0;2.9
26/09/2016 2:00;66.0;97.0;63.0;0.0;;;13.4;13.9;9.0;47.0;4.5
26/09/2016 1:00;97.0;98.0;96.0;0.0;;;9.3;10.9;9.2;193.0;1.5
26/09/2016 0:00;97.0;97.0;93.0;0.0;;;10.9;10.9;10.2;190.0;1.3
25/09/2016 23:00;95.0;96.0;92.0;0.0;;;10.3;10.9;10.1;165.0;0.6
25/09/2016 22:00;95.0;96.0;95.0;0.0;;;10.9;11.7;10.9;180.0;0.6
25/09/2016 21:00;95.0;96.0;94.0;0.0;;;11.6;12.0;11.6;193.0;0.7
25/09/2016 20:00;;97.0;94.0;0.0;;;;12.9;12.5;;
25/09/2016 19:00;94.0;98.0;93.0;0.0;0.0;;12.9;13.0;12.8;9.0;1.0
25/09/2016 18:00;98.0;98.0;84.0;0.0;;;13.0;14.0;13.0;35.0;0.5
25/09/2016 17:00;;95.0;87.0;0.0;;;;13.6;13.1;;
25/09/2016 16:00;94.0;99.0;88.0;0.0;;;13.5;14.1;12.1;13.0;2.3
25/09/2016 15:00;;99.0;99.0;0.0;;;;14.5;14.1;;
25/09/2016 14:00;;97.0;88.0;0.0;;;;16.6;15.6;;
25/09/2016 13:00;;96.0;91.0;0.0;0.0;;;15.6;14.5;;
25/09/2016 11:00;;94.0;88.0;0.0;;;;15.7;14.9;;
