FECHA;HUMEDAD RELATIVA DEL AIRE INST;HUMEDAD RELATIVA DEL AIRE MAX;HUMEDAD RELATIVA DEL AIRE MIN;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
26/10/2016 10:00;70.0;77.0;60.0;0.0;;;17.1;17.7;16.7;6.0;2.5
26/10/2016 9:00;65.0;69.0;54.0;0.0;;;17.1;17.7;16.1;36.0;1.7
26/10/2016 8:00;55.0;79.0;54.0;0.0;;;17.6;17.6;10.4;166.0;0.6
26/10/2016 7:00;73.0;74.0;70.0;0.0;0.0;;10.7;11.1;10.4;170.0;2.3
26/10/2016 6:00;72.0;79.0;72.0;0.0;;;10.4;10.6;9.6;185.0;3.7
26/10/2016 5:00;77.0;81.0;76.0;0.0;;;10.2;10.6;9.5;183.0;3.4
26/10/2016 4:00;80.0;81.0;74.0;0.0;;;9.7;11.2;9.7;173.0;3.5
26/10/2016 3:00;75.0;81.0;75.0;0.0;;;11.2;11.2;10.3;178.0;3.4
26/10/2016 2:00;80.0;87.0;79.0;0.0;;;10.5;10.7;9.9;181.0;2.1
26/10/2016 1:00;85.0;86.0;78.0;0.0;;;10.2;11.0;9.6;172.0;1.8
26/10/2016 0:00;80.0;92.0;80.0;0.0;;;10.7;10.8;9.1;180.0;2.4
