;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
27/09/2016 10:00;54.0;64.0;52.0;0.0;;;11.7;12.6;9.6;136.0;14.9
27/09/2016 9:00;55.0;62.0;52.0;0.0;;;11.3;12.2;9.0;114.0;12.2
27/09/2016 8:00;62.0;74.0;61.0;0.0;;;9.1;9.1;6.3;108.0;12.6
27/09/2016 7:00;73.0;73.0;69.0;0.0;0.0;;6.2;6.9;6.1;139.0;12.0
27/09/2016 6:00;70.0;77.0;68.0;0.0;;;6.7;6.7;5.9;137.0;10.1
27/09/2016 5:00;77.0;78.0;75.0;0.0;;;5.9;6.1;5.8;151.0;13.8
27/09/2016 4:00;75.0;76.0;73.0;0.0;;;5.9;6.2;5.9;130.0;11.3
27/09/2016 3:00;76.0;76.0;73.0;0.0;;;6.0;6.6;6.0;113.0;9.7
27/09/2016 2:00;74.0;79.0;72.0;0.0;;;6.6;7.2;6.4;138.0;8.5
27/09/2016 1:00;76.0;78.0;76.0;0.0;;;7.1;7.1;6.7;131.0;8.6
27/09/2016 0:00;76.0;77.0;72.0;0.0;;;6.9;7.2;6.8;139.0;12.3
26/09/2016 23:00;72.0;74.0;72.0;0.0;;;7.1;8.0;7.1;130.0;8.2
26/09/2016 22:00;72.0;72.0;69.0;0.0;;;8.0;8.2;7.8;123.0;7.8
26/09/2016 21:00;70.0;72.0;69.0;0.0;;;8.0;8.7;7.9;120.0;6.6
26/09/2016 20:00;71.0;75.0;69.0;0.0;;;8.7;8.8;8.5;116.0;8.9
26/09/2016 19:00;70.0;79.0;67.0;0.0;0.0;;8.7;9.6;8.4;130.0;5.8
26/09/2016 18:00;67.0;68.0;61.0;0.0;;;9.6;10.9;9.5;102.0;7.0
26/09/2016 17:00;63.0;63.0;57.0;0.0;;;10.4;11.8;10.4;96.0;8.3
26/09/2016 16:00;58.0;63.0;55.0;0.0;;;11.8;13.1;10.9;110.0;7.1
26/09/2016 15:00;58.0;63.0;53.0;0.0;;;12.6;13.2;10.8;119.0;7.1
26/09/2016 14:00;53.0;63.0;49.0;0.0;;;13.4;14.6;11.1;127.0;4.2
26/09/2016 13:00;53.0;58.0;49.0;0.0;0.0;;13.1;14.5;11.8;100.0;13.1
26/09/2016 12:00;54.0;57.0;46.0;0.0;;;12.8;14.5;12.2;158.0;8.9
26/09/2016 11:00;50.0;54.0;47.0;0.0;;;13.8;14.3;12.8;146.0;11.6
