FECHA;HUMEDAD RELATIVA DEL AIRE INST.;HUMEDAD RELATIVA DEL AIRE MAX.;HUMEDAD RELATIVA DEL AIRE MIN.;PRECIPITACION;PRECIPITACION ACUMULADA;PRESION ATMOSFERICA;TEMPERATURA AIRE INST.;TEMPERATURA AIRE MAX.;TEMPERATURA AIRE MIN.;DIRECCION DEL VIENTO;VELOCIDAD DEL VIENTO
27/9/2016 10:00;98.0;99.0;98.0;0.1;;;22.9;22.9;22.3;;
27/9/2016 9:00;99.0;100.0;99.0;0.2;;;22.5;22.6;22.0;;
27/9/2016 8:00;100.0;100.0;100.0;0.1;;;22.1;22.1;21.8;;
27/9/2016 7:00;100.0;100.0;100.0;0.2;0.4;;21.8;21.9;21.7;;
27/9/2016 6:00;100.0;100.0;99.0;0.2;;;21.8;22.0;21.8;;
27/9/2016 5:00;99.0;99.0;95.0;0.0;;;22.0;22.3;21.9;;
27/9/2016 4:00;95.0;95.0;92.0;0.0;;;22.3;22.8;22.3;;
27/9/2016 3:00;92.0;92.0;91.0;0.0;;;22.8;23.1;22.8;;
27/9/2016 2:00;91.0;92.0;91.0;0.0;;;23.1;23.3;23.1;;
27/9/2016 1:00;91.0;91.0;89.0;0.0;;;23.3;23.5;23.3;;
27/9/2016 0:00;89.0;91.0;89.0;0.0;;;23.5;23.6;23.5;;
26/9/2016 23:00;90.0;90.0;89.0;0.0;;;23.6;24.3;23.6;;
26/9/2016 22:00;89.0;89.0;87.0;0.0;;;24.3;24.7;24.3;;
26/9/2016 21:00;87.0;88.0;86.0;0.0;;;24.7;25.0;24.7;;
26/9/2016 20:00;86.0;87.0;84.0;0.0;;;25.0;25.4;25.0;;
26/9/2016 19:00;84.0;86.0;80.0;0.0;0.0;;25.4;26.1;25.4;;
26/9/2016 18:00;80.0;80.0;77.0;0.0;;;26.1;26.8;26.1;;
26/9/2016 17:00;;78.0;76.0;0.0;;;;27.1;26.7;;
26/9/2016 16:00;76.0;77.0;72.0;0.0;;;27.0;27.7;27.0;;
26/9/2016 15:00;74.0;75.0;71.0;0.0;;;27.6;28.0;27.2;;
26/9/2016 14:00;74.0;76.0;69.0;0.0;;;27.3;28.3;27.2;;
26/9/2016 13:00;71.0;79.0;70.0;0.0;0.0;;28.0;28.3;26.2;;
26/9/2016 12:00;78.0;84.0;77.0;0.0;;;26.4;26.4;25.3;;
26/9/2016 11:00;83.0;87.0;82.0;0.0;;;25.3;25.4;24.7;;
