;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
10/27/2016 10:00;34;35;12;0;;;9.9;11;9.6;301;2.3
10/27/2016 9:00;13;22;11;0;;;10.5;10.5;9.8;313;2.8
10/27/2016 8:00;13;15;11;0;;;9.9;10;9;285;2.1
10/27/2016 7:00;13;18;12;0;0;;9;9;6.6;255;1.8
10/27/2016 6:00;15;22;15;0;;;7.8;7.9;6.5;272;2.9
10/27/2016 5:00;20;23;20;0;;;6.8;7.5;6.4;225;0.2
10/27/2016 4:00;22;25;22;0;;;6.8;6.9;5.8;255;1.8
10/27/2016 3:00;24;26;22;0;;;6;6.9;5.5;129;0.6
10/27/2016 2:00;25;28;23;0;;;6.1;6.7;5.2;114;1.5
10/27/2016 1:00;27;29;27;0;;;5.5;5.8;5;126;2
10/27/2016 0:00;28;38;28;0;;;5.5;5.9;4.6;123;1
10/26/2016 23:00;33;39;33;0;;;5.6;6;4.9;317;1.5
10/26/2016 22:00;38;52;37;0;;;5.4;6.2;5.3;173;1.8
10/26/2016 21:00;47;80;46;0;;;6.2;6.2;4.2;152;1.5
10/26/2016 20:00;73;96;73;0;;;5.2;5.2;4;202;1.6
10/26/2016 19:00;94;100;94;0;0;;4.6;6.4;4.5;191;1.1
10/26/2016 18:00;100;100;99;0;;;6.2;7;6.1;343;2.3
10/26/2016 17:00;100;100;99;0;;;6.8;7;6.4;340;1
10/26/2016 16:00;100;100;100;0;;;6.8;8.4;6.7;326;2.9
10/26/2016 15:00;100;100;99;0;;;7.6;8.5;7.4;322;3.4
10/26/2016 14:00;100;100;96;0;;;8;8.8;7.9;326;4.5
10/26/2016 13:00;98;98;84;0;0;;8.8;9.6;8.4;325;4.7
10/26/2016 12:00;84;89;73;0;;;9.5;10;8.6;317;3.9
10/26/2016 11:00;78;81;68;0;;;8.6;9.8;8.4;308;3.1
