FECHA;HUMEDAD RELATIVA DEL AIRE INST;HUMEDAD RELATIVA DEL AIRE MAX;HUMEDAD RELATIVA DEL AIRE MIN;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE INST;TEMPERATURA AIRE MAX;TEMPERATURA AIRE MIN;VIENTO DIRECCION;VIENTO VELOCIDAD
27/10/2016 17:00;68.0;70.0;63.0;0.0;;;14.5;15.5;14.5;350.0;1.7
27/10/2016 16:00;;72.0;62.0;0.0;;;;16.6;15.0;;
27/10/2016 13:00;;73.0;62.0;0.0;0.0;;;17.9;16.6;;
27/10/2016 12:00;70.0;72.0;57.0;0.0;;;17.1;17.7;16.4;30.0;2.8
27/10/2016 11:00;63.0;68.0;51.0;0.0;;;17.4;17.8;16.3;28.0;4.3
27/10/2016 10:00;61.0;63.0;44.0;0.0;;;16.8;17.6;16.1;37.0;3.2
27/10/2016 9:00;54.0;57.0;38.0;0.0;;;16.8;18.0;16.2;27.0;2.3
27/10/2016 8:00;40.0;52.0;39.0;0.0;;;16.9;17.0;10.2;49.0;1.1
27/10/2016 7:00;45.0;47.0;41.0;0.0;0.0;;10.3;10.4;9.5;184.0;2.7
27/10/2016 6:00;43.0;59.0;43.0;0.0;;;9.6;9.6;7.7;184.0;3.6
27/10/2016 5:00;54.0;62.0;52.0;0.0;;;8.4;9.2;7.8;171.0;2.3
27/10/2016 4:00;57.0;73.0;53.0;0.0;;;8.5;9.0;7.2;171.0;1.9
27/10/2016 3:00;72.0;75.0;66.0;0.0;;;7.9;9.3;7.9;182.0;2.2
27/10/2016 2:00;70.0;84.0;68.0;0.0;;;9.3;9.5;8.2;184.0;2.2
27/10/2016 1:00;85.0;86.0;78.0;0.0;;;8.6;10.2;8.3;163.0;1.9
27/10/2016 0:00;81.0;93.0;80.0;0.0;;;10.2;12.2;9.7;186.0;2.4
26/10/2016 23:00;90.0;91.0;87.0;0.0;;;12.2;12.3;11.5;218.0;0.6
26/10/2016 22:00;88.0;89.0;86.0;0.0;;;11.8;12.0;10.5;187.0;0.5
26/10/2016 21:00;89.0;90.0;84.0;0.0;;;10.5;11.3;10.5;173.0;1.5
26/10/2016 20:00;86.0;94.0;84.0;0.0;;;10.6;11.0;10.4;184.0;2.0
26/10/2016 19:00;91.0;93.0;88.0;0.0;0.0;;11.0;12.1;10.9;166.0;0.6
26/10/2016 18:00;;87.0;80.0;0.0;;;;14.4;12.4;;
