FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTENA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINIMA;PRECIPITACION;PRECIPITACION ACUMULADA;PRESION ATMOSFERICA;TEMPERATURA AIREINSTANTANEA;TEMPERATURA AIRE MAXIMA;TEMPERATURA AIRE MINIMA;DIRRECION DEL VIENTO;VELOCIDAD DEL VIENTO
28/9/2016 10:00;81.0;94.0;81.0;0.0;;;25.4;25.5;23.6;;
28/9/2016 9:00;92.0;96.0;92.0;0.0;;;23.7;23.8;22.7;;
28/9/2016 8:00;96.0;99.0;96.0;0.0;;;22.7;22.7;21.9;;
28/9/2016 7:00;100.0;100.0;99.0;0.0;0.0;;22.0;22.0;21.8;;
28/9/2016 6:00;100.0;100.0;100.0;0.0;;;21.8;21.9;21.8;;
28/9/2016 5:00;100.0;100.0;98.0;0.0;;;21.8;22.2;21.8;;
28/9/2016 4:00;98.0;98.0;97.0;0.0;;;22.2;22.5;22.2;;
28/9/2016 3:00;97.0;97.0;95.0;0.0;;;22.5;22.7;22.5;;
28/9/2016 2:00;95.0;95.0;93.0;0.0;;;22.7;22.8;22.7;;
28/9/2016 1:00;93.0;93.0;92.0;0.0;;;22.8;22.9;22.8;;
28/9/2016 0:00;92.0;92.0;90.0;0.0;;;22.9;23.2;22.9;;
27/9/2016 23:00;91.0;92.0;91.0;0.0;;;23.2;23.3;23.2;;
27/9/2016 22:00;92.0;94.0;92.0;0.0;;;23.3;23.3;23.2;;
27/9/2016 21:00;94.0;94.0;93.0;0.0;;;23.2;23.3;23.2;;
27/9/2016 20:00;93.0;94.0;92.0;0.0;;;23.3;23.5;23.2;;
27/9/2016 19:00;92.0;93.0;90.0;0.0;0.0;;23.5;24.2;23.5;;
27/9/2016 18:00;90.0;90.0;87.0;0.0;;;24.2;24.8;24.2;;
27/9/2016 17:00;88.0;89.0;86.0;0.0;;;24.7;25.2;24.4;;
27/9/2016 16:00;88.0;88.0;80.0;0.0;;;25.2;26.4;25.0;;
27/9/2016 15:00;82.0;89.0;80.0;0.0;;;25.9;26.3;25.2;;
27/9/2016 14:00;89.0;90.0;78.0;0.0;;;25.2;26.9;25.1;;
27/9/2016 13:00;83.0;90.0;80.0;0.0;0.5;;26.1;26.6;24.7;;
27/9/2016 12:00;89.0;93.0;84.0;0.0;;;24.7;25.6;23.8;;
27/9/2016 11:00;92.0;98.0;92.0;0.1;;;23.8;24.1;22.9;;
