;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
28/09/2016 10:00;79.0;87.0;71.0;0.0;;;15.5;18.1;15.1;47.0;1.4
28/09/2016 9:00;;87.0;68.0;0.0;;;;16.0;14.4;;
28/09/2016 8:00;75.0;85.0;69.0;0.0;;;15.1;15.8;13.1;52.0;0.3
28/09/2016 7:00;83.0;86.0;81.0;0.0;0.0;;13.1;13.1;11.1;152.0;1.1
28/09/2016 6:00;85.0;89.0;83.0;0.0;;;11.3;11.7;11.1;171.0;1.6
28/09/2016 5:00;90.0;92.0;89.0;0.0;;;11.0;11.2;10.5;174.0;0.9
28/09/2016 4:00;89.0;91.0;88.0;0.0;;;11.1;11.6;11.0;181.0;1.3
28/09/2016 3:00;88.0;93.0;88.0;0.0;;;11.6;11.6;11.1;183.0;0.7
28/09/2016 2:00;93.0;94.0;93.0;0.0;;;11.2;11.2;10.6;195.0;1.5
28/09/2016 1:00;93.0;95.0;93.0;0.0;;;10.7;11.1;10.6;337.0;0.3
28/09/2016 0:00;94.0;95.0;92.0;0.0;;;11.0;11.0;10.1;198.0;1.6
27/09/2016 23:00;92.0;95.0;90.0;0.0;;;10.3;11.3;10.1;166.0;1.3
27/09/2016 22:00;;94.0;90.0;0.0;;;;11.2;10.5;;
27/09/2016 20:00;;89.0;86.0;0.0;;;;12.5;12.1;;
27/09/2016 19:00;88.0;93.0;84.0;0.0;0.0;;12.1;12.4;11.8;176.0;0.8
27/09/2016 18:00;93.0;96.0;93.0;0.0;;;12.0;12.2;11.7;197.0;1.1
27/09/2016 17:00;95.0;97.0;89.0;0.0;;;12.2;13.0;12.0;30.0;1.2
27/09/2016 16:00;;94.0;90.0;0.0;;;;13.7;13.2;;
27/09/2016 15:00;;90.0;85.0;0.0;;;;14.4;13.4;;
27/09/2016 14:00;85.0;86.0;75.0;0.0;;;14.0;16.8;13.9;44.0;4.1
27/09/2016 13:00;83.0;88.0;73.0;0.0;0.0;;16.0;17.5;15.2;35.0;3.9
27/09/2016 12:00;;80.0;72.0;0.0;;;;17.2;16.2;;
27/09/2016 11:00;;87.0;62.0;0.0;;;;17.3;16.0;;
