;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);presion atmosferica;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
28/10/2016 10:00;61.0;64.0;36.0;0.0;;;16.7;17.2;15.9;18.0;2.3
28/10/2016 9:00;50.0;61.0;43.0;0.0;;;16.5;17.0;14.3;45.0;0.9
28/10/2016 8:00;59.0;61.0;48.0;0.0;;;14.5;14.7;12.4;54.0;0.6
28/10/2016 7:00;56.0;61.0;55.0;0.0;0.0;;12.4;12.4;11.4;195.0;1.7
28/10/2016 6:00;56.0;71.0;54.0;0.0;;;11.7;11.8;10.7;187.0;2.7
28/10/2016 5:00;66.0;73.0;66.0;0.0;;;10.8;11.0;10.1;185.0;3.1
28/10/2016 4:00;68.0;70.0;67.0;0.0;;;10.9;11.1;10.7;202.0;0.9
28/10/2016 3:00;68.0;70.0;66.0;0.0;;;11.0;11.2;10.9;184.0;3.1
28/10/2016 2:00;70.0;71.0;65.0;0.0;;;10.9;11.4;10.8;181.0;2.7
28/10/2016 1:00;66.0;70.0;63.0;0.0;;;11.3;11.6;10.8;180.0;3.3
28/10/2016 0:00;67.0;70.0;63.0;0.0;;;11.3;11.7;11.2;183.0;2.3
27/10/2016 23:00;70.0;70.0;62.0;0.0;;;11.3;12.0;11.3;176.0;2.3
27/10/2016 22:00;63.0;69.0;62.0;0.0;;;11.9;11.9;11.0;191.0;3.3
27/10/2016 21:00;;74.0;71.0;0.0;;;;11.5;11.1;;
27/10/2016 20:00;72.0;82.0;68.0;0.0;;;11.2;11.4;10.6;179.0;1.9
27/10/2016 19:00;82.0;83.0;76.0;0.0;0.0;;10.6;12.7;10.5;175.0;1.4
27/10/2016 18:00;76.0;76.0;66.0;0.0;;;12.7;14.5;12.7;159.0;0.5
27/10/2016 17:00;68.0;70.0;63.0;0.0;;;14.5;15.5;14.5;350.0;1.7
27/10/2016 16:00;;72.0;62.0;0.0;;;;16.6;15.0;;
27/10/2016 13:00;;73.0;62.0;0.0;0.0;;;17.9;16.6;;
27/10/2016 12:00;70.0;72.0;57.0;0.0;;;17.1;17.7;16.4;30.0;2.8
27/10/2016 11:00;63.0;68.0;51.0;0.0;;;17.4;17.8;16.3;28.0;4.3
