FECHA;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
29/09/2016 9:00;58.0;71.0;51.0;0.0;;;12.1;13.6;10.2;109.0;8.3
29/09/2016 8:00;62.0;68.0;48.0;0.0;;;11.0;13.5;8.3;65.0;3.9
29/09/2016 7:00;68.0;70.0;67.0;0.0;0.0;;8.3;8.3;7.9;116.0;4.7
29/09/2016 6:00;67.0;77.0;66.0;0.0;;;8.3;8.4;7.1;126.0;11.7
29/09/2016 5:00;74.0;76.0;73.0;0.0;;;7.5;7.7;7.2;120.0;6.1
29/09/2016 4:00;74.0;75.0;72.0;0.0;;;7.6;7.7;7.4;142.0;5.5
29/09/2016 3:00;74.0;81.0;74.0;0.0;;;7.4;7.5;6.8;154.0;11.0
29/09/2016 2:00;80.0;80.0;75.0;0.0;;;6.9;7.3;6.9;135.0;13.2
29/09/2016 1:00;75.0;77.0;75.0;0.0;;;7.2;7.4;7.1;139.0;11.7
29/09/2016 0:00;;77.0;72.0;0.0;;;;7.6;7.1;;
28/09/2016 23:00;73.0;77.0;71.0;0.0;;;7.5;8.0;7.2;111.0;9.4
28/09/2016 22:00;75.0;79.0;75.0;0.0;;;7.5;7.8;7.4;120.0;8.0
28/09/2016 21:00;78.0;79.0;77.0;0.0;;;7.6;8.1;7.6;148.0;8.8
28/09/2016 20:00;78.0;78.0;74.0;0.0;;;8.0;8.8;8.0;132.0;5.7
28/09/2016 19:00;74.0;77.0;73.0;0.0;0.0;;8.8;9.1;8.7;139.0;7.5
28/09/2016 18:00;76.0;100.0;76.0;0.0;;;8.9;8.9;7.1;137.0;7.0
28/09/2016 17:00;100.0;100.0;89.0;0.0;;;7.2;9.2;6.9;333.0;1.5
28/09/2016 16:00;98.0;98.0;59.0;0.0;;;8.1;13.4;7.8;98.0;3.5
28/09/2016 15:00;80.0;93.0;52.0;0.0;;;11.5;14.2;8.8;49.0;2.7
28/09/2016 14:00;78.0;88.0;53.0;0.0;;;10.5;14.5;10.0;77.0;4.4
28/09/2016 13:00;65.0;72.0;60.0;0.0;0.0;;12.2;13.1;10.5;113.0;5.0
28/09/2016 12:00;66.0;85.0;65.0;0.0;;;10.8;11.5;8.3;111.0;6.1
28/09/2016 11:00;66.0;72.0;63.0;0.0;;;10.4;11.4;9.2;107.0;12.3
