FECHA;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
29/9/2016 10:00;;89.0;80.0;0.0;;;;16.7;15.0;;
29/9/2016 9:00;82.0;88.0;72.0;0.0;;;15.4;16.1;14.1;42.0;2.3
29/9/2016 8:00;74.0;81.0;65.0;0.0;;;15.7;15.8;11.7;34.0;1.4
29/9/2016 7:00;78.0;80.0;76.0;0.0;0.0;;11.8;12.0;11.2;4.0;0.1
29/9/2016 6:00;79.0;87.0;78.0;0.0;;;11.3;11.9;10.9;197.0;1.6
29/9/2016 5:00;84.0;89.0;82.0;0.0;;;11.2;11.4;10.2;179.0;1.8
29/9/2016 4:00;89.0;90.0;79.0;0.0;;;10.2;11.5;10.2;167.0;0.8
29/9/2016 3:00;80.0;85.0;78.0;0.0;;;11.5;11.9;10.8;136.0;0.5
29/9/2016 2:00;82.0;84.0;77.0;0.0;;;11.3;11.9;10.4;197.0;1.5
29/9/2016 1:00;82.0;84.0;78.0;0.0;;;10.6;11.4;10.4;194.0;1.8
29/9/2016 0:00;79.0;82.0;77.0;0.0;;;11.3;11.6;10.8;188.0;2.5
28/9/2016 23:00;81.0;86.0;79.0;0.0;;;11.0;11.7;10.5;174.0;3.0
28/9/2016 22:00;79.0;86.0;78.0;0.0;;;11.7;12.1;11.2;167.0;1.2
28/9/2016 21:00;86.0;89.0;82.0;0.0;;;11.3;12.3;10.7;187.0;1.8
28/9/2016 20:00;87.0;92.0;87.0;0.0;;;11.9;11.9;11.1;176.0;2.4
28/9/2016 19:00;;92.0;85.0;0.0;0.0;;;13.6;11.9;;
28/9/2016 18:00;87.0;94.0;84.0;0.0;;;13.6;15.1;13.6;142.0;0.3
28/9/2016 17:00;89.0;97.0;76.0;0.0;;;14.5;16.7;13.7;194.0;0.5
28/9/2016 16:00;81.0;96.0;79.0;0.0;;;15.5;15.6;14.0;94.0;0.2
28/9/2016 15:00;91.0;94.0;81.0;0.0;;;14.6;15.6;13.7;49.0;2.7
28/9/2016 14:00;84.0;89.0;76.0;0.0;;;15.5;16.2;14.6;15.0;2.0
28/9/2016 13:00;82.0;89.0;77.0;0.0;0.0;;16.1;16.7;15.1;36.0;2.5
28/9/2016 12:00;77.0;89.0;75.0;0.0;;;15.2;17.3;14.6;325.0;0.4
28/9/2016 11:00;77.0;84.0;70.0;0.0;;;16.0;17.7;15.5;33.0;3.7
