;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
31/10/2016 10:00;69.0;70.0;56.0;0.0;;;9.0;9.5;8.6;319.0;3.7
31/10/2016 9:00;59.0;61.0;50.0;0.0;;;9.1;9.4;8.0;292.0;2.8
31/10/2016 8:00;51.0;51.0;34.0;0.0;;;8.3;10.5;8.2;295.0;2.4
31/10/2016 7:00;38.0;45.0;36.0;0.0;0.0;;9.2;9.4;5.6;134.0;2.0
31/10/2016 6:00;44.0;63.0;36.0;0.0;;;5.6;7.1;5.1;197.0;5.6
31/10/2016 5:00;50.0;69.0;50.0;0.0;;;5.1;6.2;5.1;129.0;1.6
31/10/2016 4:00;66.0;67.0;44.0;0.0;;;6.0;7.4;5.8;309.0;1.9
31/10/2016 3:00;65.0;76.0;55.0;0.0;;;6.3;7.6;5.5;210.0;0.8
31/10/2016 2:00;76.0;78.0;71.0;0.0;;;5.7;6.3;5.2;262.0;0.3
31/10/2016 1:00;75.0;78.0;73.0;0.0;;;6.3;6.7;5.8;254.0;1.7
31/10/2016 0:00;79.0;79.0;71.0;0.0;;;5.8;6.7;5.8;288.0;1.2
30/10/2016 23:00;78.0;87.0;73.0;0.0;;;6.2;7.5;5.3;257.0;2.1
30/10/2016 22:00;77.0;89.0;76.0;0.0;;;6.6;7.4;5.8;147.0;3.1
30/10/2016 21:00;79.0;100.0;79.0;0.0;;;7.3;7.3;5.5;132.0;5.9
30/10/2016 20:00;100.0;100.0;100.0;0.0;;;5.9;6.5;5.9;141.0;2.2
30/10/2016 19:00;100.0;100.0;94.0;0.0;0.0;;6.4;7.3;6.4;130.0;0.9
30/10/2016 18:00;94.0;95.0;84.0;0.0;;;7.4;9.3;7.3;294.0;1.4
30/10/2016 17:00;87.0;91.0;81.0;0.0;;;9.2;10.3;8.0;8.0;1.3
30/10/2016 16:00;85.0;88.0;67.0;0.0;;;9.8;11.4;8.9;323.0;2.6
30/10/2016 15:00;71.0;78.0;58.0;0.0;;;9.9;11.5;9.4;333.0;2.2
30/10/2016 14:00;71.0;71.0;53.0;0.0;;;10.6;12.0;10.2;303.0;2.9
30/10/2016 13:00;59.0;62.0;50.0;0.0;0.0;;10.6;11.9;10.1;304.0;3.0
30/10/2016 12:00;51.0;63.0;51.0;0.0;;;10.8;11.5;10.0;327.0;4.3
30/10/2016 11:00;60.0;61.0;49.0;0.0;;;10.4;12.0;9.8;307.0;4.0
