FECHA;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
01/11/2016 23:00;79;79;77;0;;1010.5;22.5;23.3;22.4;199;2.1
01/11/2016 22:00;77;78;77;0;;1010.3;23.3;23.6;23.3;184;2.1
01/11/2016 21:00;77;78;76;0;;1009.3;23.6;24.1;23.6;203;2.5
01/11/2016 20:00;76;76;67;0;;1008.4;24.1;25.9;24.1;199;2
01/11/2016 19:00;;67;56;0;0;;;28;26;;
01/11/2016 18:00;56;56;48;0;;1006.1;28.1;30.5;28;211;1.7
01/11/2016 17:00;49;50;46;0;;1005.6;30.5;31.5;30.3;205;2.2
01/11/2016 16:00;47;49;43;0;;1005.7;31.4;32.8;30.8;234;1.6
01/11/2016 15:00;44;52;41;0;;1006;32;32.3;30.1;198;1.7
01/11/2016 14:00;43;55;41;0;;1006.8;31.6;31.6;29.3;181;0.9
01/11/2016 13:00;51;58;48;0;0;1007.9;29.5;30.4;28;249;1
01/11/2016 12:00;56;65;54;0;;1009;28.2;28.8;26.1;255;1
01/11/2016 11:00;64;69;63;0;;1010.3;26.2;26.5;25.2;235;1
01/11/2016 10:00;68;75;67;0;;1010.9;26.4;26.5;23.8;258;1.5
01/11/2016 07:00;;;;;0;;;;;;
