;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRESION ATMOSFERICA;PRECIPITACION (ACUM);TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
01/11/2016 21:00;88.0;93.0;88.0;0.0;;;5.6;5.6;4.7;209.0;0.3
01/11/2016 20:00;93.0;93.0;88.0;0.0;;;5.0;5.7;4.8;252.0;0.9
01/11/2016 19:00;88.0;88.0;84.0;0.0;;0.0;5.7;6.6;5.7;311.0;1.4
01/11/2016 18:00;84.0;85.0;80.0;0.0;;;6.4;7.3;6.2;331.0;0.6
01/11/2016 17:00;82.0;82.0;77.0;0.0;;;6.9;8.3;6.9;309.0;0.8
01/11/2016 16:00;82.0;83.0;72.0;0.0;;;7.1;9.3;6.9;304.0;2.5
01/11/2016 15:00;73.0;75.0;65.0;0.0;;;9.0;10.4;8.3;328.0;2.6
01/11/2016 14:00;65.0;73.0;64.0;0.0;;;10.7;11.1;8.7;308.0;3.3
01/11/2016 13:00;68.0;77.0;68.0;0.0;;0.0;10.0;10.6;8.7;318.0;3.6
01/11/2016 12:00;75.0;76.0;66.0;0.0;;;8.7;10.9;8.7;327.0;2.7
01/11/2016 11:00;72.0;78.0;68.0;0.0;;;9.6;10.0;8.3;327.0;2.4
01/11/2016 10:00;72.0;77.0;66.0;0.0;;;9.4;9.9;8.3;319.0;3.2
01/11/2016 9:00;76.0;77.0;53.0;0.0;;;8.2;10.7;8.0;300.0;2.2
01/11/2016 8:00;52.0;60.0;45.0;0.0;;;10.7;10.9;8.6;286.0;1.5
01/11/2016 7:00;47.0;57.0;43.0;0.0;;0.1;9.7;9.7;5.5;138.0;2.0
01/11/2016 6:00;57.0;75.0;57.0;0.0;;;5.8;7.0;5.7;183.0;7.3
01/11/2016 5:00;73.0;78.0;73.0;0.0;;;6.9;7.1;6.0;164.0;2.3
01/11/2016 4:00;78.0;79.0;75.0;0.0;;;6.5;6.9;6.0;152.0;5.1
01/11/2016 3:00;79.0;79.0;74.0;0.0;;;6.3;7.0;6.2;159.0;3.7
01/11/2016 2:00;76.0;81.0;72.0;0.0;;;6.6;7.0;5.8;176.0;3.8
01/11/2016 1:00;76.0;84.0;73.0;0.0;;;6.2;6.8;6.1;173.0;1.9
01/11/2016 0:00;78.0;81.0;76.0;0.0;;;6.6;7.3;6.5;284.0;1.3
31/10/2016 23:00;79.0;92.0;78.0;0.0;;;6.9;7.4;5.5;247.0;0.8
31/10/2016 22:00;92.0;92.0;82.0;0.0;;;5.6;6.9;5.6;277.0;0.9
