FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINIMA;PRECIPITACION ;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE INSTANTANEA;TEMPERATURA AIRE MAXIMA;TEMPERATURA AIRE MINIMA;VIENTO DIRECCION;VIENTO VELOCIDAD
02/10/2016 21:00;88.0;90.0;86.0;0.0;;;11.6;12.4;11.4;206.0;1.4
02/10/2016 19:00;;;;;0.0;;;;;;
02/10/2016 18:00;;96.0;92.0;0.0;;;;13.6;13.0;;
02/10/2016 17:00;94.0;94.0;88.0;0.0;;;13.6;14.1;13.2;4.0;1.4
02/10/2016 16:00;91.0;95.0;88.0;0.0;;;13.7;14.3;13.3;23.0;2.2
02/10/2016 15:00;;91.0;81.0;0.0;;;;14.6;14.0;;
02/10/2016 13:00;;;;;0.0;;;;;;
02/10/2016 11:00;;92.0;82.0;0.0;;;;15.0;13.7;;
02/10/2016 10:00;;87.0;81.0;0.0;;;;14.3;13.9;;
02/10/2016 9:00;84.0;91.0;81.0;0.0;;;14.0;14.1;12.8;349.0;1.1
02/10/2016 8:00;89.0;96.0;88.0;0.0;;;12.8;12.8;11.4;51.0;0.5
02/10/2016 7:00;95.0;96.0;94.0;0.0;0.1;;11.4;11.4;11.1;201.0;1.2
02/10/2016 6:00;95.0;98.0;94.0;0.0;;;11.2;11.3;10.9;168.0;0.5
02/10/2016 5:00;98.0;98.0;97.0;0.1;;;10.9;10.9;10.6;206.0;1.1
02/10/2016 4:00;98.0;98.0;96.0;0.0;;;10.8;10.9;10.5;140.0;0.6
02/10/2016 3:00;98.0;99.0;95.0;0.0;;;10.6;11.0;10.6;58.0;0.8
02/10/2016 2:00;99.0;99.0;94.0;0.0;;;10.9;11.3;10.9;74.0;0.4
02/10/2016 1:00;94.0;99.0;94.0;0.0;;;11.1;11.4;10.9;274.0;1.5
02/10/2016 0:00;98.0;99.0;94.0;0.0;;;10.9;11.1;10.1;203.0;1.2
01/10/2016 23:00;96.0;99.0;94.0;0.0;;;10.4;11.2;10.3;187.0;1.8
01/10/2016 22:00;95.0;97.0;93.0;0.0;;;10.8;12.0;10.8;174.0;0.9
