;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSTFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
03/10/2016 21:00;79.0;85.0;77.0;0.0;;;8.1;8.6;7.9;115.0;9.6
03/10/2016 20:00;81.0;82.0;73.0;0.0;;;8.3;9.0;8.3;159.0;10.9
03/10/2016 19:00;75.0;86.0;71.0;0.0;0.0;;8.8;9.0;8.2;135.0;8.4
03/10/2016 18:00;85.0;91.0;70.0;0.0;;;8.3;9.8;8.3;94.0;3.6
03/10/2016 17:00;90.0;92.0;60.0;0.0;;;8.7;11.9;8.5;76.0;3.1
03/10/2016 16:00;65.0;90.0;64.0;0.0;;;11.0;11.0;9.1;105.0;8.5
03/10/2016 15:00;78.0;84.0;61.0;0.0;;;10.3;12.0;10.0;83.0;3.0
03/10/2016 14:00;64.0;67.0;58.0;0.0;;;11.4;12.3;10.6;82.0;6.6
03/10/2016 13:00;64.0;66.0;60.0;0.0;0.0;;11.0;12.2;10.5;157.0;16.6
03/10/2016 12:00;61.0;67.0;60.0;0.0;;;11.7;11.8;10.2;140.0;15.5
03/10/2016 11:00;63.0;67.0;62.0;0.0;;;11.2;11.3;9.9;157.0;17.2
03/10/2016 10:00;66.0;72.0;65.0;0.0;;;9.9;10.2;9.0;150.0;16.9
03/10/2016 9:00;71.0;78.0;68.0;0.0;;;9.1;9.6;7.8;147.0;17.9
03/10/2016 8:00;77.0;79.0;74.0;0.0;;;7.8;8.3;7.3;146.0;12.2
03/10/2016 7:00;78.0;84.0;78.0;0.0;0.0;;7.2;7.2;6.1;129.0;10.7
03/10/2016 6:00;83.0;85.0;79.0;0.0;;;6.0;6.4;6.0;125.0;10.5
03/10/2016 5:00;79.0;79.0;78.0;0.0;;;6.3;6.7;6.3;122.0;12.4
03/10/2016 4:00;78.0;79.0;76.0;0.0;;;6.7;6.9;6.6;121.0;12.5
03/10/2016 3:00;76.0;76.0;72.0;0.0;;;6.9;7.6;6.9;124.0;13.0
03/10/2016 2:00;72.0;73.0;69.0;0.0;;;7.5;8.1;7.3;123.0;9.5
03/10/2016 1:00;69.0;70.0;65.0;0.0;;;8.1;8.7;8.0;116.0;11.2
03/10/2016 0:00;64.0;68.0;63.0;0.0;;;8.7;9.0;8.5;121.0;11.9
02/10/2016 23:00;68.0;78.0;63.0;0.0;;;8.5;9.1;7.7;137.0;13.0
02/10/2016 22:00;63.0;74.0;62.0;0.0;;;9.1;9.3;8.1;128.0;10.3
