FECHA;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
04/11/2016 21:00;80;83;79;0;;710.2;10.4;10.4;10.1;138;4.3
04/11/2016 20:00;83;85;82;0;;709.7;10.3;10.6;10.1;127;5.7
04/11/2016 19:00;83;87;79;0;1.4;709;10.5;11.4;10.5;114;3.8
04/11/2016 18:00;80;80;73;0;;708.2;11.2;12.2;11.1;101;3.7
04/11/2016 17:00;75;82;74;0;;707.6;12.2;12.4;11.6;116;5.4
04/11/2016 16:00;80;93;78;0.8;;707.5;12.4;12.6;10.9;81;2.5
04/11/2016 15:00;84;88;70;0.6;;707.7;12.4;14.1;12.1;84;4.6
04/11/2016 14:00;70;71;52;0;;707.8;13.9;17.4;13.9;144;3.8
04/11/2016 13:00;53;57;49;0;0;708.2;17.3;18.3;16.5;136;4.2
04/11/2016 12:00;53;61;51;0;;709;16.5;17.3;15.2;112;3
04/11/2016 11:00;58;65;54;0;;709.6;16.5;16.6;14.4;85;4.8
04/11/2016 10:00;61;68;60;0;;709.7;14.7;15.2;13.4;120;4.2
04/11/2016 09:00;65;70;63;0;;709.6;14;14.1;12.9;133;4.3
04/11/2016 08:00;64;75;62;0;;709.2;13;13.9;11;120;5.1
04/11/2016 07:00;74;76;70;0;0;708.6;11;11;9.2;91;0.9
04/11/2016 06:00;74;75;73;0;;708;9.6;10.1;9.4;102;2.1
04/11/2016 05:00;75;75;72;0;;707.6;9.8;10.6;9.7;169;2.1
04/11/2016 04:00;75;78;74;0;;707.3;9.7;10.6;9.3;162;3.8
04/11/2016 03:00;77;78;74;0;;707.2;10.5;10.8;10.5;190;3.6
04/11/2016 02:00;74;78;73;0;;707.5;10.7;10.8;9.6;133;2.2
04/11/2016 01:00;76;80;75;0;;708.2;10;10.3;9.3;121;2.5
04/11/2016 00:00;80;82;72;0;;708.4;9.3;10.7;9.1;127;1.7
03/11/2016 23:00;79;80;71;0;;708.6;9.6;11.1;9.6;108;2
03/11/2016 22:00;76;79;73;0;;708.6;10.5;10.9;10.1;143;3
