;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
06/11/2016 21:00;71.0;74.0;69.0;0.0;;;7.6;7.9;7.3;128.0;8.9
06/11/2016 20:00;71.0;73.0;70.0;0.0;;;7.8;8.2;7.8;129.0;12.7
06/11/2016 19:00;71.0;73.0;67.0;0.0;0.0;;8.1;8.7;7.9;131.0;11.6
06/11/2016 18:00;67.0;69.0;61.0;0.0;;;8.7;10.1;8.7;140.0;10.4
06/11/2016 17:00;63.0;64.0;56.0;0.0;;;10.0;12.2;9.9;147.0;11.4
06/11/2016 16:00;58.0;60.0;54.0;0.0;;;11.6;12.5;10.9;121.0;6.1
06/11/2016 15:00;60.0;61.0;55.0;0.0;;;11.2;13.1;11.2;108.0;9.4
06/11/2016 14:00;55.0;65.0;55.0;0.0;;;12.8;13.1;10.9;131.0;11.2
06/11/2016 13:00;63.0;68.0;57.0;0.0;0.0;;11.0;13.0;10.4;142.0;11.8
06/11/2016 12:00;64.0;73.0;63.0;0.0;;;11.0;11.5;9.0;138.0;15.9
06/11/2016 11:00;64.0;76.0;62.0;0.0;;;10.8;11.1;9.1;131.0;15.2
06/11/2016 10:00;68.0;76.0;66.0;0.0;;;9.5;9.8;8.3;135.0;16.1
06/11/2016 9:00;76.0;79.0;69.0;0.0;;;8.5;9.1;7.7;139.0;17.6
06/11/2016 8:00;78.0;83.0;77.0;0.0;;;7.7;7.7;6.9;146.0;19.2
06/11/2016 7:00;79.0;80.0;76.0;0.0;0.0;;7.3;7.5;7.2;135.0;15.8
06/11/2016 6:00;78.0;83.0;77.0;0.0;;;7.3;7.5;6.9;137.0;15.0
06/11/2016 5:00;82.0;83.0;77.0;0.0;;;7.0;7.4;6.9;137.0;15.3
06/11/2016 4:00;79.0;83.0;76.0;0.0;;;7.3;7.6;7.0;152.0;17.9
06/11/2016 3:00;77.0;79.0;72.0;0.0;;;7.5;7.8;7.3;148.0;18.1
06/11/2016 2:00;75.0;77.0;70.0;0.0;;;7.5;7.9;7.4;143.0;18.1
06/11/2016 1:00;75.0;76.0;70.0;0.0;;;7.6;8.0;7.6;135.0;16.1
06/11/2016 0:00;75.0;78.0;74.0;0.0;;;7.8;7.9;7.4;139.0;17.7
05/11/2016 23:00;75.0;79.0;74.0;0.0;;;7.8;7.9;7.3;137.0;17.9
05/11/2016 22:00;79.0;81.0;78.0;0.0;;;7.3;7.7;7.2;136.0;17.8
