FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINIMA;PRECIPITACION;PRECIPITACION ACUMULADA;PRESION ATMOSFERICA;TEMPERATURA AIRE INSTANTANEA;TEMPERATURA AIRE MAXIMA;TEMPERATURA AIRE MINIMA;DIRECCION DEL VIENTO;VELOCIDAD DEL VIENTO
7/11/2016 21:00;80.0;80.0;73.0;0.0;;;24.5;25.6;24.5;;
7/11/2016 20:00;73.0;73.0;69.0;0.0;;;25.6;26.8;25.6;;
7/11/2016 19:00;69.0;69.0;62.0;0.0;0.0;;26.8;28.6;26.8;;
7/11/2016 18:00;62.0;62.0;59.0;0.0;;;28.6;30.2;28.6;;
7/11/2016 17:00;60.0;66.0;60.0;0.0;;;30.2;30.5;29.9;;
7/11/2016 16:00;66.0;73.0;66.0;0.0;;;29.9;29.9;28.3;;
7/11/2016 15:00;73.0;78.0;73.0;0.0;;;28.9;29.0;26.4;;
7/11/2016 14:00;78.0;82.0;78.0;0.0;;;26.9;27.7;25.3;;
7/11/2016 13:00;82.0;82.0;77.0;0.0;0.0;;25.3;26.7;25.1;;
7/11/2016 12:00;80.0;86.0;80.0;0.0;;;25.5;25.5;24.3;;
7/11/2016 11:00;86.0;92.0;86.0;0.0;;;24.7;24.8;23.2;;
7/11/2016 10:00;92.0;95.0;92.0;0.0;;;23.2;23.2;21.4;;
7/11/2016 9:00;95.0;96.0;95.0;0.0;;;21.4;21.4;20.9;;
7/11/2016 8:00;96.0;96.0;95.0;0.0;;;20.9;20.9;20.4;;
7/11/2016 7:00;95.0;95.0;94.0;0.0;0.2;;20.5;20.5;20.4;;
7/11/2016 6:00;94.0;94.0;93.0;0.1;;;20.4;20.6;20.4;;
7/11/2016 5:00;93.0;93.0;91.0;0.0;;;20.6;20.8;20.6;;
7/11/2016 4:00;91.0;91.0;87.0;0.1;;;20.8;21.6;20.8;;
7/11/2016 3:00;87.0;87.0;86.0;0.0;;;21.6;22.0;21.6;;
7/11/2016 2:00;86.0;86.0;86.0;0.0;;;22.0;22.1;21.9;;
7/11/2016 1:00;86.0;86.0;85.0;0.0;;;22.1;22.2;22.1;;
7/11/2016 0:00;85.0;85.0;84.0;0.0;;;22.2;22.4;22.2;;
6/11/2016 23:00;84.0;84.0;83.0;0.0;;;22.4;22.4;22.3;;
6/11/2016 22:00;83.0;83.0;82.0;0.0;;;22.4;22.8;22.3;;
