FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINIMA;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE INSTANTANEA;TEMPERATURA AIRE MAXIMA;TEMPERATURA AIRE MINIMA;DIRECCION DEL VIENTO; VELOCIDAD DEL VIENTO
08/10/2016 20:00;;94.0;93.0;0.0;;;;11.4;11.2;;
08/10/2016 19:00;93.0;93.0;91.0;0.0;0.0;;11.2;12.3;11.2;179.0;0.9
08/10/2016 18:00;91.0;91.0;81.0;0.0;;;12.3;13.9;12.3;33.0;0.6
08/10/2016 17:00;84.0;85.0;74.0;0.0;;;13.3;15.1;13.3;43.0;2.0
08/10/2016 16:00;76.0;79.0;67.0;0.0;;;15.1;16.9;14.6;23.0;3.0
08/10/2016 15:00;68.0;74.0;64.0;0.0;;;16.8;17.3;15.7;18.0;2.8
08/10/2016 14:00;72.0;75.0;63.0;0.0;;;16.0;18.9;15.7;31.0;3.0
08/10/2016 13:00;;75.0;71.0;0.0;0.0;;;16.9;16.2;;
08/10/2016 12:00;71.0;78.0;68.0;0.0;;;16.5;18.2;16.0;50.0;3.7
08/10/2016 11:00;;78.0;67.0;0.0;;;;17.4;16.3;;
08/10/2016 10:00;;77.0;68.0;0.0;;;;16.6;15.8;;
08/10/2016 9:00;71.0;78.0;67.0;0.0;;;16.8;16.9;15.2;52.0;2.8
08/10/2016 8:00;68.0;85.0;66.0;0.0;;;16.4;16.6;10.5;47.0;1.9
08/10/2016 7:00;85.0;85.0;81.0;0.0;0.0;;10.5;10.7;10.0;185.0;2.5
08/10/2016 6:00;82.0;83.0;79.0;0.0;;;10.1;10.5;10.0;182.0;2.9
08/10/2016 5:00;82.0;90.0;82.0;0.0;;;10.4;10.4;9.7;186.0;3.3
08/10/2016 4:00;90.0;92.0;87.0;0.0;;;10.4;10.8;10.1;171.0;1.7
08/10/2016 3:00;;87.0;84.0;0.0;;;;10.6;10.0;;
