FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINIMA;PRECIPITACION;PRECIPITACION (ACUM);PRESION TMOSFERICA;TEMPERATURA AIRE INSTANTANEA;TEMPERATURA AIRE MAXIMA;TEMPERATURA AIRE MINIMA;VIENTO DIRECCION;VIENTO VELOCIDAD
10/10/2016 22:00;;99.0;91.0;0.1;;;;12.9;11.9;;
10/10/2016 21:00;99.0;99.0;88.0;0.0;;;12.0;12.0;11.1;186.0;1.2
10/10/2016 19:00;;98.0;96.0;0.0;0.0;;;12.5;12.3;;
10/10/2016 18:00;96.0;97.0;91.0;0.0;;;12.4;12.7;12.3;5.0;0.4
10/10/2016 17:00;;93.0;87.0;0.0;;;;13.2;12.5;;
10/10/2016 16:00;90.0;97.0;89.0;0.0;;;12.9;13.0;12.5;86.0;0.6
10/10/2016 15:00;96.0;97.0;87.0;0.0;;;12.8;13.3;12.6;26.0;1.7
10/10/2016 14:00;95.0;97.0;87.0;0.0;;;12.8;14.2;12.6;45.0;1.4
10/10/2016 13:00;88.0;94.0;84.0;0.1;0.1;;14.2;14.6;13.8;47.0;2.7
10/10/2016 12:00;84.0;88.0;77.0;0.0;;;14.4;16.0;14.3;37.0;1.7
10/10/2016 11:00;82.0;87.0;77.0;0.0;;;15.8;15.9;14.2;29.0;2.6
10/10/2016 10:00;84.0;88.0;79.0;0.0;;;15.0;15.7;13.9;35.0;2.0
10/10/2016 9:00;82.0;88.0;77.0;0.0;;;15.1;15.5;14.1;38.0;3.2
10/10/2016 8:00;;90.0;80.0;0.0;;;;14.3;13.4;;
10/10/2016 7:00;85.0;93.0;84.0;0.0;0.0;;13.4;13.4;11.6;292.0;0.1
10/10/2016 6:00;91.0;92.0;87.0;0.0;;;11.9;12.1;11.8;175.0;0.7
10/10/2016 5:00;89.0;89.0;86.0;0.0;;;12.0;12.1;11.3;155.0;0.7
10/10/2016 4:00;89.0;93.0;87.0;0.0;;;11.3;11.4;10.5;174.0;0.8
10/10/2016 3:00;93.0;93.0;83.0;0.0;;;11.2;12.2;11.2;163.0;1.3
10/10/2016 2:00;88.0;90.0;87.0;0.0;;;12.2;12.3;11.8;170.0;1.3
10/10/2016 1:00;89.0;91.0;86.0;0.0;;;11.9;12.4;11.7;224.0;1.3
10/10/2016 0:00;88.0;88.0;85.0;0.0;;;12.3;12.7;12.2;162.0;1.6
09/10/2016 23:00;87.0;89.0;84.0;0.0;;;12.6;12.9;11.8;183.0;1.5
