FECHA;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
11/10/2016 21:00;76.0;79.0;76.0;0.0;;1009.4;23.9;24.8;23.9;208.0;2.7
11/10/2016 20:00;77.0;77.0;70.0;0.0;;1008.2;24.9;27.1;24.8;197.0;3.5
11/10/2016 19:00;70.0;70.0;60.0;0.0;0.0;1006.9;27.1;29.8;27.1;202.0;3.9
11/10/2016 18:00;60.0;60.0;45.0;0.0;;1005.9;29.9;32.9;29.8;194.0;2.7
11/10/2016 17:00;46.0;48.0;44.0;0.0;;1005.1;33.0;33.7;32.8;201.0;1.6
11/10/2016 16:00;47.0;49.0;44.0;0.0;;1005.2;33.6;34.0;32.7;199.0;1.7
11/10/2016 15:00;47.0;51.0;45.0;0.0;;1005.6;33.5;33.7;32.5;206.0;2.7
11/10/2016 14:00;48.0;52.0;46.0;0.0;;1006.5;32.6;33.7;31.7;239.0;0.8
11/10/2016 13:00;50.0;58.0;47.0;0.0;0.0;1007.5;32.0;32.4;30.5;352.0;1.0
11/10/2016 12:00;55.0;66.0;53.0;0.0;;1008.6;30.9;31.6;28.1;231.0;1.8
11/10/2016 11:00;66.0;71.0;62.0;0.0;;1010.0;27.9;28.3;25.8;229.0;1.2
11/10/2016 10:00;69.0;77.0;68.0;0.0;;1010.9;26.1;26.3;24.1;215.0;1.1
11/10/2016 9:00;76.0;82.0;75.0;0.0;;1011.3;24.6;24.6;22.8;186.0;1.5
11/10/2016 8:00;82.0;84.0;81.0;0.0;;1011.2;22.8;23.0;22.3;177.0;1.3
11/10/2016 7:00;84.0;86.0;84.0;0.0;0.0;1010.3;22.4;22.4;22.0;193.0;1.6
11/10/2016 6:00;85.0;87.0;85.0;0.0;;1009.4;22.2;22.2;21.9;201.0;1.0
11/10/2016 5:00;86.0;89.0;86.0;0.0;;1008.7;22.1;22.2;21.9;215.0;1.3
11/10/2016 4:00;88.0;90.0;87.0;0.0;;1008.4;22.2;22.3;21.9;226.0;1.0
11/10/2016 3:00;88.0;88.0;87.0;0.0;;1008.5;22.3;22.6;22.3;203.0;1.2
11/10/2016 2:00;87.0;87.0;82.0;0.0;;1008.9;22.5;23.1;22.5;201.0;1.3
11/10/2016 1:00;82.0;83.0;82.0;0.0;;1009.6;23.1;23.4;23.0;194.0;1.3
11/10/2016 0:00;82.0;83.0;82.0;0.0;;1010.0;23.4;23.7;23.4;197.0;2.5
10/10/2016 23:00;82.0;83.0;81.0;0.0;;1010.3;23.7;24.1;23.6;199.0;1.7
