FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINIMA;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE INSTANTANEA;TEMPERATURA AIRE MAXIMA;TEMPERATURA AIRE MINMA;VIENTO DIRECCION;VIENTO VELOCIDAD
11/10/2016 22:00;97.0;98.0;96.0;0.0;;;12.3;12.4;12.2;214.0;1.8
11/10/2016 21:00;97.0;98.0;95.0;0.0;;;12.3;12.7;12.0;177.0;1.0
11/10/2016 20:00;;98.0;97.0;0.0;;;;12.4;12.0;;
11/10/2016 19:00;;99.0;98.0;0.0;1.4;;;12.2;12.1;;
11/10/2016 18:00;;99.0;96.0;0.6;;;;12.4;11.9;;
11/10/2016 17:00;96.0;99.0;96.0;0.6;;;12.3;12.9;12.3;166.0;0.7
11/10/2016 16:00;99.0;99.0;98.0;0.2;;;12.8;13.2;12.6;15.0;1.4
11/10/2016 15:00;99.0;99.0;94.0;0.0;;;13.2;13.8;13.1;34.0;1.3
11/10/2016 14:00;;99.0;89.0;0.0;;;;14.1;13.2;;
11/10/2016 13:00;;92.0;88.0;0.0;0.0;;;15.7;14.9;;
11/10/2016 12:00;90.0;92.0;82.0;0.0;;;15.6;16.2;14.9;14.0;2.4
11/10/2016 11:00;83.0;93.0;80.0;0.0;;;15.4;16.2;14.9;335.0;1.2
11/10/2016 10:00;81.0;90.0;68.0;0.0;;;15.9;17.3;15.3;9.0;1.2
11/10/2016 9:00;75.0;87.0;68.0;0.0;;;15.8;16.2;14.0;20.0;1.3
11/10/2016 8:00;79.0;90.0;78.0;0.0;;;14.2;14.3;13.3;249.0;0.9
11/10/2016 7:00;79.0;85.0;78.0;0.0;0.7;;13.7;13.7;13.2;321.0;1.2
11/10/2016 6:00;83.0;90.0;83.0;0.0;;;13.2;13.2;12.1;190.0;1.8
11/10/2016 5:00;89.0;91.0;87.0;0.0;;;12.2;12.3;11.9;178.0;2.3
11/10/2016 4:00;90.0;92.0;88.0;0.0;;;12.2;12.6;12.1;168.0;1.5
11/10/2016 3:00;91.0;93.0;90.0;0.0;;;12.3;12.4;11.9;177.0;1.8
11/10/2016 2:00;93.0;95.0;92.0;0.0;;;12.0;12.3;11.9;175.0;0.9
11/10/2016 1:00;;96.0;92.0;0.0;;;;12.4;12.0;;
11/10/2016 0:00;96.0;99.0;96.0;0.1;;;12.2;12.2;11.9;184.0;0.7
