FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINIMA;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE INSTANTANEA;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
12/10/2016 22:00;;93.0;91.0;0.0;;;;13.2;12.9;;
12/10/2016 20:00;;99.0;99.0;0.0;;;;12.6;12.3;;
12/10/2016 19:00;;99.0;91.0;0.0;0.0;;;13.8;12.9;;
12/10/2016 18:00;91.0;96.0;90.0;0.0;;;13.7;13.7;13.4;275.0;0.7
12/10/2016 17:00;90.0;98.0;90.0;0.0;;;13.6;13.8;12.7;341.0;0.7
12/10/2016 16:00;;98.0;84.0;0.0;;;;15.1;13.1;;
12/10/2016 15:00;;87.0;82.0;0.0;;;;14.2;14.0;;
12/10/2016 14:00;86.0;88.0;76.0;0.0;;;14.3;16.2;14.1;43.0;2.5
12/10/2016 13:00;82.0;84.0;73.0;0.0;0.0;;15.2;16.9;15.1;35.0;2.8
12/10/2016 12:00;;83.0;78.0;0.0;;;;16.6;16.1;;
12/10/2016 11:00;;83.0;68.0;0.0;;;;18.1;16.7;;
12/10/2016 10:00;;78.0;68.0;0.0;;;;17.5;16.4;;
12/10/2016 9:00;;74.0;64.0;0.0;;;;18.1;16.4;;
12/10/2016 8:00;;90.0;86.0;0.0;;;;13.3;11.1;;
12/10/2016 7:00;88.0;90.0;85.0;0.0;0.1;;11.1;11.4;10.7;180.0;2.4
12/10/2016 6:00;88.0;89.0;87.0;0.0;;;10.9;10.9;10.6;182.0;2.7
12/10/2016 5:00;89.0;93.0;89.0;0.0;;;10.9;10.9;10.1;181.0;2.8
12/10/2016 4:00;;97.0;88.0;0.0;;;;11.4;10.2;;
12/10/2016 3:00;96.0;99.0;96.0;0.0;;;10.8;11.5;10.7;165.0;1.5
12/10/2016 2:00;99.0;99.0;93.0;0.1;;;11.3;12.1;11.2;164.0;0.6
12/10/2016 1:00;93.0;98.0;93.0;0.0;;;12.1;12.1;11.6;146.0;0.5
12/10/2016 0:00;94.0;96.0;93.0;0.0;;;12.1;12.4;12.0;9.0;0.4
11/10/2016 23:00;96.0;97.0;96.0;0.0;;;12.4;12.5;12.3;160.0;1.1
