FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINIMA;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE INSTANTANEA;TEMPERATURA AIRE MAXIMA;TEMPERATURA  DEL AIRE MINIMA;VIENTO DIRECCION;VIENTO VELOCIDAD
13/10/2016 22:00;;78.0;75.0;0.0;;;;13.3;12.8;;
13/10/2016 21:00;;80.0;79.0;0.0;;;;13.6;13.3;;
13/10/2016 20:00;;98.0;97.0;0.0;;;;13.4;13.3;;
13/10/2016 19:00;;96.0;95.0;0.0;0.0;;;14.1;13.8;;
13/10/2016 18:00;95.0;97.0;92.0;0.0;;;14.0;14.4;13.8;182.0;1.1
13/10/2016 17:00;95.0;98.0;85.0;0.0;;;14.2;15.6;14.0;9.0;1.5
13/10/2016 16:00;89.0;94.0;82.0;0.0;;;15.1;17.4;14.3;16.0;1.2
13/10/2016 15:00;88.0;89.0;79.0;0.0;;;16.6;18.3;16.5;1.0;2.1
13/10/2016 13:00;;;;;0.0;;;;;;
13/10/2016 11:00;;86.0;75.0;0.0;;;;17.8;16.2;;
13/10/2016 10:00;;84.0;70.0;0.0;;;;17.9;16.2;;
13/10/2016 9:00;72.0;75.0;65.0;0.0;;;16.8;18.1;16.7;39.0;1.3
13/10/2016 8:00;73.0;83.0;66.0;0.0;;;17.2;18.5;14.6;28.0;2.3
13/10/2016 7:00;82.0;88.0;81.0;0.0;0.0;;14.6;14.6;12.6;263.0;0.4
13/10/2016 6:00;86.0;89.0;85.0;0.0;;;12.8;12.8;12.2;173.0;2.1
13/10/2016 5:00;87.0;89.0;85.0;0.0;;;12.6;13.0;12.6;173.0;1.3
13/10/2016 4:00;88.0;89.0;84.0;0.0;;;12.8;13.4;12.7;185.0;1.6
13/10/2016 3:00;;87.0;81.0;0.0;;;;14.0;13.3;;
13/10/2016 2:00;87.0;91.0;86.0;0.0;;;13.3;13.4;12.9;176.0;1.9
13/10/2016 1:00;90.0;92.0;88.0;0.0;;;13.0;13.3;12.5;4.0;0.1
13/10/2016 0:00;90.0;91.0;87.0;0.0;;;12.6;12.8;12.1;147.0;1.1
