FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINIMA;PRECIPITACION;PRECIPITACION ACUMULADA;PRESION ATMOFERICA;TEMPERATURA AIRE INSTANTANEA;TEMPERATURA AIRE MAXIMA;TEMPERATURA AIRE MINIMA;DIRECCION DEL VIENTO;VELOCIDAD DEL VIENTO
19/10/2016 21:00;84.0;84.0;82.0;0.0;;;23.2;23.9;23.2;;
19/10/2016 20:00;82.0;82.0;80.0;0.0;;;23.9;25.0;23.9;;
19/10/2016 19:00;80.0;80.0;70.0;0.0;0.0;;25.0;27.1;25.0;;
19/10/2016 18:00;70.0;70.0;64.0;0.0;;;27.1;29.0;27.1;;
19/10/2016 17:00;64.0;70.0;62.0;0.0;;;28.8;29.6;28.7;;
19/10/2016 16:00;69.0;76.0;69.0;0.0;;;28.7;28.8;28.0;;
19/10/2016 15:00;;77.0;61.0;0.0;;;;29.9;27.4;;
19/10/2016 14:00;63.0;69.0;61.0;0.0;;;29.4;29.9;28.1;;
19/10/2016 13:00;65.0;73.0;64.0;0.0;0.0;;28.8;28.9;26.8;;
19/10/2016 12:00;73.0;79.0;72.0;0.0;;;27.0;27.0;25.5;;
19/10/2016 11:00;79.0;84.0;78.0;0.0;;;25.4;25.5;24.1;;
19/10/2016 10:00;85.0;96.0;83.0;0.0;;;24.1;24.3;22.1;;
19/10/2016 9:00;96.0;96.0;92.0;0.0;;;22.2;22.4;21.9;;
19/10/2016 8:00;92.0;94.0;92.0;0.0;;;22.2;22.3;21.8;;
19/10/2016 7:00;93.0;95.0;93.0;0.0;0.0;;21.8;21.9;21.7;;
19/10/2016 6:00;95.0;96.0;95.0;0.0;;;21.7;21.7;21.6;;
19/10/2016 4:00;;95.0;94.0;0.0;;;;21.8;21.8;;
19/10/2016 3:00;95.0;95.0;95.0;0.0;;;21.8;21.8;21.7;;
19/10/2016 2:00;95.0;95.0;95.0;0.0;;;21.7;21.8;21.7;;
19/10/2016 1:00;95.0;96.0;95.0;0.0;;;21.7;21.9;21.7;;
19/10/2016 0:00;96.0;98.0;96.0;0.0;;;21.7;21.7;21.3;;
18/10/2016 23:00;96.0;96.0;95.0;0.0;;;21.6;22.2;21.5;;
18/10/2016 22:00;95.0;96.0;94.0;0.0;;;22.3;22.4;22.0;;
