FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINIMA;PRECIPITACION;PRECIPITACION INSTANTANEA;PRESION ATMOSFERICA;TEMPERATURA AIRE MAXIMA;TEMPERATURA AIRE MINIMA;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
19/10/2016 20:00;;99.0;97.0;0.0;;;;12.3;10.7;;
19/10/2016 19:00;;99.0;99.0;0.0;0.0;;;12.6;12.6;;
19/10/2016 18:00;99.0;99.0;87.0;0.0;;;12.7;15.4;12.6;52.0;2.2
19/10/2016 17:00;92.0;99.0;91.0;0.0;;;14.7;14.8;12.8;154.0;1.1
19/10/2016 16:00;97.0;99.0;94.0;0.0;;;13.5;14.2;13.3;4.0;1.5
19/10/2016 15:00;98.0;98.0;87.0;0.0;;;13.7;14.6;13.5;32.0;3.3
19/10/2016 13:00;;91.0;84.0;0.0;0.0;;;15.6;14.3;;
19/10/2016 12:00;89.0;93.0;82.0;0.0;;;15.3;15.6;14.2;10.0;2.9
19/10/2016 11:00;;94.0;81.0;0.0;;;;15.6;13.9;;
19/10/2016 10:00;87.0;93.0;82.0;0.0;;;15.5;15.6;13.5;4.0;3.1
19/10/2016 9:00;88.0;91.0;70.0;0.0;;;14.0;15.5;13.7;32.0;3.4
19/10/2016 8:00;85.0;89.0;63.0;0.0;;;14.4;15.3;9.8;67.0;0.9
19/10/2016 7:00;87.0;89.0;84.0;0.0;0.0;;9.7;10.0;9.2;179.0;1.6
19/10/2016 6:00;87.0;88.0;84.0;0.0;;;9.9;10.8;9.6;208.0;1.1
19/10/2016 5:00;86.0;86.0;78.0;0.0;;;9.7;10.3;9.6;163.0;1.1
19/10/2016 4:00;81.0;85.0;80.0;0.0;;;9.9;10.3;9.5;183.0;1.6
19/10/2016 3:00;81.0;85.0;77.0;0.0;;;9.6;10.1;9.1;218.0;1.7
19/10/2016 2:00;82.0;90.0;81.0;0.0;;;9.9;9.9;9.0;186.0;2.4
19/10/2016 1:00;84.0;85.0;79.0;0.0;;;9.3;10.7;9.1;173.0;2.0
19/10/2016 0:00;81.0;86.0;80.0;0.0;;;9.6;10.1;9.3;187.0;3.1
18/10/2016 23:00;82.0;84.0;78.0;0.0;;;9.9;10.7;9.6;197.0;1.3
18/10/2016 22:00;83.0;90.0;77.0;0.0;;;10.0;11.4;9.9;180.0;2.2
